Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",16083203.0,2146787000.0,2.3953,2.2342,1,-1893308.0,-10.532122,reduction,0.2106397,Q1 2004,INFORMATION TECHNOLOGY,13F,06/30/2019,64.0958
Apple inc,AAPL,"",7115493.0,1403887000.0,1.5664,1.6695,2,-1220578.0,-14.642126,reduction,0.1574510,Q4 2004,INFORMATION TECHNOLOGY,13F,06/30/2019,121.0176
Amazon.com inc.,AMZN,"",623586.0,1180841000.0,1.3176,1.1422,3,18995.0,3.141793,addition,0.1260636,Q4 2009,CONSUMER DISCRETIONARY,13F,06/30/2019,969.6324
Facebook inc,FB,"",5837141.0,1111800000.0,1.2405,1.1065,4,-479667.0,-7.593503,reduction,0.2046002,Q3 2013,COMMUNICATIONS,13F,06/30/2019,153.6724
Exelon corp,EXC,"",21386516.0,1021634000.0,1.1399,1.2908,5,-2953113.0,-12.132942,reduction,2.2011873,Q2 2010,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,41.5607
Alphabet inc. class a,GOOGL,"",928859.0,998987000.0,1.1146,0.8724,6,224932.0,31.953882,addition,0.1339572,Q3 2005,COMMUNICATIONS,13F,06/30/2019,861.1321
Procter & gamble co. (oh) (1905),PG,"",9086135.0,996295000.0,1.1116,0.6697,7,3019494.0,49.77209,addition,0.3630635,Q4 2003,CONSUMER STAPLES,13F,06/30/2019,98.3731
Merck & co,MRK,"",11366093.0,953047000.0,1.0634,1.1028,8,-1150607.0,-9.192575,reduction,0.4439221,Q4 2009,HEALTH CARE,13F,06/30/2019,67.2008
Johnson & johnson co.,JNJ,"",6619294.0,921935000.0,1.0287,0.9437,9,255975.0,4.022665,addition,0.2508097,Q1 2004,HEALTH CARE,13F,06/30/2019,114.5758
Cisco systems  inc.,CSCO,"",16527442.0,904547000.0,1.0093,0.8473,10,1573540.0,10.522605,addition,0.3860893,Q1 2004,INFORMATION TECHNOLOGY,13F,06/30/2019,40.8774
Biogen inc,BIIB,"",3793752.0,887244000.0,0.99,1.0522,11,-426104.0,-10.097596,reduction,2.0567915,Q2 2005,HEALTH CARE,13F,06/30/2019,276.5969
Pfizer  inc.,PFE,"",19299828.0,836069000.0,0.9329,1.1135,12,-5543071.0,-22.312497,reduction,0.3489361,Q1 2004,HEALTH CARE,13F,06/30/2019,37.8693
Adobe systems  inc.,ADBE,"",2325905.0,680187000.0,0.7589,0.8172,13,-573923.0,-19.791622,reduction,0.4791334,Q2 2009,INFORMATION TECHNOLOGY,13F,06/30/2019,217.4046
Intuit  inc.,INTU,"",2572942.0,664694000.0,0.7416,0.6537,14,202958.0,8.563687,addition,0.9924942,Q3 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,176.9374
Alibaba group holding ltd adr,BABA,"",3922466.0,664662000.0,0.7416,0.7606,15,-7067.0,-0.179843,reduction,0.1541607,Q4 2015,COMMUNICATIONS,13F,06/30/2019,94.453
Allstate corp (the),ALL,"",6372559.0,643628000.0,0.7181,0.6171,16,178988.0,2.8899,addition,1.9358301,Q4 2004,FINANCE,13F,06/30/2019,73.695
Thermo fisher scientific  inc.,TMO,"",2141471.0,621561000.0,0.6935,0.4436,17,598230.0,38.764522,addition,0.5347261,Q4 2002,HEALTH CARE,13F,06/30/2019,235.3576
Anthem inc,ANTM,"",2129126.0,591343000.0,0.6598,0.7856,18,-483961.0,-18.520662,reduction,0.8322750,Q4 2014,HEALTH CARE,13F,06/30/2019,161.6006
Verizon communications,VZ,"",10349442.0,591264000.0,0.6597,0.7135,19,-1080862.0,-9.456109,reduction,0.2502422,Q1 2004,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,53.5928
Mastercard inc,MA,"",2133748.0,564440000.0,0.6298,0.5237,20,37186.0,1.773666,addition,0.2103126,Q4 2010,FINANCE,13F,06/30/2019,177.0122
Intel corp.,INTC,"",11612592.0,555895000.0,0.6203,0.905,21,-4307766.0,-27.058223,reduction,0.2621353,Q1 2004,INFORMATION TECHNOLOGY,13F,06/30/2019,40.688
Walmart inc,WMT,"",4867028.0,537758000.0,0.6,0.4301,22,710509.0,17.093847,addition,0.1704906,Q1 2004,CONSUMER STAPLES,13F,06/30/2019,84.0294
Berkshire hathaway inc class b,BRK.B,"",2321650.0,494906000.0,0.5522,0.5167,23,-102746.0,-4.238004,reduction,0.0947199,Q1 2010,FINANCE,13F,06/30/2019,145.6287
Aflac inc.,AFL,"",8876888.0,486542000.0,0.5429,0.4613,24,144836.0,1.658671,addition,1.1989638,Q1 2009,FINANCE,13F,06/30/2019,18.5673
Alphabet inc. class c,GOOG,"",446708.0,482851000.0,0.5388,0.5574,25,-1126.0,-0.251432,reduction,0.0644228,Q2 2014,COMMUNICATIONS,13F,06/30/2019,726.0082
Lilly (eli) & co.,LLY,"",4335702.0,480048000.0,0.5356,0.3888,26,1507050.0,53.278028,addition,0.4490954,Q2 2007,HEALTH CARE,13F,06/30/2019,103.8078
Synchrony financial,SYF,"",13694041.0,472034000.0,0.5267,0.3671,27,2845615.0,26.230672,addition,2.0640964,Q3 2014,FINANCE,13F,06/30/2019,31.1688
