Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",9344955.0,1251850000.0,3.1064,2.8403,1,-286200.0,-2.971606,reduction,0.1223897,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,31.2628
Celgene corp.,CELG,"",13373298.0,1236228000.0,3.06764,2.0945,2,4494647.0,50.623085,addition,1.8869117,Q4 2006,HEALTH CARE,13F,06/30/2019,93.327
Amazon.com inc.,AMZN,"",566683.0,1073088000.0,2.66282,2.2317,3,65500.0,13.069079,addition,0.1145601,Q2 2007,CONSUMER DISCRETIONARY,13F,06/30/2019,680.9116
Apple inc,AAPL,"",5326889.0,1054298000.0,2.61619,2.5643,4,-71995.0,-1.333516,reduction,0.1178729,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,88.1248
Anadarko petroleum corp.,APC,"",11062619.0,780578000.0,1.93697,1.0925,5,1455889.0,15.154886,addition,N/A,Q1 2007,ENERGY,13F,06/30/2019,80.1063
Facebook inc,FB,"",2932235.0,565921000.0,1.40431,1.2469,6,-59400.0,-1.985536,reduction,0.1027791,Q4 2013,COMMUNICATIONS,13F,06/30/2019,92.582
Berkshire hathaway inc class b,BRK.B,"",2261669.0,482120000.0,1.19636,1.1646,7,-56700.0,-2.445685,reduction,0.0922727,Q3 2011,FINANCE,13F,06/30/2019,84.7427
Jpmorgan chase & co. (chemical bank),JPM,"",3627907.0,405600000.0,1.00648,0.961,8,-168700.0,-4.443441,reduction,0.1134611,Q4 2001,FINANCE,13F,06/30/2019,63.3098
Mastercard inc,MA,"",1425610.0,377117000.0,0.935797,0.8555,9,-27400.0,-1.885741,reduction,0.1405151,Q2 2008,FINANCE,13F,06/30/2019,112.8229
Walt disney co. (the),DIS,"",2561910.0,357745000.0,0.887727,0.6215,10,323330.0,14.443531,addition,0.1422193,Q4 2001,COMMUNICATIONS,13F,06/30/2019,100.0434
Alphabet inc. class c,GOOG,"",325761.0,352118000.0,0.873764,1.1283,11,-58800.0,-15.290162,reduction,0.0469802,Q2 2014,COMMUNICATIONS,13F,06/30/2019,670.5015
Johnson & johnson co.,JNJ,"",2497655.0,347873000.0,0.86323,0.9659,12,-265700.0,-9.615124,reduction,0.0946379,Q4 2001,HEALTH CARE,13F,06/30/2019,89.9788
Alphabet inc. class a,GOOGL,"",320957.0,347532000.0,0.862384,1.0986,13,-52352.0,-14.023771,reduction,0.0462874,Q1 2006,COMMUNICATIONS,13F,06/30/2019,563.5186
Procter & gamble co. (oh) (1905),PG,"",3055973.0,335087000.0,0.831502,0.8145,14,-74500.0,-2.379832,reduction,0.1221105,Q4 2005,CONSUMER STAPLES,13F,06/30/2019,81.3773
Under armour inc,UAA,"",12852900.0,325821000.0,0.808509,0.6603,15,361727.0,2.895861,addition,2.8482881,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,20.1463
Visa inc,V,"",1810440.0,314202000.0,0.779677,0.8064,16,-254200.0,-12.312074,reduction,0.0912562,Q4 2009,FINANCE,13F,06/30/2019,67.7674
Merck & co,MRK,"",3687091.0,309163000.0,0.767173,0.8827,17,-557102.0,-13.126217,reduction,0.1440056,Q4 2009,HEALTH CARE,13F,06/30/2019,57.0015
Mosaic company (the),MOS,"",12082905.0,302435000.0,0.750478,0.558,18,3911700.0,47.871764,addition,3.1313409,Q4 2013,MATERIALS,13F,06/30/2019,28.2952
At&t inc. (southwestern bell - sbc corp.),T,"",8760049.0,293549000.0,0.728427,0.6247,19,793340.0,9.95819,addition,0.1198857,Q4 2001,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,33.5593
Bank of america corp. (north carolina national bank),BAC,"",10103986.0,293016000.0,0.727105,0.7233,20,-380300.0,-3.627333,reduction,0.1085481,Q2 2014,FINANCE,13F,06/30/2019,17.9876
