Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,PUT,2915000.0,854095000.0,24.8555,,1,2915000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Pg&e corp. (pacific gas & electric),PCG,"",23290000.0,533807000.0,15.5346,14.9012,2,-145585.0,-0.621213,reduction,4.4008163,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,20.1992
Ishares russell 2000 etf,IWM,CALL,3300000.0,513150000.0,14.9335,,3,3300000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Spdr bloomberg barclays high yield bond,JNK,PUT,2500000.0,272350000.0,7.9258,,4,2500000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Cheniere energy inc,LNG,"",3896722.0,266731000.0,7.7623,14.1551,5,-1900000.0,-32.777145,reduction,1.5175333,Q3 2013,ENERGY,13F,06/30/2019,43.8039
Ishares iboxx investment grade corporate bond fund,LQD,"",1150000.0,143026000.0,4.1623,,6,1150000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,124.37
Ishares russell 2000 etf,IWM,PUT,750000.0,116625000.0,3.394,2.7343,7,250000.0,50.0,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Houghton mifflin harcourt co,HMHC,"",19465570.0,112122000.0,3.2629,5.0551,8,0.0,0.0,,15.6576335,Q4 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,16.96
Dish network corp  class a,DISH,PRN,81500000.0,79415000.0,2.3111,2.881,9,-13000000.0,-13.756614,reduction,N/A,Q3 2017,COMMUNICATIONS,13F,06/30/2019,
Chewy inc,CHWY,"",1500000.0,52500000.0,1.5278,,10,1500000.0,,new,0.3763171,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,35.0
Conns inc,CONN,"",2900000.0,51678000.0,1.5039,2.3681,11,0.0,0.0,,9.0852130,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,23.1355
Five point holdings llc,FPH,"",6677096.0,50212000.0,1.4612,2.5439,12,-3200000.0,-32.398187,reduction,4.5109418,Q2 2017,REAL ESTATE,13F,06/30/2019,14.76
Spdr s&p financial etf,XLF,PUT,1800000.0,49680000.0,1.4458,1.6531,13,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Starz  series a,STRZA,PRN,63850000.0,44464000.0,1.294,1.2879,14,11150000.0,21.157495,addition,N/A,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Far point acquisition corp units,FPAC.U,"",4000000.0,42800000.0,1.2455,1.486,15,0.0,0.0,,No Data,Q3 2018,FINANCE,13F,06/30/2019,10.28
Bed bath & beyond inc.,BBBY,PUT,3000000.0,34860000.0,1.0145,2.4276,16,-1000000.0,-25.0,reduction,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Avaya holdings corp,AVYA,"",2462405.0,29327000.0,0.8535,2.0185,17,-895100.0,-26.659677,reduction,2.2179832,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,22.3868
United states steel corp.,X,PUT,1750000.0,26793000.0,0.7797,,18,1750000.0,,new,N/A,Q2 2019,MATERIALS,13F,06/30/2019,
Ipath series b s&p 500 vix short-term fu,VXX,CALL,800000.0,20800000.0,0.6053,,19,800000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Select interior concepts inc,SIC,"",1754882.0,20444000.0,0.595,0.8345,20,-121533.0,-6.476872,reduction,7.0083147,Q3 2018,INDUSTRIALS,13F,06/30/2019,10.65
Goodrich pete corp par,GDP,"",1569878.0,20393000.0,0.5935,0.7626,21,0.0,0.0,,12.7632358,Q2 2017,ENERGY,13F,06/30/2019,12.1568
Clear channel outdoor holdings inc,CCO,"",3127560.0,14762000.0,0.4296,,22,3127560.0,,new,0.6711790,Q2 2019,COMMUNICATIONS,13F,06/30/2019,4.72
Tronox holdings plc,TROX,"",1022056.0,13062000.0,0.3801,0.4932,23,-27944.0,-2.661333,reduction,0.6844736,Q4 2018,MATERIALS,13F,06/30/2019,7.78
Pattern energy group inc,PEGI,PRN,11851000.0,11969000.0,0.3483,0.1815,24,6791000.0,134.209486,addition,N/A,Q4 2018,ENERGY,13F,06/30/2019,
Ensco jersey finance ltd 3.00%,ESV-PRN,PRN,12250000.0,9622000.0,0.28,,25,12250000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Petmed express inc,PETS,PUT,603800.0,9462000.0,0.2754,,26,603800.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Altus midstream co,ALTM,"",2449000.0,9110000.0,0.2651,0.7895,27,-1297000.0,-34.623599,reduction,0.7537008,Q4 2018,FINANCE,13F,06/30/2019,7.73
Tronox holdings plc,TROX,CALL,679100.0,8679000.0,0.2526,,28,679100.0,,new,N/A,Q2 2019,MATERIALS,13F,06/30/2019,
Seagate technology plc,STX,PUT,150000.0,7068000.0,0.2057,0.6843,29,-250000.0,-62.5,reduction,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Cleveland-cliffs inc,CLF,"",500000.0,5335000.0,0.1553,,30,500000.0,,new,0.1851509,Q2 2019,MATERIALS,13F,06/30/2019,10.67
Valaris plc (ensco international),VAL,"",600000.0,5118000.0,0.1489,,31,600000.0,,new,0.3037360,Q2 2019,ENERGY,13F,06/30/2019,8.53
Scorpio bulkers inc,SALT,"",517481.0,2380000.0,0.0693,0.1768,32,-771544.0,-59.854852,reduction,0.7138654,Q1 2015,INDUSTRIALS,13F,06/30/2019,25.2826
Rosehill resources inc.,ROSEW,"",3245678.0,1558000.0,0.0453,0.0499,33,0.0,0.0,,N/A,Q2 2017, ,13F,06/30/2019,
Rosehill resources inc cl a,ROSE,"",413002.0,1528000.0,0.0445,0.0502,34,0.0,0.0,,5.0427595,Q2 2017,ENERGY,13F,06/30/2019,8.34
Lyft inc,LYFT,"",20000.0,1314000.0,0.0382,0.0559,35,0.0,0.0,,0.0068301,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,78.29
Mcdermott international inc,MDR,"",0.0,0.0,,0.0797,"",-300000.0,-100.0,soldall,0.0000000,Q4 2018,ENERGY,13F,06/30/2019,6.54
Caesars entertainment corp,CZR,PRN,0.0,0.0,,0.2861,"",-5600199.0,-100.0,soldall,N/A,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Contura energy inc,CTRA,"",0.0,0.0,,0.2516,"",-121607.0,-100.0,soldall,0.0000000,Q4 2018,ENERGY,13F,06/30/2019,65.74
Invesco qqq trust series 1,QQQ,CALL,0.0,0.0,,38.827,"",-6050000.0,-100.0,soldall,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Macys inc,M,PUT,0.0,0.0,,2.5751,"",-3000000.0,-100.0,soldall,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Cleveland-cliffs inc,CLF,PRN,0.0,0.0,,0.3903,"",-8000000.0,-100.0,soldall,N/A,Q1 2019,MATERIALS,13F,06/30/2019,
