Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vistra energy cp,VST,"",4918615.0,111357000.0,12.0531,11.9845,1,0.0,0.0,,1.0003691,Q2 2017,ENERGY,13F,06/30/2019,16.79
Anadarko petroleum corp.,APC,"",850000.0,59976000.0,6.49169,,2,850000.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,226.37
World wrestling entertainment inc,WWE,PRN,19500000.0,58220000.0,6.30163,6.4343,3,0.0,0.0,,N/A,Q1 2019,COMMUNICATIONS,13F,06/30/2019,
Northern oil and gas inc,NOG,"",31804525.0,57566190.25,6.23086,,4,0.0,0.0,,7.9798587,,ENERGY,13D,10/21/2019,
Energy transfer equity lp,ET,"",3838000.0,54039000.0,5.84908,5.5218,5,0.0,0.0,,0.1463076,Q2 2018,ENERGY,13F,06/30/2019,15.8416
Dish network corp  class a,DISH,PRN,36500000.0,35485000.0,3.84083,2.6241,6,3500000.0,10.606061,addition,N/A,Q3 2018,COMMUNICATIONS,13F,06/30/2019,
Celgene corp.,CELG,"",300000.0,27732000.0,3.00166,,7,300000.0,,new,0.0423286,Q2 2019,HEALTH CARE,13F,06/30/2019,92.44
Social capital hedosophia holdings corp,IPOA,"",2400000.0,25044000.0,2.71072,2.48,8,-200000.0,-7.692308,reduction,2.7826087,Q1 2018,FINANCE,13F,06/30/2019,10.03
Fintech acquisition corp iii units,FTACU,"",2000000.0,21417000.0,2.31814,1.9077,9,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,10.0
Far point acquisition corp units,FPAC.U,"",2000000.0,21340000.0,2.3098,1.947,10,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,06/30/2019,10.19
Allergan plc,AGN,"",125000.0,20929000.0,2.26532,,11,125000.0,,new,0.0381063,Q2 2019,HEALTH CARE,13F,06/30/2019,167.43
Clear channel outdoor holdings inc,CCO,"",3728114.0,17597000.0,1.90467,1.867,12,0.0,0.0,,0.8000588,Q4 2017,COMMUNICATIONS,13F,06/30/2019,4.6567
Dominion energy units series a n3:domini,DCUE,"",170000.0,17547000.0,1.89926,,13,170000.0,,new,No Data,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,103.56
Regalwood global energy ltd,RWGE,"",1600000.0,16320000.0,1.76645,1.6072,14,-100000.0,-5.882353,reduction,4.2666667,Q2 2018,FINANCE,13F,06/30/2019,9.76
Sentinel energy services inc,STNL,"",1598997.0,16230000.0,1.75671,1.5027,15,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,06/30/2019,9.85
First data corp,FDC,"",525000.0,14212000.0,1.53828,1.1415,16,60800.0,13.097803,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,24.6765
Pg&e corp. (pacific gas & electric),PCG,"",600000.0,13752000.0,1.48849,,17,600000.0,,new,0.1133744,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,22.92
Cypress semiconductor corp,CY,"",600000.0,13344000.0,1.44433,,18,600000.0,,new,0.1624607,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,22.24
Entravision communications corp. class a,EVC,"",4277166.0,12745954.68,1.3796,,19,4265566.0,36772.12069,addition,5.0337366,,COMMUNICATIONS,13D,08/28/2019,
Cumulus media inc,CMLS,"",659527.0,12234000.0,1.32419,1.1118,20,0.0,0.0,,No Data,Q3 2018,COMMUNICATIONS,13F,06/30/2019,17.02
Spartan energy acquisition corp,SPAQ/U,"",1200000.0,12120000.0,1.31185,1.1401,21,0.0,0.0,,N/A,Q3 2018, ,13F,06/30/2019,
United states steel corp.,X,CALL,775000.0,11865000.0,1.28425,,22,775000.0,,new,N/A,Q2 2019,MATERIALS,13F,06/30/2019,
Flacon minerals corporation,FLMNW,"",1400000.0,11760000.0,1.27288,1.1585,23,0.0,0.0,,N/A,Q3 2018, ,13F,06/30/2019,
Nesco holdings inc,NSCO,"",1145000.0,11713000.0,1.26779,1.3007,24,-220000.0,-16.117216,reduction,2.2758895,Q1 2018,FINANCE,13F,06/30/2019,9.996
Nxp semiconductors n.v.,NXPI,PRN,11000000.0,11591000.0,1.25459,,25,11000000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Red hat inc,RHT,CALL,56600.0,10627000.0,1.15025,,26,56600.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Social capital hedosophia holdings corp,IPOA/WS,"",1000000.0,10435000.0,1.12947,0.9538,27,0.0,0.0,,N/A,Q1 2018, ,13F,06/30/2019,
Cf finance acquisition corp units,CFFAU,"",1000000.0,10350000.0,1.12027,0.9548,28,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,10.0
Tpg pace holdings corp,TPGH,"",931548.0,9688000.0,1.04861,0.8903,29,0.0,0.0,,1.6560853,Q2 2018,FINANCE,13F,06/30/2019,9.93
Bbx capital corp class a,BBX,"",1961134.0,9629000.0,1.04223,1.2147,30,-231002.0,-10.537759,reduction,2.0143118,Q3 2017,FINANCE,13F,06/30/2019,7.37
Gs acquisition holdings corp units,GSAH.U,"",800000.0,8400000.0,0.909201,0.8837,31,-100000.0,-11.111111,reduction,No Data,Q2 2018,FINANCE,13F,06/30/2019,10.221
Nebula acquisition corp,NEBU,"",799998.0,8072000.0,0.873699,0.7481,32,0.0,0.0,,2.3269284,Q2 2018,FINANCE,13F,06/30/2019,9.65
Calgon carbon corporation,CCC/WS,"",500000.0,7690000.0,0.832352,0.629,33,0.0,0.0,,N/A,Q1 2019, ,13F,06/30/2019,
Churchill capital corp ii,CCX.UN,"",700000.0,7105000.0,0.769032,,34,700000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.15
Nrc group holdings corp,NRCG/WS,"",629500.0,7000000.0,0.757667,0.5145,35,0.0,0.0,,N/A,Q4 2018, ,13F,06/30/2019,
Regalwood global energy ltd,RWGEWS,"",666666.0,6800000.0,0.73602,0.6302,36,0.0,0.0,,N/A,Q2 2018, ,13F,06/30/2019,
Ag mortgage investment trust inc,MITT,"",400000.0,6360000.0,0.688395,0.6305,37,0.0,0.0,,1.2217471,Q1 2012,REAL ESTATE,13F,06/30/2019,19.74
Collier creek holdings,CCH.UN,"",600000.0,6360000.0,0.688395,0.5796,38,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,10.05
Leo holdings corp,LHC,"",600000.0,6162000.0,0.666964,0.7518,39,-200000.0,-25.0,reduction,No Data,Q2 2018,FINANCE,13F,06/30/2019,9.68
Dfb healthcare acquisitions corp,DFBH,"",600000.0,6078000.0,0.657872,0.5611,40,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,06/30/2019,9.62
Capitol investment corp iv,CIC/WS,"",571666.0,5848000.0,0.632977,0.5448,41,0.0,0.0,,N/A,Q1 2018, ,13F,06/30/2019,
Sentinel energy services inc,STNLW,"",532999.0,5410000.0,0.585569,0.5009,42,0.0,0.0,,N/A,Q2 2018, ,13F,06/30/2019,
Haymaker acquisition corp ii units,HYACU,"",500000.0,5105000.0,0.552556,,43,500000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.21
Acamar partners acquisition corporation,ACAMU,"",500000.0,4995000.0,0.54065,0.468,44,0.0,0.0,,N/A,Q1 2019, ,13F,06/30/2019,
