Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Liberty global plc class c,LBTYK,"",41937674.0,1112606000.0,10.0113,7.9524,1,2844679.0,7.276698,addition,5.7418979,Q3 2018,COMMUNICATIONS,13F,06/30/2019,23.7665
Viasat inc.,VSAT,"",13732068.0,1109826000.0,9.98629,8.9421,2,0.0,0.0,,22.4014160,Q2 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,38.0449
Fox corp class a,FOXA,"",27322720.0,1001104000.0,9.008,8.4277,3,0.0,0.0,,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.71
Ebay inc.,EBAY,"",24146000.0,953767000.0,8.58206,9.1391,4,-5140000.0,-17.551048,reduction,2.8787734,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,30.6362
Cheniere energy inc,LNG,"",10674135.0,730645000.0,6.57439,7.2478,5,-1944173.0,-15.407557,reduction,4.1569184,Q1 2014,ENERGY,13F,06/30/2019,60.2063
Allergan plc,AGN,"",3679549.0,616067000.0,5.54341,5.8677,6,-1090146.0,-22.855675,reduction,1.1217111,Q1 2016,HEALTH CARE,13F,06/30/2019,206.1731
Bristol-myers squibb co,BMY,"",13000000.0,589550000.0,5.30481,1.6035,7,9000000.0,225.0,addition,0.7947328,Q1 2019,HEALTH CARE,13F,06/30/2019,46.0762
Qorvo inc,QRVO,"",8681181.0,578253000.0,5.20316,6.3821,8,-1907901.0,-18.017624,reduction,7.3700492,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,67.3393
Pg&e corp. (pacific gas & electric),PCG,"",24500000.0,561540000.0,5.05277,3.6643,9,0.0,0.0,,4.6294547,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,35.2447
Cbs corp,CBS,"",10000000.0,499000000.0,4.49003,3.4114,10,1457984.0,17.068383,addition,2.6690154,Q4 2018,COMMUNICATIONS,13F,06/30/2019,46.9051
Mckesson corp.,MCK,"",2595011.0,348744000.0,3.13802,2.7688,11,-220000.0,-7.815245,reduction,1.4034673,Q4 2016,HEALTH CARE,13F,06/30/2019,135.7491
Synchrony financial,SYF,"",9260557.0,321064000.0,2.88895,3.8224,12,-5000000.0,-35.061744,reduction,1.3958394,Q3 2016,FINANCE,13F,06/30/2019,29.4706
Tesla inc,TSLA,PRN,300000000.0,295542000.0,2.65931,2.7587,13,0.0,0.0,,N/A,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Colony capital inc,CLNY,"",49687370.0,248437000.0,2.23545,2.2211,14,0.0,0.0,,9.1931931,Q3 2016,REAL ESTATE,13F,06/30/2019,13.0082
Univar solutions inc,UNVR,"",9500000.0,209380000.0,1.88401,1.7689,15,0.0,0.0,,5.6339699,Q3 2018,MATERIALS,13F,06/30/2019,20.1487
Fox corp,FOX,"",5680307.0,207502000.0,1.86712,1.7125,16,0.0,0.0,,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.88
Liberty global plc class a,LBTYA,"",7440705.0,200825000.0,1.80704,1.038,17,2483500.0,50.098796,addition,1.0187444,Q3 2018,COMMUNICATIONS,13F,06/30/2019,28.2825
Amerisourcebergen corp (holding co),ABC,"",2214192.0,188782000.0,1.69867,1.6065,18,-190107.0,-7.906962,reduction,1.0534742,Q4 2016,CONSUMER STAPLES,13F,06/30/2019,88.343
Translate bio inc,TBIO,"",17544239.0,175617832.39,1.58022,,19,5271737.0,42.955683,addition,No Data,,HEALTH CARE,13D,09/18/2019,
Takeda pharmaceutical co ltd,TAK,"",9438003.0,167053000.0,1.50315,1.8261,20,-1231018.0,-11.538247,reduction,0.3027776,Q1 2019,HEALTH CARE,13F,06/30/2019,20.37
Antero resources corp,AR,"",28587791.0,158090000.0,1.4225,2.121,21,0.0,0.0,,9.2451300,Q3 2014,ENERGY,13F,06/30/2019,24.741
Theravance biopharma inc,TBPH,"",9309168.0,152019000.0,1.36788,1.7732,22,0.0,0.0,,16.4356780,Q2 2014,HEALTH CARE,13F,06/30/2019,30.3512
Nexstar media group inc,NXST,"",1397755.0,141173000.0,1.27028,0.9106,23,397755.0,39.7755,addition,3.0313489,Q4 2018,COMMUNICATIONS,13F,06/30/2019,86.0664
Atara biotherapeutics inc,ATRA,"",7000000.0,140770000.0,1.26666,2.1311,24,619481.0,9.708944,addition,13.0208333,Q4 2014,HEALTH CARE,13F,06/30/2019,33.3035
Akebia therapeutics inc,AKBA,"",24471453.0,118442000.0,1.06575,1.684,25,0.0,0.0,,20.5884679,Q4 2018,HEALTH CARE,13F,06/30/2019,5.53
Xpo logistics inc,XPO,"",1500000.0,86715000.0,0.780267,,26,1500000.0,,new,1.6272510,Q2 2019,TRANSPORTS,13F,06/30/2019,57.81
Veritiv corp,VRTV,"",3564439.0,69221000.0,0.622855,0.7883,27,0.0,0.0,,22.1393727,Q3 2014,MATERIALS,13F,06/30/2019,43.599
Trilogy metals,TMQ,"",13641368.0,39766000.0,0.357817,0.2688,28,590610.0,4.525484,addition,9.8337428,Q2 2012,MATERIALS,13F,06/30/2019,1.4305
Sinclair broadcast group inc  class a,SBGI,"",549423.0,29466000.0,0.265137,0.9403,29,-2358673.0,-81.107123,reduction,0.5966153,Q2 2018,COMMUNICATIONS,13F,06/30/2019,31.607
Gossamer bio inc,GOSS,"",1267171.0,27254000.0,0.245233,0.2194,30,0.0,0.0,,1.9219945,Q1 2019,HEALTH CARE,13F,06/30/2019,21.67
Theravance biopharma inc,TBPH,PRN,30000000.0,25725000.0,0.231475,0.2455,31,0.0,0.0,,N/A,Q4 2016,HEALTH CARE,13F,06/30/2019,
Paratek pharmaceuticals inc,PRTK,"",2394498.0,9554000.0,0.0859675,0.1078,32,0.0,0.0,,7.3586294,Q4 2014,HEALTH CARE,13F,06/30/2019,31.2928
Celgene corp.,CELG,"",0.0,0.0,0.0,3.1707,33,-4000000.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,94.34
Walt disney co. (the),DIS,"",0.0,0.0,0.0,0.3724,34,-399151.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,111.03
Pioneer natural resources co.,PXD,"",0.0,0.0,0.0,2.5614,35,-2001814.0,-100.0,soldall,0.0000000,Q3 2017,ENERGY,13F,06/30/2019,167.6197
Gty technology holdings inc,GTYHW,"",0.0,0.0,0.0,0.0074,36,-1466666.0,-100.0,soldall,N/A,Q4 2018, ,13F,06/30/2019,
