Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Fs kkr capital corp,FSK,"",18338927.0,106916000.0,40.9965,31.0671,1,-1012220.0,-5.230801,reduction,3.5366465,Q4 2018,FINANCE,13F,09/30/2019,5.5044
Sinclair broadcast group inc  class a,SBGI,"",745499.0,31863000.0,12.2177,8.2255,2,176123.0,30.932635,addition,0.8095331,Q2 2015,COMMUNICATIONS,13F,09/30/2019,31.4075
Aar corp,AIR,"",507486.0,20913000.0,8.019,5.5776,3,-55340.0,-9.832524,reduction,1.4570370,Q2 2017,INDUSTRIALS,13F,09/30/2019,36.5607
Mgm resorts international  inc.,MGM,"",567852.0,15741000.0,6.0358,7.3745,4,-390382.0,-40.739736,reduction,0.1089028,Q2 2014,CONSUMER DISCRETIONARY,13F,09/30/2019,27.2562
Nrg energy inc,NRG,"",378495.0,14988000.0,5.7471,3.5807,5,0.0,0.0,,0.1496087,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,30.8956
Moneygram international inc,MGI,"",2945371.0,11723000.0,4.4951,1.9597,6,0.0,0.0,,4.7467703,Q4 2018,FINANCE,13F,09/30/2019,2.0151
Cumulus media inc,CMLS,"",705000.0,10251000.0,3.9307,3.2998,7,44624.0,6.757362,addition,No Data,Q4 2018,COMMUNICATIONS,13F,09/30/2019,12.4879
Blackrock floating rate income strategy fund,FRA,"",597940.0,7546000.0,2.8935,3.452,8,-400896.0,-40.136319,reduction,3.2677888,Q1 2019,FINANCE,13F,09/30/2019,12.5158
Marathon petroleum corp,MPC,"",119332.0,7249000.0,2.7796,2.9025,9,-73500.0,-38.11608,reduction,0.0181267,Q2 2018,ENERGY,13F,09/30/2019,72.7877
Highland floating rate opps fund,HFRO,"",512355.0,6840000.0,2.6228,1.8716,10,10347.0,2.061123,addition,No Data,Q1 2019,FINANCE,13F,09/30/2019,13.8633
Extraction oil & gas inc,XOG,"",2033397.0,5978000.0,2.2922,2.3718,11,0.0,0.0,,1.4762574,Q4 2016,ENERGY,13F,09/30/2019,18.9421
Western asset mortgage capital corp,WMC,PRN,4000000.0,4020000.0,1.5415,,12,4000000.0,,new,N/A,Q3 2019,REAL ESTATE,13F,09/30/2019,
Mfa financial  inc.,MFA,PRN,3750000.0,3849000.0,1.4759,,13,3750000.0,,new,N/A,Q3 2019,REAL ESTATE,13F,09/30/2019,
Mgic investment corp. (1984),MTG,"",240000.0,3019000.0,1.1576,,14,240000.0,,new,0.0677679,Q1 2019,FINANCE,13F,09/30/2019,12.58
Hunt companies finance tr inc common sto,HCFT,"",874217.0,2937000.0,1.1262,0.803,15,0.0,0.0,,3.9485863,Q1 2018,REAL ESTATE,13F,09/30/2019,2.91
Blackrock debt strategies fund inc,DSU,"",196750.0,2115000.0,0.811,3.6758,16,-1070330.0,-84.472172,reduction,0.3927146,Q4 2018,FINANCE,13F,09/30/2019,10.6948
Nmi holdings inc,NMIH,"",73205.0,1922000.0,0.737,,17,73205.0,,new,0.1080198,Q3 2019,FINANCE,13F,09/30/2019,26.26
Eaton vance floating rate income trust,EFT,"",84087.0,1112000.0,0.4264,0.6069,18,-83081.0,-49.699105,reduction,0.2257612,Q1 2019,FINANCE,13F,09/30/2019,13.4144
Sutter rock capital ord shs,SSSS,"",153000.0,955000.0,0.3662,,19,153000.0,,new,N/A,Q3 2019, ,13F,09/30/2019,
Essent group ltd,ESNT,"",17288.0,824000.0,0.316,,20,17288.0,,new,0.0175709,Q3 2019,FINANCE,13F,09/30/2019,47.67
Cbl & associates properties  inc.,CBL,"",24770.0,32000.0,0.0123,0.007,21,0.0,0.0,,0.0142791,Q3 2018,REAL ESTATE,13F,09/30/2019,3.99
Blackrock corporate high yield fund inc,HYT,"",0.0,0.0,,5.639,"",-1952832.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,10.26
Visa inc,V,"",0.0,0.0,,2.5296,"",-54110.0,-100.0,soldall,0.0000000,Q3 2017,FINANCE,13F,09/30/2019,117.5199
Dow inc,DOW,"",0.0,0.0,,0.4194,"",-31582.0,-100.0,soldall,0.0000000,Q2 2019,MATERIALS,13F,09/30/2019,49.31
Eaton vance senior floating-rate fund,EFR,"",0.0,0.0,,0.3157,"",-89534.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,13.02
Marvell technology group ltd,MRVL,"",0.0,0.0,,2.4642,"",-383258.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,19.0804
Voya prime rate trust,PPR,"",0.0,0.0,,1.5149,"",-1181494.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,4.7723
Invesco credit opportunities fund,VTA,"",0.0,0.0,,2.618,"",-869277.0,-100.0,soldall,No Data,Q4 2018,FINANCE,13F,09/30/2019,10.8164
Pgim high yield bond fund,ISD,"",0.0,0.0,,2.8001,"",-710525.0,-100.0,soldall,No Data,Q1 2019,FINANCE,13F,09/30/2019,14.3206
Eaton vance limited duration income fund,EVV,"",0.0,0.0,,3.1837,"",-934309.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,12.65
Invesco senior income trust,VVR,"",0.0,0.0,,1.7401,"",-1495303.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2019,4.2453
