Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",505715724.0,67745681000.0,2.89471,2.627,1,6813310.0,1.36566,addition,6.6232949,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,66.9433
Apple inc,AAPL,"",281455821.0,55705734000.0,2.38026,2.4489,2,-7307416.0,-2.530591,reduction,6.2280286,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,142.2498
Amazon.com inc.,AMZN,"",26082028.0,49389711000.0,2.11038,2.0406,3,415448.0,1.618634,addition,5.2727182,Q4 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,922.3279
Facebook inc,FB,"",151662410.0,29270846000.0,1.25072,1.0981,4,4114043.0,2.788267,addition,5.3159856,Q2 2012,COMMUNICATIONS,13F,06/30/2019,144.0307
Johnson & johnson co.,JNJ,"",187850991.0,26163888000.0,1.11796,1.1789,5,-1042702.0,-0.552005,reduction,7.1178056,Q3 2007,HEALTH CARE,13F,06/30/2019,124.0092
Jpmorgan chase & co. (chemical bank),JPM,"",216451270.0,24199253000.0,1.03401,1.0031,6,-5501429.0,-2.478649,reduction,6.7694119,Q3 2007,FINANCE,13F,06/30/2019,87.1389
Berkshire hathaway inc class b,BRK.B,"",106726817.0,22750957000.0,0.972128,0.9566,7,77365.0,0.072541,addition,4.3542949,Q3 2007,FINANCE,13F,06/30/2019,167.2952
Alphabet inc. class c,GOOG,"",20205186.0,21839988000.0,0.933203,1.0263,8,612804.0,3.127767,addition,2.9139293,Q2 2014,COMMUNICATIONS,13F,06/30/2019,849.0497
Exxonmobil corp. (standard oil of new jersey),XOM,"",280882107.0,21523998000.0,0.919701,1.0094,9,1069038.0,0.382054,addition,6.6384969,Q3 2007,ENERGY,13F,06/30/2019,81.1229
Visa inc,V,"",123791138.0,21483952000.0,0.91799,0.8439,10,2773330.0,2.291671,addition,6.2397557,Q2 2008,FINANCE,13F,06/30/2019,91.8001
Alphabet inc. class a,GOOGL,"",19108158.0,20690313000.0,0.884079,0.9865,11,332906.0,1.773111,addition,2.7557194,Q3 2007,COMMUNICATIONS,13F,06/30/2019,843.6538
