Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares iboxx $ high yield corp bond etf,HYG,PUT,1000000.0,87180000.0,22.1467,67.825,1,-2621300.0,-72.385607,reduction,No Data,Q1 2018,FINANCE,13F,06/30/2019,
Element solutions inc,ESI,"",3508644.0,36279000.0,9.2161,0.494,2,-877153.0,-19.999854,reduction,1.2168848,Q2 2018,MATERIALS,13F,06/30/2019,11.2042
Valero energy corp.,VLO,PUT,377500.0,32318000.0,8.2099,0.3161,3,0.0,0.0,,N/A,Q4 2015,ENERGY,13F,06/30/2019,
Teva pharmaceutical industries ltd  adr,TEVA,"",3248913.0,29987000.0,7.6177,0.4739,4,538890.0,19.885071,addition,0.2975440,Q4 2017,HEALTH CARE,13F,06/30/2019,17.0774
Baker hughes class a,BHGE,PUT,1151900.0,28371000.0,7.2072,0.3733,5,-55500.0,-4.596654,reduction,N/A,Q4 2018,ENERGY,13F,06/30/2019,
Pg&e corp. (pacific gas & electric),PCG,"",1077097.0,24687000.0,6.2714,2.2579,6,-10296686.0,-90.530002,reduction,0.2035254,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,30.399
Pg&e corp. (pacific gas & electric),PCG,PUT,1000000.0,22920000.0,5.8225,,7,1000000.0,,new,N/A,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Pg&e corp. (pacific gas & electric),PCG,CALL,1000000.0,22920000.0,5.8225,0.9926,8,-4000000.0,-80.0,reduction,N/A,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Spdr s&p oil & gas exploration & production etf,XOP,"",728186.0,19843000.0,5.0408,0.3019,9,-152346.0,-17.301586,reduction,No Data,Q1 2018,ENERGY,13F,06/30/2019,37.8773
Bjs wholesale club holdings inc,BJ,"",420000.0,11088000.0,2.8167,,10,420000.0,,new,0.3023105,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,26.4
