Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vanguard ftse emerging markets etf,VWO,"",47554277.0,2022483000.0,15.8615,19.1695,1,-26079335.0,-35.417704,reduction,No Data,Q4 2009,FINANCE,13F,06/30/2019,40.8645
Spdr s&p 500 etf trust,SPY,"",6778936.0,1986228000.0,15.5771,13.7876,2,-1189183.0,-14.924263,reduction,No Data,Q4 2007,FINANCE,13F,06/30/2019,151.556
Ishares core msci emerging markets etf,IEMG,"",23330286.0,1200110000.0,9.4119,13.0145,3,-17757011.0,-43.217764,reduction,No Data,Q3 2016,FINANCE,13F,06/30/2019,51.3244
Ishares msci emerging index fund,EEM,"",25706638.0,1103072000.0,8.6509,18.8177,4,-45868404.0,-64.084355,reduction,No Data,Q1 2010,FINANCE,13F,06/30/2019,42.612
Ishares core s&p 500 etf,IVV,"",2186917.0,644594000.0,5.0553,3.8307,5,-10760.0,-0.489608,reduction,No Data,Q3 2010,FINANCE,13F,06/30/2019,240.3403
Spdr gold trust,GLD,"",4056627.0,540343000.0,4.2377,3.0104,6,28655.0,0.7114,addition,No Data,Q2 2017,MATERIALS,13F,06/30/2019,121.1753
Ishares msci brazil capped etf,EWZ,"",9430594.0,412306000.0,3.2335,2.3413,7,106095.0,1.137809,addition,No Data,Q1 2016,FINANCE,13F,06/30/2019,40.2356
Ishares iboxx investment grade corporate bond fund,LQD,"",2634994.0,327714000.0,2.5701,1.9125,8,12640.0,0.48201,addition,No Data,Q4 2010,FINANCE,13F,06/30/2019,118.6991
Ishares iboxx $ high yield corp bond etf,HYG,"",3223574.0,281031000.0,2.204,1.5056,9,381144.0,13.40909,addition,No Data,Q2 2016,FINANCE,13F,06/30/2019,87.9771
Ishares 20+ year treasury bond etf,TLT,"",2002297.0,265925000.0,2.0855,1.7291,10,-230246.0,-10.313172,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,125.0959
Ishares msci south korea capped etf,EWY,"",3569710.0,213719000.0,1.6761,1.4068,11,-198249.0,-5.261443,reduction,No Data,Q3 2016,FINANCE,13F,06/30/2019,59.9655
Ishares jp morgan usd emerging markets b,EMB,"",1799781.0,203897000.0,1.5991,1.2459,12,-48285.0,-2.612731,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,115.3677
Ishares msci eafe index fund,EFA,"",2566986.0,168728000.0,1.3233,1.0305,13,-26678.0,-1.028584,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,67.1627
Vanguard ftse developed markets etf,VEA,"",4045054.0,168719000.0,1.3232,1.0233,14,-42540.0,-1.04071,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,42.5579
Ishares gold trust,IAU,"",11679855.0,157678000.0,1.2366,0.8804,15,70635.0,0.608439,addition,No Data,Q2 2017,MATERIALS,13F,06/30/2019,12.2219
Ishares core msci eafe etf,IEFA,"",2513246.0,154313000.0,1.2102,0.9462,16,-28520.0,-1.122055,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,62.8804
Ishares tips bond etf,TIP,"",1295152.0,149577000.0,1.1731,0.9687,17,-103461.0,-7.3974,reduction,No Data,Q2 2017,FINANCE,13F,06/30/2019,113.3816
Ishares msci india index fund,INDA,"",3006076.0,106114000.0,0.8322,0.0047,18,2984292.0,13699.467499,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,35.2996
Alliance data systems corp,ADS,"",543560.0,76169000.0,0.5974,0.2798,19,282559.0,108.259738,addition,1.0637182,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,151.4189
Biogen inc,BIIB,"",248933.0,58218000.0,0.4566,0.3481,20,8555.0,3.558978,addition,0.1349596,Q3 2014,HEALTH CARE,13F,06/30/2019,245.9684
Alibaba group holding ltd adr,BABA,"",313923.0,53194000.0,0.4172,0.102,21,222685.0,244.070453,addition,0.0123378,Q2 2018,COMMUNICATIONS,13F,06/30/2019,173.3474
Southwestern energy co.,SWN,"",15519475.0,49042000.0,0.3846,0.0914,22,12337947.0,387.799416,addition,2.8669687,Q3 2016,ENERGY,13F,06/30/2019,3.2694
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",517571.0,48983000.0,0.3842,0.2102,23,236173.0,83.928457,addition,0.6909238,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,100.104
Carnival corp.,CCL,"",1019798.0,47472000.0,0.3723,0.0651,24,810391.0,386.993271,addition,0.1935247,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,47.1147
Cimarex energy co.,XEC,"",761277.0,45167000.0,0.3542,0.043,25,660851.0,658.047717,addition,0.7503223,Q2 2016,ENERGY,13F,06/30/2019,59.9204
Macys inc,M,"",2072780.0,44482000.0,0.3489,0.2279,26,524828.0,33.904669,addition,0.6710849,Q4 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,25.3741
Bed bath & beyond inc.,BBBY,"",3660071.0,42530000.0,0.3335,0.1612,27,2110701.0,136.229629,addition,2.8645778,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,13.3208
Kroger co.,KR,"",1807673.0,39245000.0,0.3078,0.0071,28,1760640.0,3743.414199,addition,0.2262986,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,21.7852
Royal bank of canada (nyse),RY,"",474832.0,37816000.0,0.2966,0.2195,29,0.0,0.0,,0.0330681,Q2 2017,FINANCE,13F,06/30/2019,75.3344
Nucor corp.,NUE,"",662636.0,36511000.0,0.2863,0.2272,30,27090.0,4.262477,addition,0.2185763,Q2 2017,MATERIALS,13F,06/30/2019,58.7357
