Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares iboxx investment grade corporate bond fund,LQD,"",4019226.0,499870000.0,19.9271,36.4173,1,-2787774.0,-40.954517,reduction,No Data,Q4 2018,FINANCE,13F,06/30/2019,117.937
Discovery inc series c,DISCK,"",5829106.0,165838000.0,6.6111,5.1195,2,1347163.0,30.057567,addition,1.0842428,Q3 2017,COMMUNICATIONS,13F,06/30/2019,23.9738
Servicenow inc,NOW,PRN,57500000.0,118341000.0,4.7176,4.78,3,0.0,0.0,,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Hubspot inc,HUBS,PRN,55000000.0,102103000.0,4.0703,3.9505,4,6500000.0,13.402062,addition,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Spdr s&p 500 etf trust,SPY,CALL,315000.0,92295000.0,3.6793,,5,315000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Advanced micro devices inc,AMD,PRN,20000000.0,77438000.0,3.087,2.9357,6,0.0,0.0,,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Workday inc,WDAY,PRN,41720000.0,62396000.0,2.4874,3.4077,7,-11780000.0,-22.018692,reduction,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Booking holdings inc. (priceline),BKNG,PRN,47600000.0,59659000.0,2.3783,2.7751,8,-2500000.0,-4.99002,reduction,N/A,Q1 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,
Alphabet inc. class a,GOOGL,"",54598.0,59120000.0,2.3568,2.5884,9,5653.0,11.549699,addition,0.0078740,Q1 2018,COMMUNICATIONS,13F,06/30/2019,1084.5124
Advanced micro devices inc,AMD,PUT,1700000.0,51629000.0,2.0582,,10,1700000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Coupa software inc,COUP,PRN,15000000.0,42766000.0,1.7048,,11,15000000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
On semiconductor corp,ON,PRN,30000000.0,36829000.0,1.4682,1.5812,12,1683000.0,5.943426,addition,N/A,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,
Bhp group ltd,BHP,"",631027.0,36806000.0,1.4673,1.2771,13,111407.0,21.440091,addition,0.0392918,Q2 2016,MATERIALS,13F,06/30/2019,48.7246
Boeing company,BA,PUT,100000.0,36401000.0,1.4511,,14,100000.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
