Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares iboxx $ high yield corp bond etf,HYG,PUT,300000.0,26154000.0,5.3856,,1,300000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Proshares ultra vix short term futures e,UVXY,CALL,700000.0,22043000.0,4.5391,,2,700000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Spdr s&p 500 etf trust,SPY,CALL,75000.0,21975000.0,4.525,,3,75000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,PUT,100000.0,18674000.0,3.8453,,4,100000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Spdr bloomberg barclays high yield bond,JNK,PUT,150000.0,16341000.0,3.3649,,5,150000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Amazon.com inc.,AMZN,PUT,7600.0,14392000.0,2.9636,,6,7600.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Lockheed martin corp.,LMT,PUT,37300.0,13560000.0,2.7922,,7,37300.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Alphabet inc. class a,GOOGL,PUT,12000.0,12994000.0,2.6757,,8,12000.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Boeing company,BA,PUT,30000.0,10920000.0,2.2486,,9,30000.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Netflix inc,NFLX,CALL,27900.0,10248000.0,2.1102,,10,27900.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Proshares short vix short-term futures e,SVXY,CALL,187100.0,10079000.0,2.0754,,11,187100.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Facebook inc,FB,PUT,51500.0,9940000.0,2.0468,,12,51500.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Microsoft corp.,MSFT,PUT,71100.0,9525000.0,1.9614,,13,71100.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Netflix inc,NFLX,PUT,25500.0,9367000.0,1.9288,,14,25500.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
