Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Pg&e corp. (pacific gas & electric),PCG,"",9624417.0,220591000.0,27.0708,16.4903,1,2875000.0,42.596272,addition,1.8186042,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,21.0946
Tempur sealy international inc,TPX,"",1806163.0,132519000.0,16.2626,18.7356,2,-560706.0,-23.689778,reduction,3.2953165,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,44.3215
American renal associates holdings inc,ARA,"",17615836.0,131062000.0,16.0838,14.8462,3,0.0,0.0,,54.1026904,Q2 2016,HEALTH CARE,13F,06/30/2019,28.97
Hilton grand vacations inc,HGV,"",4100000.0,130462000.0,16.0102,,4,4100000.0,,new,4.7724363,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.82
Genco shipping & trading ltd,GNK,"",10486622.0,88507000.0,10.8615,10.7379,5,0.0,0.0,,No Data,Q3 2015,TRANSPORTS,13F,06/30/2019,17.8337
Ensco jersey finance ltd 3.00%,ESV-PRN,PRN,42264000.0,32853000.0,4.0317,6.5919,6,-20000000.0,-32.12129,reduction,N/A,Q1 2019, ,13F,06/30/2019,
Seadrill ltd,SDRL,"",6741075.0,28042000.0,3.4413,8.9744,7,-1126851.0,-14.322084,reduction,1.3363482,Q3 2018,ENERGY,13F,06/30/2019,24.7551
Focus financial partners inc,FOCS,"",901835.0,24629000.0,3.0225,8.6707,8,-870600.0,-49.118868,reduction,1.2990997,Q3 2018,FINANCE,13F,06/30/2019,47.46
Intelsat s.a.,I,"",857800.0,16685000.0,2.0476,1.844,9,0.0,0.0,,0.6215041,Q3 2018,COMMUNICATIONS,13F,06/30/2019,21.6289
Genworth financial inc,GNW,PUT,2565400.0,9518000.0,1.168,1.3487,10,0.0,0.0,,N/A,Q2 2018,FINANCE,13F,06/30/2019,
Rowan companies plc,RDC,"",0.0,0.0,,4.569,"",-3084947.0,-100.0,soldall,N/A,Q2 2018,ENERGY,13F,06/30/2019,14.9941
Atlantica yield plc,AY,"",0.0,0.0,,1.8228,"",-682419.0,-100.0,soldall,0.0000000,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,18.0194
Vistra energy cp,VST,"",0.0,0.0,,1.9741,"",-552500.0,-100.0,soldall,0.0000000,Q2 2017,ENERGY,13F,06/30/2019,16.79
Brixmor property group inc,BRX,"",0.0,0.0,,2.5174,"",-998392.0,-100.0,soldall,0.0000000,Q4 2017,REAL ESTATE,13F,06/30/2019,18.1514
Uniti group inc,UNIT,"",0.0,0.0,,0.877,"",-571027.0,-100.0,soldall,0.0000000,Q1 2019,REAL ESTATE,13F,06/30/2019,11.19
