Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,PUT,47813400.0,14009327000.0,6.42407,6.7152,1,14400.0,0.030126,addition,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Spdr s&p 500 etf trust,SPY,CALL,35014200.0,10259161000.0,4.7044,5.4035,2,-3448400.0,-8.965593,reduction,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Amazon.com inc.,AMZN,PUT,3883900.0,7354670000.0,3.37253,3.2669,3,195100.0,5.288983,addition,N/A,Q3 2007,CONSUMER DISCRETIONARY,13F,06/30/2019,
Amazon.com inc.,AMZN,CALL,2828300.0,5355754000.0,2.45592,2.5968,4,-103800.0,-3.540125,reduction,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,PUT,15678900.0,2927878000.0,1.3426,1.3346,5,742800.0,4.973186,addition,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Apple inc,AAPL,CALL,10939900.0,2165225000.0,0.992878,1.1846,6,-1599200.0,-12.753706,reduction,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,CALL,10874600.0,2030723000.0,0.931201,1.0575,7,-960200.0,-8.113361,reduction,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Tesla inc,TSLA,PUT,8615000.0,1925108000.0,0.882771,0.6983,8,3597800.0,71.70932,addition,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,06/30/2019,
Apple inc,AAPL,PUT,9428100.0,1866010000.0,0.855671,0.806,9,896700.0,10.510584,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,
Alphabet inc. class a,GOOGL,CALL,1712700.0,1854512000.0,0.850398,0.5045,10,850800.0,98.712148,addition,N/A,Q4 2007,COMMUNICATIONS,13F,06/30/2019,
Ishares iboxx $ high yield corp bond etf,HYG,PUT,20185800.0,1759798000.0,0.806967,0.6158,11,5866100.0,40.965244,addition,No Data,Q3 2016,FINANCE,13F,06/30/2019,
Facebook inc,FB,CALL,8450100.0,1630869000.0,0.747845,0.5853,12,1390000.0,19.688106,addition,N/A,Q2 2012,COMMUNICATIONS,13F,06/30/2019,
Booking holdings inc. (priceline),BKNG,PUT,754400.0,1414281000.0,0.648528,0.5996,13,63500.0,9.19091,addition,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,
Facebook inc,FB,PUT,7275000.0,1404075000.0,0.643848,0.6639,14,-733100.0,-9.154481,reduction,N/A,Q2 2012,COMMUNICATIONS,13F,06/30/2019,
Ishares russell 2000 etf,IWM,PUT,8656800.0,1346132000.0,0.617277,1.1669,15,-6669700.0,-43.517437,reduction,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Spdr gold trust,GLD,CALL,10055200.0,1339353000.0,0.614169,0.2533,16,5881200.0,140.900815,addition,No Data,Q1 2014,MATERIALS,13F,06/30/2019,
Alibaba group holding ltd adr,BABA,PUT,7733400.0,1310425000.0,0.600904,0.5934,17,1193700.0,18.253131,addition,N/A,Q2 2016,COMMUNICATIONS,13F,06/30/2019,
Alibaba group holding ltd adr,BABA,CALL,7670000.0,1299682000.0,0.595977,0.553,18,1575100.0,25.842918,addition,N/A,Q2 2016,COMMUNICATIONS,13F,06/30/2019,
Alphabet inc. class a,GOOGL,PUT,1183900.0,1281927000.0,0.587836,0.5077,19,316500.0,36.488356,addition,N/A,Q3 2007,COMMUNICATIONS,13F,06/30/2019,
Netflix inc,NFLX,CALL,3344100.0,1228355000.0,0.56327,0.4925,20,566700.0,20.403975,addition,N/A,Q1 2008,COMMUNICATIONS,13F,06/30/2019,
Chipotle mexican grill  inc.,CMG,PUT,1554600.0,1139335000.0,0.522449,0.233,21,894900.0,135.652569,addition,N/A,Q4 2007,CONSUMER DISCRETIONARY,13F,06/30/2019,
Ishares russell 2000 etf,IWM,CALL,6676000.0,1038118000.0,0.476036,0.4305,22,1021200.0,18.058994,addition,No Data,Q1 2014,FINANCE,13F,06/30/2019,
Tesla inc,TSLA,CALL,4442600.0,992743000.0,0.455229,0.3887,23,1650100.0,59.090421,addition,N/A,Q3 2010,CONSUMER DISCRETIONARY,13F,06/30/2019,
Spdr gold trust,GLD,PUT,7390500.0,984415000.0,0.45141,0.1768,24,4477300.0,153.6901,addition,No Data,Q1 2014,MATERIALS,13F,06/30/2019,
Alphabet inc. class c,GOOG,CALL,884300.0,955849000.0,0.438311,0.3588,25,269500.0,43.835394,addition,N/A,Q2 2014,COMMUNICATIONS,13F,06/30/2019,
Alphabet inc. class c,GOOG,PUT,855700.0,924935000.0,0.424135,0.4246,26,128000.0,17.589666,addition,N/A,Q2 2014,COMMUNICATIONS,13F,06/30/2019,
Facebook inc,FB,"",4668804.0,901079000.0,0.413196,0.4395,27,-632393.0,-11.929249,reduction,0.1636483,Q2 2012,COMMUNICATIONS,13F,06/30/2019,147.7574
Microsoft corp.,MSFT,CALL,6371500.0,853526000.0,0.39139,0.2857,28,1500300.0,30.799392,addition,N/A,Q1 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,
Netflix inc,NFLX,PUT,2321400.0,852697000.0,0.39101,0.4038,29,44500.0,1.954412,addition,N/A,Q1 2008,COMMUNICATIONS,13F,06/30/2019,
Micron technology  inc.,MU,PUT,20756400.0,800989000.0,0.367299,0.2343,30,9358600.0,82.108828,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,
Microsoft corp.,MSFT,PUT,5215400.0,698655000.0,0.320373,0.2875,31,314200.0,6.410675,addition,N/A,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,
Booking holdings inc. (priceline),BKNG,CALL,365200.0,684644000.0,0.313948,0.3171,32,-200.0,-0.054735,reduction,N/A,Q1 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,
United technologies corp. (united aircraft corp.),UTX,"",5250903.0,683668000.0,0.3135,0.1707,33,2588631.0,97.233904,addition,0.6085040,Q3 2005,INDUSTRIALS,13F,06/30/2019,128.8681
Boeing company,BA,PUT,1833500.0,667412000.0,0.306046,0.4335,34,-451500.0,-19.7593,reduction,N/A,Q3 2007,INDUSTRIALS,13F,06/30/2019,
Adobe systems  inc.,ADBE,"",2118634.0,624255000.0,0.286256,0.2469,35,255762.0,13.729446,addition,0.4364358,Q2 2009,INFORMATION TECHNOLOGY,13F,06/30/2019,203.5597
