Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,PUT,17496100.0,5126357000.0,4.5407,5.0512,1,-2103600.0,-10.732817,reduction,No Data,Q2 2011,FINANCE,13F,06/30/2019,
Ishares msci emerging index fund,EEM,PUT,89592500.0,3844414000.0,3.4052,3.2194,2,7377300.0,8.973158,addition,No Data,Q2 2011,FINANCE,13F,06/30/2019,
Microsoft corp.,MSFT,"",13561153.0,1816652000.0,1.6091,1.4738,3,-135535.0,-0.989546,reduction,0.1776087,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,54.9058
Ishares msci eafe index fund,EFA,PUT,23273900.0,1529794000.0,1.355,1.318,4,1000600.0,4.492374,addition,No Data,Q2 2011,FINANCE,13F,06/30/2019,
Apple inc,AAPL,"",7242005.0,1433336000.0,1.2696,1.3053,5,-289908.0,-3.849062,reduction,0.1602504,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,97.1619
Ubs group ag adr,UBS,"",100975155.0,1196556000.0,1.0598,1.0483,6,6096307.0,6.425359,addition,2.7589368,Q4 2014,FINANCE,13F,06/30/2019,19.0772
Amazon.com inc.,AMZN,"",629071.0,1191228000.0,1.0551,1.0317,7,-5950.0,-0.936977,reduction,0.1271724,Q1 2005,CONSUMER DISCRETIONARY,13F,06/30/2019,666.6943
Invesco qqq trust series 1,QQQ,PUT,6209100.0,1159488000.0,1.027,1.3946,8,-2299100.0,-27.022167,reduction,No Data,Q2 2011,FINANCE,13F,06/30/2019,
Unitedhealth group inc.,UNH,"",4705578.0,1148208000.0,1.017,1.0716,9,-44670.0,-0.940372,reduction,0.4965366,Q4 2012,HEALTH CARE,13F,06/30/2019,219.6082
Alibaba group holding ltd adr,BABA,"",5445985.0,922822000.0,0.8174,0.9516,10,-270581.0,-4.733279,reduction,0.2140381,Q3 2014,COMMUNICATIONS,13F,06/30/2019,123.5709
Ishares russell 2000 etf,IWM,PUT,5856100.0,910624000.0,0.8066,0.8316,11,-97900.0,-1.644273,reduction,No Data,Q2 2011,FINANCE,13F,06/30/2019,
