Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alibaba group holding ltd adr,BABA,"",6194320.0,1049627000.0,1.3089,0.5488,1,3866508.0,166.100527,addition,0.2434491,Q3 2014,COMMUNICATIONS,13F,06/30/2019,157.2817
Amazon.com inc.,AMZN,"",469145.0,888387000.0,1.1078,0.5631,2,224436.0,91.715466,addition,0.0948419,Q3 2007,CONSUMER DISCRETIONARY,13F,06/30/2019,1707.855
Johnson & johnson co.,JNJ,"",6081495.0,847031000.0,1.0562,0.606,3,2726614.0,81.273047,addition,0.2304321,Q1 2002,HEALTH CARE,13F,06/30/2019,136.6887
Microsoft corp.,MSFT,"",6098891.0,817008000.0,1.0188,0.5765,4,2315955.0,61.221099,addition,0.0798764,Q1 2002,INFORMATION TECHNOLOGY,13F,06/30/2019,104.0155
Conocophillips (phillips petroleum),COP,"",12984033.0,792026000.0,0.9876,0.521,5,6942095.0,114.898481,addition,1.1695852,Q1 2002,ENERGY,13F,06/30/2019,61.561
Lowes companies  inc.,LOW,"",7549951.0,761866000.0,0.95,1.2337,6,-1171871.0,-13.43608,reduction,0.9643324,Q1 2006,CONSUMER DISCRETIONARY,13F,06/30/2019,87.0267
Amazon.com inc.,AMZN,PUT,379000.0,717686000.0,0.8949,0.7996,7,31500.0,9.064748,addition,N/A,Q1 2003,CONSUMER DISCRETIONARY,13F,06/30/2019,
Apple inc,AAPL,"",3496710.0,692068000.0,0.863,1.4293,8,-2326765.0,-39.954924,reduction,0.0773749,Q1 2004,INFORMATION TECHNOLOGY,13F,06/30/2019,151.4579
Verisign inc.,VRSN,"",3226101.0,674772000.0,0.8414,0.7593,9,-10440.0,-0.322567,reduction,2.7254380,Q3 2008,COMMUNICATIONS,13F,06/30/2019,66.6798
Nvidia corp.,NVDA,"",3911215.0,642338000.0,0.801,0.0897,10,3524789.0,912.151097,addition,0.6422356,Q2 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,170.1022
Biogen inc,BIIB,"",2572976.0,601742000.0,0.7504,0.3203,11,1524355.0,145.367583,addition,1.3949450,Q2 2008,HEALTH CARE,13F,06/30/2019,244.3398
Anadarko petroleum corp.,APC,"",8042295.0,567464000.0,0.7076,0.1679,12,5185196.0,181.484646,addition,N/A,Q1 2005,ENERGY,13F,06/30/2019,166.6148
Wells fargo & co.  (northwest bancorporation),WFC,"",11225432.0,531187000.0,0.6624,0.4326,13,4297389.0,62.028902,addition,0.2547697,Q4 2006,FINANCE,13F,06/30/2019,49.1757
Medtronic plc,MDT,"",5333541.0,519433000.0,0.6477,0.5186,14,927269.0,21.044298,addition,0.3976812,Q3 2004,HEALTH CARE,13F,06/30/2019,90.7075
Fidelity national information services inc,FIS,"",4176824.0,512413000.0,0.639,0.5854,15,171450.0,4.280499,addition,0.6808855,Q4 2005,FINANCE,13F,06/30/2019,87.5583
Abbvie inc,ABBV,"",6391103.0,464761000.0,0.5796,0.6347,16,296368.0,4.862689,addition,0.4322752,Q1 2013,HEALTH CARE,13F,06/30/2019,80.0809
Visa inc,V,"",2667818.0,463000000.0,0.5774,0.329,17,1037842.0,63.672226,addition,0.1344727,Q2 2008,FINANCE,13F,06/30/2019,133.867
Mercadolibre inc,MELI,"",689219.0,421644000.0,0.5258,0.448,18,6341.0,0.92857,addition,1.3864796,Q4 2012,COMMUNICATIONS,13F,06/30/2019,465.3103
Colgate-palmolive co.,CL,"",5853202.0,419499000.0,0.5231,0.6977,19,-2024377.0,-25.697959,reduction,0.6821834,Q4 2009,CONSUMER STAPLES,13F,06/30/2019,67.2947
Gilead sciences inc.,GILD,"",6183613.0,417765000.0,0.5209,0.5378,20,-218887.0,-3.418774,reduction,0.4882596,Q4 2012,HEALTH CARE,13F,06/30/2019,68.0572
Merck & co,MRK,"",4952296.0,415250000.0,0.5178,0.6411,21,-1013455.0,-16.987886,reduction,0.1934204,Q1 2002,HEALTH CARE,13F,06/30/2019,62.6475
Starbucks corp.,SBUX,"",4798781.0,402282000.0,0.5016,0.4101,22,529304.0,12.397397,addition,0.4009007,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,73.4773
