Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Altaba inc. (yahoo),AABA,"",15913544.0,1104241000.0,14.1225,3.7465,1,14072656.0,764.449331,addition,3.0631834,Q1 2015,FINANCE,13F,06/30/2019,68.9399
Anadarko petroleum corp.,APC,"",12528026.0,883978000.0,11.3054,,2,12528026.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,70.56
First data corp,FDC,"",27569738.0,746313000.0,9.5448,,3,27569738.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,27.07
Red hat inc,RHT,"",3937870.0,739374000.0,9.4561,,4,3937870.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,187.76
Anadarko petroleum corp.,APC,PUT,6000000.0,423360000.0,5.4145,,5,6000000.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,
Vistra energy cp,VST,"",12506286.0,283142000.0,3.6212,9.7678,6,-1162174.0,-8.502596,reduction,2.5435824,Q2 2017,ENERGY,13F,06/30/2019,18.372
Array biopharma inc,ARRY,"",5805612.0,268684000.0,3.4363,,7,5805612.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,46.33
Worldpay inc class a,WP,"",1381243.0,169271000.0,2.1649,,8,1381243.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,122.55
Tyson foods  inc.,TSN,"",1908433.0,154087000.0,1.9707,0.7624,9,1508433.0,377.10825,addition,0.5233028,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,78.3695
Pg&e corp. (pacific gas & electric),PCG,"",5955336.0,136496000.0,1.7457,1.0751,10,3755336.0,170.697091,addition,1.1253044,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,21.0286
Tenet healthcare corp.,THC,"",5566234.0,114998000.0,1.4707,3.7935,11,775000.0,16.175374,addition,5.3806032,Q2 2017,HEALTH CARE,13F,06/30/2019,19.1183
Contura energy inc,CTRA,"",1876285.0,97379000.0,1.2454,2.9835,12,0.0,0.0,,9.7621488,Q4 2018,ENERGY,13F,06/30/2019,65.74
Avaya holdings corp,AVYA,"",7305945.0,87014000.0,1.1128,5.023,13,-3565168.0,-32.794876,reduction,6.5807467,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,22.386
Clear channel outdoor holdings inc,CCO,"",16888360.0,79713000.0,1.0195,,14,16888360.0,,new,3.6242671,Q2 2019,COMMUNICATIONS,13F,06/30/2019,4.72
Tableau software inc,DATA,"",455000.0,75539000.0,0.9661,,15,455000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,166.02
Restaurant brands international inc,QSR,"",1025000.0,71279000.0,0.9116,1.3406,16,275000.0,36.666667,addition,0.4001405,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,63.1882
Twitter inc,TWTR,PRN,70000000.0,68170000.0,0.8718,1.0333,17,30000000.0,75.0,addition,N/A,Q4 2015,COMMUNICATIONS,13F,06/30/2019,
Take-two interactive software  inc.,TTWO,"",450000.0,51089000.0,0.6534,0.2267,18,362500.0,414.285714,addition,0.3975967,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,118.2861
Walt disney co. (the),DIS,"",325000.0,45383000.0,0.5804,0.7621,19,75000.0,30.0,addition,0.0180417,Q1 2019,COMMUNICATIONS,13F,06/30/2019,117.6323
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",475000.0,44954000.0,0.5749,0.7533,20,250000.0,111.111111,addition,0.6340942,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,93.8395
Electronic arts  inc.,EA,CALL,425000.0,43036000.0,0.5504,,21,425000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Dollar tree inc.,DLTR,"",387500.0,41606000.0,0.5321,,22,387500.0,,new,0.1631030,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,107.39
Radius health inc,RDUS,PRN,45000000.0,40720000.0,0.5208,1.0254,23,0.0,0.0,,N/A,Q3 2017,HEALTH CARE,13F,06/30/2019,
Adobe systems  inc.,ADBE,"",137500.0,40512000.0,0.5181,,24,137500.0,,new,0.0283248,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,294.65
Tesla inc,TSLA,PRN,40000000.0,39286000.0,0.5024,,25,40000000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Vaneck vect semiconductor etf,SMH,PUT,350000.0,38563000.0,0.4932,,26,350000.0,,new,No Data,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Wayfair inc class a,W,PRN,25000000.0,37842000.0,0.484,1.052,27,0.0,0.0,,N/A,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Altice usa inc,ATUS,"",1542792.0,37567000.0,0.4805,1.2089,28,-507208.0,-24.741854,reduction,0.2381844,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,21.48
Microchip technology inc,MCHP,PRN,30000000.0,35343000.0,0.452,1.8385,29,-31000000.0,-50.819672,reduction,N/A,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Target corp.,TGT,PUT,400000.0,34644000.0,0.4431,,30,400000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Smartsheet inc,SMAR,"",711507.0,34437000.0,0.4404,0.5048,31,260754.0,57.848533,addition,0.6677055,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,43.5789
Univar solutions inc,UNVR,"",1556878.0,34314000.0,0.4389,,32,1556878.0,,new,0.9233057,Q2 2019,MATERIALS,13F,06/30/2019,22.04
Chewy inc,CHWY,"",939870.0,32895000.0,0.4207,,33,939870.0,,new,0.2357928,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,35.0
Lendingtree inc,TREE,"",75000.0,31483000.0,0.4026,0.8534,34,-13550.0,-15.302089,reduction,0.5773672,Q4 2018,FINANCE,13F,06/30/2019,332.9279
Spartan energy acquisition corp,SPAQ/U,"",3000000.0,30300000.0,0.3875,0.836,35,0.0,0.0,,N/A,Q3 2018, ,13F,06/30/2019,
