Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",29734169.0,3983178000.0,2.3378,1.678,1,5836828.0,24.424592,addition,0.3894247,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,77.1145
Apple inc,AAPL,"",16631072.0,3291613000.0,1.9319,1.5839,2,2625310.0,18.7445,addition,0.3680108,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,131.0195
Amazon.com inc.,AMZN,"",1523574.0,2885075000.0,1.6933,1.542,3,69113.0,4.751795,addition,0.3080043,Q4 2001,CONSUMER DISCRETIONARY,13F,06/30/2019,1096.7708
Linde plc,LIN,"",11235643.0,2256108000.0,1.3241,0.9035,4,2609111.0,30.24519,addition,3.9069626,Q4 2018,MATERIALS,13F,06/30/2019,166.7798
Alphabet inc. class a,GOOGL,"",2082443.0,2254859000.0,1.3234,1.3942,5,92636.0,4.655527,addition,0.3003235,Q3 2004,COMMUNICATIONS,13F,06/30/2019,713.4053
Facebook inc,FB,"",10168046.0,1962426000.0,1.1518,0.9682,6,411339.0,4.215961,addition,0.3564046,Q2 2012,COMMUNICATIONS,13F,06/30/2019,133.5168
Alphabet inc. class c,GOOG,"",1753835.0,1895727000.0,1.1126,1.0248,7,286710.0,19.542302,addition,0.2529327,Q2 2014,COMMUNICATIONS,13F,06/30/2019,899.8558
Johnson & johnson co.,JNJ,"",13346398.0,1858877000.0,1.091,1.0701,8,488230.0,3.797042,addition,0.5057044,Q4 2001,HEALTH CARE,13F,06/30/2019,113.8931
Merck & co,MRK,"",21665711.0,1816660000.0,1.0662,0.962,9,2236445.0,11.510702,addition,0.8461912,Q4 2001,HEALTH CARE,13F,06/30/2019,54.6884
Pfizer  inc.,PFE,"",41462483.0,1796146000.0,1.0542,1.1266,10,-3094973.0,-6.946027,reduction,0.7496313,Q4 2001,HEALTH CARE,13F,06/30/2019,31.5293
Spdr s&p 500 etf trust,SPY,"",5425697.0,1589725000.0,0.933,0.9938,11,-483367.0,-8.180094,reduction,No Data,Q4 2017,FINANCE,13F,06/30/2019,253.4666
Visa inc,V,"",9023492.0,1566017000.0,0.9191,0.8217,12,186578.0,2.111348,addition,0.4548337,Q2 2008,FINANCE,13F,06/30/2019,85.5196
Pepsico inc. (loft  inc.),PEP,"",11691405.0,1533083000.0,0.8998,0.9881,13,-1851020.0,-13.668305,reduction,0.8384301,Q4 2001,CONSUMER STAPLES,13F,06/30/2019,92.4203
Jpmorgan chase & co. (chemical bank),JPM,"",13477739.0,1506800000.0,0.8844,0.7274,14,1408017.0,11.665695,addition,0.4215100,Q4 2001,FINANCE,13F,06/30/2019,72.6125
Wells fargo & co.  (northwest bancorporation),WFC,"",30942159.0,1464173000.0,0.8593,0.7665,15,4297522.0,16.129032,addition,0.7022557,Q4 2001,FINANCE,13F,06/30/2019,50.0518
Cisco systems  inc.,CSCO,"",24765075.0,1355383000.0,0.7955,0.7876,16,261261.0,1.066205,addition,0.5785246,Q4 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,24.555
Tc energy corp,TRP,"",27123265.0,1343138000.0,0.7883,0.754,17,-1057339.0,-3.75201,reduction,2.9077568,Q4 2001,ENERGY,13F,06/30/2019,44.2977
Home depot  inc. (the),HD,"",6397441.0,1330465000.0,0.7809,0.5191,18,1853767.0,40.798856,addition,0.5814323,Q4 2001,CONSUMER DISCRETIONARY,13F,06/30/2019,148.4108
Verizon communications,VZ,"",22974899.0,1312546000.0,0.7703,0.753,19,1585953.0,7.414825,addition,0.5555168,Q4 2001,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,48.3089
Walt disney co. (the),DIS,"",8472077.0,1183031000.0,0.6943,0.6548,20,-1433911.0,-14.475194,reduction,0.4703104,Q4 2001,COMMUNICATIONS,13F,06/30/2019,99.2677
Alibaba group holding ltd adr,BABA,"",6842646.0,1159478000.0,0.6805,0.7375,21,53382.0,0.786271,addition,0.2689296,Q3 2014,COMMUNICATIONS,13F,06/30/2019,111.822
Nextera energy inc.,NEE,"",5416444.0,1109602000.0,0.6512,0.653,22,-257254.0,-4.53415,reduction,1.1305456,Q4 2001,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,111.1489
Bank of america corp. (north carolina national bank),BAC,"",38237310.0,1108874000.0,0.6508,0.7893,23,-9815105.0,-20.425831,reduction,0.4107873,Q4 2001,FINANCE,13F,06/30/2019,23.8086
Boeing company,BA,"",2928933.0,1066152000.0,0.6257,0.5156,24,658185.0,28.985383,addition,0.5205049,Q4 2001,INDUSTRIALS,13F,06/30/2019,262.1535
Coca cola co.,KO,"",20563250.0,1047072000.0,0.6145,0.6367,25,-2260642.0,-9.904717,reduction,0.4808958,Q4 2001,CONSUMER STAPLES,13F,06/30/2019,43.0346
Chevron corp. (standard oil of california),CVX,"",8294844.0,1032200000.0,0.6058,0.7265,26,-1612377.0,-16.274766,reduction,0.4369341,Q4 2001,ENERGY,13F,06/30/2019,114.2318
Medtronic plc,MDT,"",10518545.0,1024390000.0,0.6012,0.0534,27,9532893.0,967.166201,addition,0.7842871,Q4 2001,HEALTH CARE,13F,06/30/2019,95.6222
Procter & gamble co. (oh) (1905),PG,"",9236159.0,1012734000.0,0.5944,0.6563,28,-1359221.0,-12.828431,reduction,0.3690581,Q4 2001,CONSUMER STAPLES,13F,06/30/2019,81.8902
Enbridge  inc.,ENB,"",27557781.0,994275000.0,0.5835,0.5526,29,1960052.0,7.657132,addition,1.3616244,Q2 2002,ENERGY,13F,06/30/2019,36.752
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",5502822.0,960730000.0,0.5639,0.5485,30,-293989.0,-5.071564,reduction,0.7648013,Q4 2001,INDUSTRIALS,13F,06/30/2019,110.7964
