Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ishares msci brazil capped etf,EWZ,"",2770145.0,121111000.0,11.5578,1.0938,1,2513884.0,980.985792,addition,No Data,Q4 2018,FINANCE,13F,06/30/2019,43.2094
Intelsat s.a.,I,"",5907633.0,114903000.0,10.9654,9.946,2,-191443.0,-3.138885,reduction,4.2802731,Q1 2016,COMMUNICATIONS,13F,06/30/2019,5.1655
Qualcomm inc.,QCOM,"",982800.0,74762000.0,7.1347,,3,982800.0,,new,0.0808450,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,76.07
Stoneco ltd,STNE,"",2243228.0,66355000.0,6.3324,16.8915,4,-1702533.0,-43.148407,reduction,0.8096250,Q4 2018,FINANCE,13F,06/30/2019,18.44
Vanguard ftse emerging markets etf,VWO,"",1429300.0,60788000.0,5.8011,,5,1429300.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,42.53
Ishares china large-cap etf,FXI,"",1412919.0,60431000.0,5.767,,6,1412919.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,42.77
T-mobile us inc,TMUS,"",753300.0,55850000.0,5.3299,4.4102,7,140400.0,22.907489,addition,0.0881609,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,64.4473
Alphabet inc. class a,GOOGL,"",40000.0,43312000.0,4.1333,,8,40000.0,,new,0.0057687,Q2 2019,COMMUNICATIONS,13F,06/30/2019,1082.8
Walt disney co. (the),DIS,"",262500.0,36656000.0,3.4982,,9,262500.0,,new,0.0145722,Q4 2018,COMMUNICATIONS,13F,06/30/2019,139.64
Alphabet inc. class c,GOOG,"",32270.0,34881000.0,3.3288,0.8394,10,25400.0,369.723435,addition,0.0046539,Q4 2016,COMMUNICATIONS,13F,06/30/2019,1071.3098
Yandex n.v.,YNDX,"",865911.0,32905000.0,3.1402,6.0781,11,-833800.0,-49.055398,reduction,0.2666557,Q1 2016,COMMUNICATIONS,13F,06/30/2019,31.9749
Icici bank ltd. ads adr,IBN,"",2581543.0,32502000.0,3.1017,,12,2581543.0,,new,0.0802327,Q4 2017,FINANCE,13F,06/30/2019,12.59
Alibaba group holding ltd adr,BABA,CALL,170000.0,28807000.0,2.7491,,13,170000.0,,new,N/A,Q1 2018,COMMUNICATIONS,13F,06/30/2019,
General electric co,GE,"",2424578.0,25458000.0,2.4295,3.7565,14,-1186403.0,-32.855421,reduction,0.0277823,Q4 2018,INDUSTRIALS,13F,06/30/2019,7.2788
Ishares china large-cap etf,FXI,CALL,570000.0,24379000.0,2.3265,10.0498,15,-1610000.0,-73.853211,reduction,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Spdr s&p homebuilders etf,XHB,"",569600.0,23741000.0,2.2656,,16,569600.0,,new,No Data,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,41.68
Ishares msci emerging index fund,EEM,"",518235.0,22237000.0,2.1221,,17,518235.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,42.91
Yy inc adr,YY,"",275800.0,19221000.0,1.8343,,18,275800.0,,new,0.3411255,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,69.69
New oriental education & tech group inc adr,EDU,"",195102.0,18843000.0,1.7982,,19,195102.0,,new,0.1368369,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,96.58
Boeing company,BA,PUT,50000.0,18201000.0,1.737,,20,50000.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Wisdomtree india earnings fund,EPI,"",622273.0,16216000.0,1.5475,4.4255,21,-991790.0,-61.446796,reduction,No Data,Q3 2018,FINANCE,13F,06/30/2019,25.1033
Ziopharm oncology inc,ZIOP,"",2751388.0,16041000.0,1.5308,0.7044,22,994575.0,56.612457,addition,1.6926410,Q1 2019,HEALTH CARE,13F,06/30/2019,4.5657
Cameco corp.,CCJ,"",1412913.0,15150000.0,1.4458,1.6205,23,92600.0,7.013488,addition,0.3569765,Q4 2018,ENERGY,13F,06/30/2019,11.4377
Facebook inc,FB,"",67500.0,13028000.0,1.2433,,24,67500.0,,new,0.0023660,Q1 2016,COMMUNICATIONS,13F,06/30/2019,193.0
Tesla inc,TSLA,"",57350.0,12815000.0,1.223,4.1674,25,-85650.0,-59.895105,reduction,0.0320159,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,279.86
Luckin coffee inc,LK,"",651000.0,12688000.0,1.2108,,26,651000.0,,new,0.2765741,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,19.49
Alibaba group holding ltd adr,BABA,"",62500.0,10591000.0,1.0107,1.575,27,-20400.0,-24.607961,reduction,0.0024564,Q2 2017,COMMUNICATIONS,13F,06/30/2019,172.6451
Db x-trackers harvest csi 300 china a-shares fund,ASHR,"",322500.0,9082000.0,0.8667,,28,322500.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,28.16
Farfetch ltd,FTCH,"",295803.0,6153000.0,0.5872,0.084,29,265803.0,886.01,addition,0.0986470,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,21.4197
Realreal inc,REAL,"",200000.0,5780000.0,0.5516,,30,200000.0,,new,0.2344116,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,28.9
Crowdstrike holdings inc,CRWD,"",83000.0,5668000.0,0.5409,,31,83000.0,,new,0.0421984,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,68.29
Ranpak holdings corp,PACK,"",600000.0,5310000.0,0.5067,,32,600000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Ishares jp morgan usd emerging markets b,EMB,"",13745.0,1557000.0,0.1486,0.2047,33,-4115.0,-23.040314,reduction,No Data,Q1 2019,FINANCE,13F,06/30/2019,110.06
Invesco qqq trust series 1,QQQ,"",4500.0,840000.0,0.0802,,34,4500.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,186.74
Vaneck vectors jp morgan em local curren,EMLC,"",22780.0,790000.0,0.0754,,35,22780.0,,new,No Data,Q2 2018,FINANCE,13F,06/30/2019,34.7
Lyft inc,LYFT,"",7440.0,489000.0,0.0467,1.6485,36,-194766.0,-96.320584,reduction,0.0025408,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,78.29
Invesco dynamic building & construction,PKB,"",10560.0,327000.0,0.0312,,37,10560.0,,new,No Data,Q2 2019,INDUSTRIALS,13F,06/30/2019,30.96
Embraer s.a. adr,ERJ,"",0.0,0.0,,1.9636,"",-991930.0,-100.0,soldall,0.0000000,Q1 2018,INDUSTRIALS,13F,06/30/2019,24.1458
Spdr s&p health care etf,XLV,"",0.0,0.0,,0.1405,"",-14703.0,-100.0,soldall,No Data,Q1 2019,HEALTH CARE,13F,06/30/2019,91.75
Spdr s&p oil & gas exploration & production etf,XOP,"",0.0,0.0,,0.0423,"",-13200.0,-100.0,soldall,No Data,Q1 2018,ENERGY,13F,06/30/2019,30.74
Diamondback energy inc,FANG,"",0.0,0.0,,2.5702,"",-243100.0,-100.0,soldall,0.0000000,Q3 2018,ENERGY,13F,06/30/2019,124.8469
Opera ltd,OPRA,"",0.0,0.0,,0.3043,"",-444810.0,-100.0,soldall,0.0000000,Q3 2018,COMMUNICATIONS,13F,06/30/2019,8.99
Tencent music entertainment group,TME,"",0.0,0.0,,1.2185,"",-646448.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,13.22
Caterpillar inc.,CAT,"",0.0,0.0,,5.9681,"",-423000.0,-100.0,soldall,0.0000000,Q4 2018,INDUSTRIALS,13F,06/30/2019,127.07
Amazon.com inc.,AMZN,"",0.0,0.0,,2.2587,"",-12180.0,-100.0,soldall,0.0000000,Q1 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,1736.5587
Petroleo brasileiro sa petrobras class a adr,PBR.A,"",0.0,0.0,,5.3179,"",-3571177.0,-100.0,soldall,0.0000000,Q3 2016,ENERGY,13F,06/30/2019,12.4416
Spdr materials select sector etf,XLB,"",0.0,0.0,,0.0683,"",-11820.0,-100.0,soldall,No Data,Q1 2019,MATERIALS,13F,06/30/2019,55.5
Ishares u.s. aerospace & defense etf,ITA,"",0.0,0.0,,0.1251,"",-6016.0,-100.0,soldall,No Data,Q3 2018,INDUSTRIALS,13F,06/30/2019,203.3941
Vaneck vect semiconductor etf,SMH,PUT,0.0,0.0,,2.2145,"",-200000.0,-100.0,soldall,No Data,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Parsley energy inc,PE,"",0.0,0.0,,3.3194,"",-1651627.0,-100.0,soldall,0.0000000,Q1 2016,ENERGY,13F,06/30/2019,29.945
Gds holdings ltd adr,GDS,"",0.0,0.0,,1.7453,"",-469600.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.69
Microsoft corp.,MSFT,"",0.0,0.0,,3.5548,"",-289448.0,-100.0,soldall,0.0000000,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,108.2884
Electronic arts  inc.,EA,CALL,0.0,0.0,,1.6933,"",-160000.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
