Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Invesco qqq trust series 1,QQQ,PUT,9490000.0,1772163000.0,11.8744,8.7188,1,1750000.0,22.609819,addition,No Data,Q3 2015,FINANCE,13F,06/30/2019,
Arconic inc. (alcoa),ARNC,"",51902133.0,1340113000.0,8.9794,6.2188,2,0.0,0.0,,11.7908478,Q4 2015,INDUSTRIALS,13F,06/30/2019,25.8888
Firstenergy corp.,FE,"",25043653.0,1072119000.0,7.1837,6.5337,3,0.0,0.0,,4.6377994,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,37.17
Hess corp,HES,"",16254358.0,1033290000.0,6.9235,8.2873,4,-5690642.0,-25.931383,reduction,5.3383992,Q4 2012,ENERGY,13F,06/30/2019,67.0553
Peabody energy corp,BTU,"",28166201.0,678805000.0,4.5483,5.0031,5,0.0,0.0,,No Data,Q2 2017,ENERGY,13F,06/30/2019,29.2733
Dell technologies inc,DELL,"",12860919.0,653335000.0,4.3777,4.1269,6,1646088.0,14.677778,addition,1.6744680,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,52.6203
Citrix systems inc.,CTXS,"",6091000.0,597771000.0,4.0054,3.806,7,0.0,0.0,,4.6531704,Q2 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,55.9541
Invesco qqq trust series 1,QQQ,CALL,3000000.0,560220000.0,3.7537,8.4484,8,-4500000.0,-60.0,reduction,No Data,Q1 2017,FINANCE,13F,06/30/2019,
Spdr s&p oil & gas exploration & production etf,XOP,PUT,19560000.0,533010000.0,3.5714,4.2036,9,-2250000.0,-10.316369,reduction,No Data,Q1 2016,ENERGY,13F,06/30/2019,
Ishares iboxx $ high yield corp bond etf,HYG,CALL,6000000.0,523080000.0,3.5049,,10,6000000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Devon energy corp.,DVN,"",17525000.0,499813000.0,3.349,3.4678,11,-300000.0,-1.683029,reduction,4.3357249,Q2 2018,ENERGY,13F,06/30/2019,34.7417
Vanguard real estate etf,VNQ,PUT,4500000.0,393300000.0,2.6353,2.2069,12,450000.0,11.111111,addition,No Data,Q2 2015,REAL ESTATE,13F,06/30/2019,
Ebay inc.,EBAY,"",9900000.0,391050000.0,2.6202,2.3054,13,0.0,0.0,,1.1803138,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,37.14
Roadrunner transportation systems inc,RRTS,"",33986394.0,324570000.0,2.1748,2.2354,14,-814889154.0,-95.996304,addition,90.2932891,Q4 2015,TRANSPORTS,13F,06/30/2019,33.1782
Spdr energy select sector fund,XLE,PUT,5000000.0,318550000.0,2.1344,,15,5000000.0,,new,No Data,Q2 2019,ENERGY,13F,06/30/2019,
Nielsen n.v.,NLSN,"",14000000.0,316400000.0,2.12,2.0777,16,0.0,0.0,,3.9362330,Q3 2018,COMMUNICATIONS,13F,06/30/2019,24.8764
