Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Altaba inc. (yahoo),AABA,"",28362317.0,1967494000.0,16.2924,16.4445,1,755000.0,2.734782,addition,5.4594362,Q4 2016,FINANCE,13F,06/30/2019,61.526
Spdr s&p 500 etf trust,SPY,PUT,3647500.0,1068718000.0,8.84985,7.0771,2,530000.0,17.000802,addition,No Data,Q3 2015,FINANCE,13F,06/30/2019,
Anadarko petroleum corp.,APC,"",10465000.0,738410000.0,6.11463,,3,10465000.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,226.37
Westinghouse air brake technologies corp,WAB,"",6568373.0,471346000.0,3.90313,3.6984,4,325801.0,5.219019,addition,3.4908445,Q1 2017,INDUSTRIALS,13F,06/30/2019,74.9606
Iqvia holdings inc,IQV,"",2579011.0,414963000.0,3.43623,2.4943,5,421416.0,19.531747,addition,1.3164936,Q4 2016,HEALTH CARE,13F,06/30/2019,97.2885
Array biopharma inc,ARRY,"",8500000.0,393805000.0,3.26102,1.0776,6,3000000.0,54.545455,addition,N/A,Q1 2018,HEALTH CARE,13F,06/30/2019,26.7868
Fidelity national information services inc,FIS,"",2842640.0,348735000.0,2.88781,1.931,7,718125.0,33.801832,addition,0.4633933,Q1 2016,FINANCE,13F,06/30/2019,93.9642
Anthem inc,ANTM,"",1050000.0,296321000.0,2.45378,1.9027,8,225000.0,27.272727,addition,0.4104448,Q2 2017,HEALTH CARE,13F,06/30/2019,231.6689
Charter communications inc,CHTR,"",700405.0,276786000.0,2.29201,2.2497,9,-106533.0,-13.20213,reduction,0.3162385,Q2 2013,COMMUNICATIONS,13F,06/30/2019,295.6775
General dynamics corp. (electric boat),GD,"",1335214.0,242769000.0,2.01032,1.4713,10,253726.0,23.460824,addition,0.4622677,Q2 2018,INDUSTRIALS,13F,06/30/2019,186.1492
Playa hotels & resorts nv,PLYA,"",30606930.0,235979000.0,1.9541,1.8767,11,0.0,0.0,,23.5474150,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,10.5208
Ihs markit ltd,INFO,"",3604997.0,229710000.0,1.90218,2.6691,12,-2502549.0,-40.974706,reduction,0.8988897,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,41.9471
Sherwin-williams co.,SHW,"",465699.0,213425000.0,1.76733,1.3297,13,81536.0,21.224324,addition,0.5047680,Q1 2019,MATERIALS,13F,06/30/2019,435.5388
Visa inc,V,"",1187779.0,206139000.0,1.707,2.0217,14,-422900.0,-26.256008,reduction,0.0598706,Q4 2016,FINANCE,13F,06/30/2019,91.6657
Equifax inc.,EFX,"",1463779.0,197961000.0,1.63928,1.8656,15,-495239.0,-25.279962,reduction,1.2109356,Q3 2017,INDUSTRIALS,13F,06/30/2019,98.3874
Equinix inc,EQIX,"",383132.0,193210000.0,1.59993,1.5177,16,-33627.0,-8.068692,reduction,0.4737628,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,396.5686
S&p global inc. (mcgraw-hill inc.),SPGI,"",840786.0,191523000.0,1.58597,1.5424,17,-70765.0,-7.763142,reduction,0.3413666,Q1 2019,COMMUNICATIONS,13F,06/30/2019,210.55
Citrix systems inc.,CTXS,"",1916051.0,188041000.0,1.55713,1.594,18,-74133.0,-3.724932,reduction,1.4637517,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,83.9178
Booking holdings inc. (priceline),BKNG,"",97449.0,182689000.0,1.51281,2.594,19,-87533.0,-47.319739,reduction,0.1986323,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1906.1753
Ascendis pharma a/s adr,ASND,"",1540000.0,177331000.0,1.46844,1.4188,20,40000.0,2.666667,addition,3.6544850,Q1 2018,HEALTH CARE,13F,06/30/2019,66.7651
Facebook inc,FB,"",904284.0,174527000.0,1.44522,2.4503,21,-924889.0,-50.563233,reduction,0.0316965,Q1 2017,COMMUNICATIONS,13F,06/30/2019,147.3158
Astrazeneca plc,AZN,"",4100000.0,169248000.0,1.40151,1.2623,22,215000.0,5.534106,addition,0.3256553,Q4 2016,HEALTH CARE,13F,06/30/2019,34.4415
Microsoft corp.,MSFT,"",1257503.0,168455000.0,1.39494,1.5453,23,-372898.0,-22.871551,reduction,0.0164694,Q3 2013,INFORMATION TECHNOLOGY,13F,06/30/2019,60.7601
Cigna holding co,CI,"",1050000.0,165428000.0,1.36988,1.2213,24,105000.0,11.111111,addition,0.2780647,Q1 2018,FINANCE,13F,06/30/2019,186.683
Alphabet inc. class c,GOOG,"",142223.0,153730000.0,1.27301,2.7564,25,-150105.0,-51.348143,reduction,0.0205110,Q2 2014,COMMUNICATIONS,13F,06/30/2019,900.0928
Iovance biotherapeutics inc,IOVA,"",5725000.0,140377000.0,1.16243,0.4375,26,0.0,0.0,,4.6232738,Q3 2017,HEALTH CARE,13F,06/30/2019,12.0615
Transunion,TRU,"",1672343.0,122934000.0,1.01799,2.3193,27,-2645503.0,-61.269045,reduction,0.8904915,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,53.1785
Sea ltd adr,SE,"",3375000.0,112118000.0,0.928428,1.308,28,-3545000.0,-51.228324,reduction,1.0319839,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,23.52
Mirati therapeutics inc,MRTX,"",995000.0,102485000.0,0.848659,0.7069,29,-205000.0,-17.083333,reduction,2.5318066,Q1 2018,HEALTH CARE,13F,06/30/2019,42.9652
Myokardia inc,MYOK,"",2000000.0,100280000.0,0.830399,0.8149,30,49722.0,2.549483,addition,4.3365134,Q3 2017,HEALTH CARE,13F,06/30/2019,47.2472
Acceleron pharma inc,XLRN,"",2375000.0,97565000.0,0.807917,0.8889,31,0.0,0.0,,4.5074967,Q3 2017,HEALTH CARE,13F,06/30/2019,43.2615
Liberty global plc class c,LBTYK,"",3675974.0,97524000.0,0.807577,0.8382,32,-632132.0,-14.673084,reduction,0.5032961,Q1 2017,COMMUNICATIONS,13F,06/30/2019,31.7103
Zogenix inc,ZGNX,"",2000000.0,95560000.0,0.791314,0.9065,33,-50500.0,-2.462814,reduction,4.5197740,Q2 2017,HEALTH CARE,13F,06/30/2019,37.7771
Zayo group holdings inc,ZAYO,"",2820000.0,92806000.0,0.768509,,34,2820000.0,,new,1.1935498,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,32.91
Sage therapeutics inc,SAGE,"",500000.0,91545000.0,0.758066,0.7669,35,-100000.0,-16.666667,reduction,0.9678668,Q2 2017,HEALTH CARE,13F,06/30/2019,136.3283
Alibaba group holding ltd adr,BABA,"",500000.0,84725000.0,0.701591,0.6085,36,85000.0,20.481928,addition,0.0196510,Q3 2018,COMMUNICATIONS,13F,06/30/2019,150.7389
Enanta pharmaceuticals inc,ENTA,"",1175000.0,83436750.0,0.690924,0.7216,37,215000.0,22.395833,addition,5.9705285,,HEALTH CARE,13G,09/19/2019,
Amarin corp. adr,AMRN,"",4250000.0,82408000.0,0.682405,0.5422,38,1000000.0,30.769231,addition,1.1897763,Q1 2018,HEALTH CARE,13F,06/30/2019,7.2979
Alnylam pharmaceuticals inc,ALNY,"",1100000.0,79816000.0,0.660941,0.3755,39,600000.0,120.0,addition,0.9891197,Q1 2018,HEALTH CARE,13F,06/30/2019,82.7653
Genesee & wyoming inc  class a,GWR,"",775000.0,77500000.0,0.641763,,40,775000.0,,new,1.3603651,Q2 2019,TRANSPORTS,13F,06/30/2019,100.0
Fibrogen inc,FGEN,"",1700000.0,76806000.0,0.636016,0.3999,41,784421.0,85.674857,addition,1.9558214,Q3 2016,HEALTH CARE,13F,06/30/2019,40.9773
Sarepta therapeutics inc,SRPT,"",500000.0,75975000.0,0.629134,0.6226,42,-150000.0,-23.076923,reduction,0.6725854,Q3 2018,HEALTH CARE,13F,06/30/2019,124.9987
Novocure ltd,NVCR,"",1200000.0,75876000.0,0.628314,0.4065,43,150000.0,14.285714,addition,1.2222449,Q4 2017,HEALTH CARE,13F,06/30/2019,26.0971
Reata pharmaceuticals inc,RETA,"",800000.0,75480000.0,0.625035,0.5152,44,50000.0,6.666667,addition,2.6569246,Q3 2018,HEALTH CARE,13F,06/30/2019,81.9288
Sprint corp,S,"",10675000.0,70135000.0,0.580774,0.0722,45,9085000.0,571.383648,addition,0.2608175,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,6.433
Grifols s.a. adr,GRFS,"",3080083.0,64990000.0,0.53817,0.4729,46,153731.0,5.253332,addition,0.4479795,Q1 2015,HEALTH CARE,13F,06/30/2019,20.0214
Exelixis inc,EXEL,"",3000000.0,64110000.0,0.530883,0.5738,47,0.0,0.0,,0.9903932,Q3 2018,HEALTH CARE,13F,06/30/2019,20.3447
