Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Firstenergy corp.,FE,"",2889699.0,123708000.0,11.858,14.7062,1,-1242556.0,-30.069684,reduction,0.5351394,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,34.2015
Citigroup  inc.,C,"",1361293.0,95331000.0,9.13789,11.5434,2,-807843.0,-37.242616,reduction,0.0602593,Q3 2018,FINANCE,13F,06/30/2019,62.22
Mohawk industries inc.,MHK,"",533520.0,78678000.0,7.54163,7.3101,3,-144000.0,-21.253985,reduction,0.7394595,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,116.96
Microsoft corp.,MSFT,"",491000.0,65774000.0,6.30473,10.081,4,-508374.0,-50.869244,reduction,0.0064306,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,55.6068
Centene corp,CNC,"",1193124.0,62567000.0,5.99732,,5,1193124.0,,new,0.2884659,Q2 2019,HEALTH CARE,13F,06/30/2019,52.44
Extended stay america inc,STAY,"",2898810.0,48961000.0,4.69313,1.3379,6,2027364.0,232.643675,addition,1.5384832,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,17.2087
Amplify energy corp,AMPY,"",10912114.0,44957909.68,4.30941,,7,10912114.0,"",new,N/A,,ENERGY,13D,08/06/2019,
Allergan plc,AGN,"",260000.0,43532000.0,4.17273,,8,260000.0,,new,0.0792610,Q2 2019,HEALTH CARE,13F,06/30/2019,167.43
Laureate education inc  class a,LAUR,"",2699408.0,42408000.0,4.06499,1.8957,9,1218822.0,82.320243,addition,1.2014991,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,15.3041
Tpg pace holdings corp,TPGH,"",3395813.0,35316000.0,3.38519,1.2262,10,1995813.0,142.558071,addition,6.0370009,Q3 2017,FINANCE,13F,06/30/2019,10.165
Booking holdings inc. (priceline),BKNG,"",17749.0,33274000.0,3.18946,3.8315,11,-7924.0,-30.865111,reduction,0.0361781,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1744.91
Cypress semiconductor corp,CY,PRN,17100000.0,28756000.0,2.75639,,12,17100000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Amplify energy corp,AMPY,"",4685400.0,27597000.0,2.64529,3.9152,13,0.0,0.0,,22.9451518,Q4 2016,ENERGY,13F,06/30/2019,20.74
Roan resources inc,ROAN,"",14712070.0,25599000.0,2.45378,7.6883,14,0.0,0.0,,No Data,Q4 2018,ENERGY,13F,06/30/2019,8.38
Far point acquisition corp,FPAC,"",2079060.0,21186000.0,2.03077,1.7871,15,-20940.0,-0.997143,reduction,2.6297243,Q2 2018,FINANCE,13F,06/30/2019,9.75
Acadia healthcare company inc.,ACHC,"",594500.0,20778000.0,1.99166,,16,594500.0,,new,0.6715238,Q2 2019,HEALTH CARE,13F,06/30/2019,34.95
Mosaic acquisition corp class a,MOSC,"",1769958.0,18054000.0,1.73055,1.5518,17,-30042.0,-1.669,reduction,4.1037746,Q3 2018,FINANCE,13F,06/30/2019,9.75
Spartan energy acquisition corp,SPAQ,"",1732026.0,17320000.0,1.6602,1.4561,18,0.0,0.0,,2.5101826,Q1 2019,FINANCE,13F,06/30/2019,9.83
Gs acquisition holdings corp,GSAH,"",1683000.0,17066000.0,1.63585,1.4525,19,-11794.0,-0.695896,reduction,1.9513043,Q3 2018,FINANCE,13F,06/30/2019,9.75
Nesco holdings inc,NSCO,"",1569372.0,16055000.0,1.53894,1.5672,20,-230628.0,-12.812667,reduction,3.1194037,Q4 2017,FINANCE,13F,06/30/2019,9.68
Social capital hedosophia holdings corp,IPOA,"",1500000.0,15653000.0,1.50041,1.3073,21,0.0,0.0,,1.7391304,Q3 2017,FINANCE,13F,06/30/2019,10.1
Regalwood global energy ltd,RWGE,"",1475962.0,15055000.0,1.44309,1.2958,22,-24038.0,-1.602533,reduction,3.9358987,Q1 2018,FINANCE,13F,06/30/2019,9.7
Intelsat s.a.,I,"",668983.0,13012000.0,1.24726,2.0407,23,-854638.0,-56.092558,reduction,0.4847000,Q2 2018,COMMUNICATIONS,13F,06/30/2019,22.0481
Collier creek holdings,CCH,"",1100000.0,11000000.0,1.0544,0.9371,24,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,9.65
Navient corp,NAVI,"",770806.0,10522000.0,1.00858,1.0328,25,-272861.0,-26.14445,reduction,0.3344206,Q4 2018,FINANCE,13F,06/30/2019,10.5045
New frontier corp,NFC,"",990026.0,9970000.0,0.955668,0.8459,26,-9974.0,-0.9974,reduction,3.4435687,Q3 2018,FINANCE,13F,06/30/2019,9.62
Citigroup  inc.,C,CALL,140000.0,9804000.0,0.939756,,27,140000.0,,new,N/A,Q2 2019,FINANCE,13F,06/30/2019,
