Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vistra energy cp,VST,"",14651296.0,331703000.0,36.1953,38.8285,1,0.0,0.0,,2.9798438,Q2 2017,ENERGY,13F,06/30/2019,16.79
Spectrum brands holdings (zapata off-shore - hrg group),SPB,"",4862892.0,261478000.0,28.5324,27.1217,2,-1.0,-0.000021,reduction,2.3943338,Q2 2014,CONSUMER STAPLES,13F,06/30/2019,78.3951
Opus bank,OPB,"",3565725.0,75272000.0,8.2137,7.188,3,0.0,0.0,,10.4017649,Q2 2014,FINANCE,13F,06/30/2019,29.06
Social capital hedosophia holdings corp,IPOA,"",1830708.0,19103000.0,2.0845,1.8993,4,0.0,0.0,,2.1225600,Q2 2018,FINANCE,13F,06/30/2019,10.05
Far point acquisition corp,FPAC,"",1423212.0,14503000.0,1.5826,1.4418,5,0.0,0.0,,1.8001670,Q3 2018,FINANCE,13F,06/30/2019,9.633
Acamar partners acquisition corp,ACAM,"",1400000.0,13608000.0,1.4849,,6,1400000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.72
Gs acquisition holdings corp,GSAH,"",1334304.0,13530000.0,1.4764,1.3612,7,0.0,0.0,,1.5470191,Q3 2018,FINANCE,13F,06/30/2019,9.75
Spartan energy acquisition corp,SPAQ,"",1334408.0,13344000.0,1.4561,1.3354,8,0.0,0.0,,1.9339246,Q4 2018,FINANCE,13F,06/30/2019,9.63
Diamond eagle acquisition corp,DEACU,"",1250000.0,12575000.0,1.3722,,9,1250000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Ocwen financial corp,OCN,"",5804187.0,12015000.0,1.3111,,10,5804187.0,,new,4.3121746,Q2 2019,FINANCE,13F,06/30/2019,2.07
Crescent acquisition corp,CRSA,"",1200000.0,11700000.0,1.2767,,11,1200000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.75
Fortress transportation and infrastructure investors llc,FTAI,"",748644.0,11305000.0,1.2336,1.3041,12,0.0,0.0,,0.8817951,Q2 2015,FINANCE,13F,06/30/2019,18.13
Fintech acquisition corp iii,FTAC,"",1112074.0,10910000.0,1.1905,1.104,13,0.0,0.0,,2.5108918,Q1 2019,FINANCE,13F,06/30/2019,9.75
Nebula acquisition corp,NEBU,"",1068132.0,10777000.0,1.176,1.0864,14,0.0,0.0,,3.1068412,Q2 2018,FINANCE,13F,06/30/2019,9.65
Trine acquisition corp,TRNE,"",1075000.0,10459000.0,1.1413,,15,1075000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.73
Lyft inc,LYFT,"",158313.0,10403000.0,1.1352,,16,158313.0,,new,0.0540650,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,65.71
Gores metropoulos inc,GMHI,"",1000000.0,10070000.0,1.0988,,17,1000000.0,,new,2.0000000,Q2 2019,FINANCE,13F,06/30/2019,10.07
Diamondpeak holdings corp,DPHC,"",1000000.0,9720000.0,1.0606,,18,1000000.0,,new,3.5714286,Q2 2019,FINANCE,13F,06/30/2019,9.72
Gores holdings iii inc,GRSH,"",889605.0,8941000.0,0.9756,0.8967,19,0.0,0.0,,1.8976216,Q4 2018,FINANCE,13F,06/30/2019,9.72
New residential investment corp.,NRZ,"",518545.0,7980000.0,0.8708,0.8928,20,0.0,0.0,,0.1247942,Q2 2016,REAL ESTATE,13F,06/30/2019,13.84
Landcadia holdings inc,LCAHU,"",700000.0,7000000.0,0.7638,,21,700000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Collier creek holdings,CCH,"",621953.0,6220000.0,0.6787,0.6294,22,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,9.65
Insurance acquisition corp,INSU,"",500000.0,4925000.0,0.5374,,23,500000.0,,new,2.4213075,Q2 2019,FINANCE,13F,06/30/2019,9.85
Rmg acquisition corp,RMG,"",500000.0,4885000.0,0.533,,24,500000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.77
Gaming and leisure properties inc,GLPI,"",116541.0,4543000.0,0.4957,2.6453,25,-557087.0,-82.699502,reduction,0.0542859,Q3 2018,REAL ESTATE,13F,06/30/2019,32.3667
Mogo finance technology inc,MOGO,"",1044164.0,3588000.0,0.3915,0.1784,26,336871.0,47.628211,addition,No Data,Q2 2018,FINANCE,13F,06/30/2019,2.9733
Clearway energy inc,CWEN,"",131669.0,2220000.0,0.2422,,27,131669.0,,new,No Data,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,16.86
Marathon petroleum corp,MPC,"",37473.0,2094000.0,0.2285,1.3239,28,-179777.0,-82.751208,reduction,0.0056922,Q4 2018,ENERGY,13F,06/30/2019,59.01
Paratek pharmaceuticals inc,PRTK,"",433804.0,1730000.0,0.1888,0.2368,29,0.0,0.0,,1.3331407,Q1 2016,HEALTH CARE,13F,06/30/2019,15.17
New senior investment group inc,SNR,"",172848.0,1162000.0,0.1268,0.0959,30,0.0,0.0,,0.2079249,Q2 2016,REAL ESTATE,13F,06/30/2019,10.68
Drive shack inc,DS,"",172848.0,811000.0,0.0885,0.079,31,0.0,0.0,,0.2578666,Q3 2004,REAL ESTATE,13F,06/30/2019,4.42
Fintech acquisition corp iii w,FTACW,"",556037.0,773000.0,0.0843,0.0515,32,0.0,0.0,,N/A,Q1 2019, ,13F,06/30/2019,
Churchill capital corp ii,CCX.UN,"",70000.0,711000.0,0.0776,,33,70000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.15
