Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alibaba group holding ltd adr,BABA,"",633502.0,107346000.0,4.1926,4.8072,1,6421.0,1.023951,addition,0.0248979,Q3 2014,COMMUNICATIONS,13F,06/30/2019,105.8753
Microsoft corp.,MSFT,"",599802.0,80349000.0,3.1382,2.7728,2,40257.0,7.194596,addition,0.0078555,Q4 2009,INFORMATION TECHNOLOGY,13F,06/30/2019,84.8762
Visa inc,V,"",320112.0,55556000.0,2.1698,1.829,3,41411.0,14.858576,addition,0.0161354,Q4 2009,FINANCE,13F,06/30/2019,147.0747
Logitech international sa adr,LOGI,"",1090713.0,43573000.0,1.7018,1.7959,4,1292.0,0.118595,addition,0.6642184,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,34.0861
Ferrari n.v.,RACE,"",240554.0,39089000.0,1.5267,0.5775,5,138067.0,134.716598,addition,0.1273109,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,149.6526
Vanguard ftse emerging markets etf,VWO,"",758450.0,32257000.0,1.2599,1.3515,6,1600.0,0.211403,addition,No Data,Q4 2010,FINANCE,13F,06/30/2019,37.0669
Ubs group ag adr,UBS,"",1901340.0,22586000.0,0.8821,0.9654,7,7700.0,0.406624,addition,0.0519502,Q4 2017,FINANCE,13F,06/30/2019,18.2006
Estee lauder companies inc.,EL,"",122014.0,22342000.0,0.8726,0.9308,8,-11800.0,-8.81821,reduction,0.0338214,Q4 2009,CONSUMER STAPLES,13F,06/30/2019,87.1458
Icu medical inc,ICUI,"",85000.0,21412000.0,0.8363,0.905,9,-5000.0,-5.555556,reduction,0.4112240,Q4 2009,HEALTH CARE,13F,06/30/2019,56.2826
Johnson & johnson co.,JNJ,"",153285.0,21349000.0,0.8338,0.8105,10,15290.0,11.080112,addition,0.0058081,Q4 2009,HEALTH CARE,13F,06/30/2019,110.7696
