Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Cheniere energy partners lp,CQP,"",203360965.0,8577765000.0,44.8299,41.4614,1,0.0,0.0,,42.0158602,Q1 2013,ENERGY,13F,06/30/2019,28.8007
Gates industrial corp plc,GTES,"",243985382.0,2783873000.0,14.5493,17.0124,2,0.0,0.0,,85.9194218,Q1 2018,INDUSTRIALS,13F,06/30/2019,17.6807
Invitation homes inc,INVH,"",102081837.0,2728648000.0,14.2607,21.288,3,-77863512.0,-43.270644,reduction,18.9856117,Q1 2017,REAL ESTATE,13F,06/30/2019,21.83
Change healthcare inc,CHNG,"",59620253.0,870456000.0,4.5493,,4,59620253.0,,new,47.7535066,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,14.6
Spdr s&p 500 etf trust,SPY,PUT,2553400.0,748146000.0,3.91,2.2917,5,884900.0,53.035661,addition,No Data,Q1 2018,FINANCE,13F,06/30/2019,
Vivint solar inc,VSLR,"",74359374.0,541336000.0,2.8292,1.797,6,0.0,0.0,,61.1407449,Q4 2014,ENERGY,13F,06/30/2019,9.22
Tallgrass energy lp,TGE,"",23652463.0,499303000.0,2.6095,2.7317,7,1305670.0,5.842762,addition,8.4073732,Q1 2019,ENERGY,13F,06/30/2019,24.9175
Fgl holdings,FG,"",43966894.0,369322000.0,1.9302,1.6825,8,0.0,0.0,,No Data,Q4 2017,FINANCE,13F,06/30/2019,10.0157
The stars group,TSG,"",16134410.0,275414000.0,1.4394,1.3737,9,0.0,0.0,,34.1021517,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,24.9
Corepoint lodging inc,CPLG,"",17586537.0,217897000.0,1.1388,0.9552,10,0.0,0.0,,30.4739854,Q2 2018,REAL ESTATE,13F,06/30/2019,25.9
Blackstone mortgage trust  inc.,BXMT,"",5505875.0,195899000.0,1.0238,0.8985,11,158982.0,2.973353,addition,4.0999888,Q2 2013,REAL ESTATE,13F,06/30/2019,27.743
Michaels companies inc. (the),MIK,"",20393531.0,177424000.0,0.9273,1.1324,12,0.0,0.0,,12.8934254,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,17.48
Beyond meat inc,BYND,"",1003965.0,161317000.0,0.8431,,13,1003965.0,,new,1.6682702,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,160.68
Crocs inc,CROX,"",6899027.0,135526000.0,0.7083,0.8638,14,0.0,0.0,,9.9095475,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,25.98
Differential brands group inc,CTRC,"",26219501.0,107762000.0,0.5632,0.5671,15,300080.0,1.157742,addition,N/A,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,3.4378
