Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,"",37862059.0,11093583000.0,3.19248,3.5706,1,-3978686.0,-9.509118,reduction,No Data,Q3 2012,FINANCE,13F,06/30/2019,196.0215
Apple inc,AAPL,"",29777917.0,5893646000.0,1.69606,1.6133,2,1664987.0,5.922495,addition,0.6589230,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,100.8395
Microsoft corp.,MSFT,"",43771593.0,5863642000.0,1.68742,1.373,3,5238229.0,13.594009,addition,0.5732710,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,66.2
Amazon.com inc.,AMZN,"",2511166.0,4755218000.0,1.36844,1.2392,4,207713.0,9.017462,addition,0.5076550,Q3 2012,CONSUMER DISCRETIONARY,13F,06/30/2019,564.2265
Spdr s&p 500 etf trust,SPY,PUT,15743300.0,4612787000.0,1.32745,0.8409,5,5889300.0,59.765577,addition,No Data,Q3 2012,FINANCE,13F,06/30/2019,
Facebook inc,FB,"",21079747.0,4068392000.0,1.17079,0.9076,6,3056577.0,16.959153,addition,0.7388754,Q3 2012,COMMUNICATIONS,13F,06/30/2019,123.9954
Ishares russell 2000 etf,IWM,"",23437987.0,3644606000.0,1.04883,0.9676,7,2515755.0,12.024315,addition,No Data,Q3 2012,FINANCE,13F,06/30/2019,124.6643
Uber technologies inc,UBER,"",70291715.0,3260129000.0,0.93819,,8,70291715.0,,new,4.1348068,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.38
Visa inc,V,"",15861900.0,2752833000.0,0.792202,0.7125,9,762578.0,5.050412,addition,0.7995272,Q3 2012,FINANCE,13F,06/30/2019,87.4668
Ishares msci eafe index fund,EFA,"",37053428.0,2435523000.0,0.700887,0.7579,10,-1623647.0,-4.197957,reduction,No Data,Q3 2012,FINANCE,13F,06/30/2019,62.1084
Alphabet inc. class a,GOOGL,"",2179796.0,2360284000.0,0.679235,0.6839,11,256196.0,13.318569,addition,0.3143634,Q3 2012,COMMUNICATIONS,13F,06/30/2019,685.069
Alphabet inc. class c,GOOG,"",1900886.0,2054686000.0,0.591291,0.5542,12,337498.0,21.587603,addition,0.2741399,Q2 2014,COMMUNICATIONS,13F,06/30/2019,793.4314
Alibaba group holding ltd adr,BABA,"",12093651.0,2049270000.0,0.589733,0.9118,13,-4448662.0,-26.892624,reduction,0.4753046,Q3 2014,COMMUNICATIONS,13F,06/30/2019,120.2941
Jpmorgan chase & co. (chemical bank),JPM,"",17347705.0,1939472000.0,0.558135,0.4888,14,1363706.0,8.531695,addition,0.5425413,Q3 2012,FINANCE,13F,06/30/2019,66.044
Johnson & johnson co.,JNJ,"",13756487.0,1916006000.0,0.551382,0.5736,15,173875.0,1.280129,addition,0.5212429,Q3 2012,HEALTH CARE,13F,06/30/2019,108.6096
Cisco systems  inc.,CSCO,"",34883512.0,1909174000.0,0.549416,0.5063,16,3841247.0,12.374248,addition,0.8148963,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,32.089
Energy transfer equity lp,ET,"",134145519.0,1888768000.0,0.543544,0.6622,17,-8467155.0,-5.937169,reduction,5.1137341,Q3 2012,ENERGY,13F,06/30/2019,15.027
Pfizer  inc.,PFE,"",40167829.0,1740070000.0,0.500752,0.6796,18,-12798527.0,-24.163503,reduction,0.7262243,Q3 2012,HEALTH CARE,13F,06/30/2019,34.5371
Spdr s&p 500 etf trust,SPY,CALL,5718300.0,1675462000.0,0.482159,0.5285,19,-475200.0,-7.67256,reduction,No Data,Q3 2012,FINANCE,13F,06/30/2019,
