Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr gold trust,GLD,CALL,10925000.0,1455210000.0,42.7959,32.7803,1,5925000.0,118.5,addition,No Data,Q1 2016,MATERIALS,13F,06/30/2019,
Spdr s&p 500 etf trust,SPY,CALL,1160000.0,339880000.0,9.9954,,2,1160000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Ishares russell 2000 etf,IWM,PUT,2130000.0,331215000.0,9.7406,8.6374,3,1080000.0,102.857143,addition,No Data,Q2 2018,FINANCE,13F,06/30/2019,
Tesla inc,TSLA,PRN,195829000.0,188935000.0,5.5563,7.6802,4,57000000.0,41.057704,addition,N/A,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Advanced micro devices inc,AMD,PRN,39450000.0,152835000.0,4.4947,6.9282,5,0.0,0.0,,N/A,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,
Ak steel holding corp.,AKS,PRN,67316000.0,67636000.0,1.9891,3.6494,6,0.0,0.0,,N/A,Q1 2014,MATERIALS,13F,06/30/2019,
Spdr energy select sector fund,XLE,"",888010.0,56575000.0,1.6638,2.4868,7,188070.0,26.869446,addition,No Data,Q1 2016,ENERGY,13F,06/30/2019,61.1753
Tesla inc,TSLA,PUT,200000.0,44692000.0,1.3143,,8,200000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Microsoft corp.,MSFT,"",265000.0,35499000.0,1.044,1.4576,9,35000.0,15.217391,addition,0.0034707,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,108.0967
Rh common stock,RH,PRN,28575000.0,32965000.0,0.9695,1.6583,10,400000.0,1.419698,addition,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Gopro inc,GPRO,PRN,32000000.0,31293000.0,0.9203,1.618,11,1550000.0,5.090312,addition,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
The medicines co,MDCO,PRN,24800000.0,29888000.0,0.879,1.0512,12,5250000.0,26.85422,addition,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Salesforce.com inc.,CRM,"",180000.0,27311000.0,0.8032,1.3616,13,20000.0,12.5,addition,0.0231959,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,157.6322
Ipath series b s&p 500 vix short-term fu,VXX,PUT,1000000.0,26000000.0,0.7646,0.2358,14,850000.0,566.666667,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Caterpillar inc.,CAT,"",186000.0,25349000.0,0.7455,0.5824,15,106000.0,132.5,addition,0.0330614,Q1 2019,INDUSTRIALS,13F,06/30/2019,135.9459
Golar lng ltd,GLNG,PRN,27100000.0,25146000.0,0.7395,0.843,16,10700000.0,65.243902,addition,N/A,Q1 2018,ENERGY,13F,06/30/2019,
Intercept pharmaceuticals inc,ICPT,PRN,26650000.0,24999000.0,0.7352,0.6392,17,14650000.0,122.083333,addition,No Data,Q4 2017,HEALTH CARE,13F,06/30/2019,
Chesapeake energy corp.,CHK,PRN,30750000.0,24710000.0,0.7267,1.5299,18,0.0,0.0,,N/A,Q1 2018,ENERGY,13F,06/30/2019,
Ssr mining,SSRM,PRN,19870000.0,19977000.0,0.5875,1.0977,19,-550000.0,-2.693438,reduction,N/A,Q4 2016,MATERIALS,13F,06/30/2019,
Gds holdings ltd adr,GDS,PRN,19675000.0,19566000.0,0.5754,0.0382,20,18937000.0,2565.98916,addition,N/A,Q1 2019,COMMUNICATIONS,13F,06/30/2019,
Zillow group inc. class b,ZG,PRN,16900000.0,19136000.0,0.5628,0.9295,21,0.0,0.0,,N/A,Q1 2019,COMMUNICATIONS,13F,06/30/2019,
Kaman corp class a,KAMN,PRN,15375000.0,17963000.0,0.5283,0.9094,22,0.0,0.0,,N/A,Q2 2018,INDUSTRIALS,13F,06/30/2019,
Intrexon corp,XON,PRN,24000000.0,16980000.0,0.4994,0.7394,23,1000000.0,4.347826,addition,N/A,Q3 2018,HEALTH CARE,13F,06/30/2019,
Pretium resources inc,PVG,PRN,17000000.0,16721000.0,0.4917,0.8613,24,0.0,0.0,,N/A,Q1 2018,MATERIALS,13F,06/30/2019,
Ishares msci brazil capped etf,EWZ,"",350000.0,15302000.0,0.45,0.2203,25,250000.0,250.0,addition,No Data,Q3 2017,FINANCE,13F,06/30/2019,40.8855
Rtw inc. (new),RTWI,PRN,15075000.0,15183000.0,0.4465,0.8158,26,0.0,0.0,,N/A,Q1 2016,FINANCE,13F,06/30/2019,
Colony financial inc,CLNY,PRN,14575000.0,14172000.0,0.4168,0.7549,27,0.0,0.0,,N/A,Q2 2018,REAL ESTATE,13F,06/30/2019,
Contura energy inc,CTRA,"",265958.0,13803000.0,0.4059,0.8277,28,0.0,0.0,,1.3837565,Q4 2018,ENERGY,13F,06/30/2019,62.1712
Opko health inc,OPK,PRN,15550000.0,13562000.0,0.3988,0.3824,29,8050000.0,107.333333,addition,N/A,Q3 2018,HEALTH CARE,13F,06/30/2019,
Ship finance international ltd,SFL,PRN,13325000.0,13551000.0,0.3985,0.7078,30,0.0,0.0,,N/A,Q2 2018,ENERGY,13F,06/30/2019,
Clovis oncology inc,CLVS,PRN,14700000.0,13047000.0,0.3837,0.7233,31,200000.0,1.37931,addition,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Redwood trust  inc.,RWT,PRN,12500000.0,12446000.0,0.366,0.6592,32,0.0,0.0,,N/A,Q1 2016,REAL ESTATE,13F,06/30/2019,
Jpmorgan chase & co. (chemical bank),JPM,"",100000.0,11180000.0,0.3288,0.1631,33,70000.0,233.333333,addition,0.0031275,Q2 2017,FINANCE,13F,06/30/2019,108.629
Scorpio tankers 6.75% sr notes 2020,SBNA,PRN,10650000.0,10969000.0,0.3226,0.4757,34,650000.0,6.5,addition,No Data,Q4 2018,TRANSPORTS,13F,06/30/2019,
Ishares msci india index fund,INDA,"",280400.0,9898000.0,0.2911,0.41,35,63900.0,29.515012,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,35.2614
Wisdomtree india earnings fund,EPI,"",378600.0,9866000.0,0.2901,0.4107,36,88300.0,30.41681,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,26.267
Ishares msci emerging index fund,EEM,"",220000.0,9440000.0,0.2776,,37,220000.0,,new,No Data,Q3 2016,FINANCE,13F,06/30/2019,42.91
The medicines co,MDCO,PUT,253400.0,9241000.0,0.2718,,38,253400.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Boeing company,BA,"",25000.0,9100000.0,0.2676,,39,25000.0,,new,0.0044428,Q2 2019,INDUSTRIALS,13F,06/30/2019,364.01
Aphria inc,APHA,PUT,1250700.0,8767000.0,0.2578,,40,1250700.0,,new,No Data,Q2 2019,HEALTH CARE,13F,06/30/2019,
Iqiyi inc,IQ,PUT,416000.0,8590000.0,0.2526,0.5263,41,6500.0,1.587302,addition,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Teva pharmaceutical industries ltd  adr,TEVA,PRN,9025000.0,8277000.0,0.2434,,42,9025000.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Baozun inc adr,BZUN,PUT,162600.0,8107000.0,0.2384,,43,162600.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
