Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",4465537.0,598203000.0,4.2102,4.1162,1,-387411.0,-7.983003,reduction,0.0584846,Q4 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,37.7475
Apple inc,AAPL,"",2466473.0,488164000.0,3.4357,4.5593,2,-871088.0,-26.099538,reduction,0.0545779,Q2 2009,INFORMATION TECHNOLOGY,13F,06/30/2019,79.5348
Oracle corp,ORCL,"",8286195.0,472065000.0,3.3224,3.6848,3,-1253423.0,-13.139132,reduction,0.2484005,Q4 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,26.8217
Unitedhealth group inc.,UNH,"",1331825.0,324979000.0,2.2872,1.8651,4,282967.0,26.978581,addition,0.1405353,Q4 2005,HEALTH CARE,13F,06/30/2019,118.7688
Medtronic plc,MDT,"",3311281.0,322486000.0,2.2697,2.3605,5,-292488.0,-8.116169,reduction,0.2468968,Q4 2005,HEALTH CARE,13F,06/30/2019,80.4162
Merck & co,MRK,"",3720146.0,311934000.0,2.1954,1.8429,6,639128.0,20.744053,addition,0.1452966,Q3 2016,HEALTH CARE,13F,06/30/2019,61.4605
Accenture plc,ACN,"",1680680.0,310539000.0,2.1856,2.283,7,-122817.0,-6.809936,reduction,0.2501161,Q3 2007,INFORMATION TECHNOLOGY,13F,06/30/2019,87.7304
Johnson & johnson co.,JNJ,"",2158365.0,300617000.0,2.1158,2.279,8,-108590.0,-4.790126,reduction,0.0817820,Q4 2005,HEALTH CARE,13F,06/30/2019,79.8703
American express co,AXP,"",2423854.0,299201000.0,2.1058,2.0138,9,-138058.0,-5.388866,reduction,0.2921468,Q3 2011,FINANCE,13F,06/30/2019,68.9208
Alphabet inc. class c,GOOG,"",274622.0,296842000.0,2.0892,2.8646,10,-64867.0,-19.107246,reduction,0.0396051,Q2 2014,COMMUNICATIONS,13F,06/30/2019,753.1514
Wells fargo & co.  (northwest bancorporation),WFC,"",6174732.0,292188000.0,2.0564,2.0385,11,308522.0,5.259307,addition,0.1401402,Q3 2017,FINANCE,13F,06/30/2019,52.7703
3m co. (minnesota mining & manufacturing),MMM,"",1651935.0,286346000.0,2.0153,2.5801,12,-74735.0,-4.328273,reduction,0.2871532,Q2 2006,INDUSTRIALS,13F,06/30/2019,177.7291
U.s. bancorp (first national bank of cincinnati),USB,"",5335996.0,279606000.0,1.9679,1.9543,13,-303167.0,-5.376099,reduction,0.3386150,Q2 2017,FINANCE,13F,06/30/2019,51.0773
Anthem inc,ANTM,"",950997.0,268381000.0,1.8889,1.6738,14,139993.0,17.26169,addition,0.3717446,Q4 2014,HEALTH CARE,13F,06/30/2019,195.406
