Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Altaba inc. (yahoo),AABA,"",14904645.0,1033935000.0,18.0919,13.3803,1,500000.0,3.471103,addition,2.8689813,Q1 2015,FINANCE,13F,06/30/2019,
Tesla inc,TSLA,PUT,2202900.0,492260000.0,8.61362,2.6227,2,1455100.0,194.584113,addition,N/A,Q2 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,
Tesla inc,TSLA,PRN,288840000.0,280136000.0,4.90185,1.4039,3,180000000.0,165.380375,addition,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,PUT,1500000.0,280110000.0,4.9014,1.1258,4,1000000.0,200.0,addition,No Data,Q2 2018,FINANCE,13F,06/30/2019,
Petroleo brasileiro sa petrobras class a adr,PBR.A,"",7874500.0,111818000.0,1.9566,1.5904,5,-1000000.0,-11.26824,reduction,0.1207357,Q4 2014,ENERGY,13F,06/30/2019,
Uber technologies inc,UBER,PUT,2400000.0,111312000.0,1.94775,,6,2400000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Eqt corporation (equitable gas co.),EQT,"",5000000.0,79050000.0,1.38323,0.7798,7,1999994.0,66.666333,addition,1.9569472,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,22.2235
United technologies corp. (united aircraft corp.),UTX,"",500137.0,65118000.0,1.13944,0.404,8,250000.0,99.94523,addition,0.0579587,Q3 2018,INDUSTRIALS,13F,06/30/2019,119.1583
Sina corp,SINA,"",1451465.0,62602000.0,1.09542,0.6713,9,547320.0,60.534538,addition,2.0308731,Q4 2015,COMMUNICATIONS,13F,06/30/2019,
Pra group inc,PRAA,PRN,59000000.0,55518000.0,0.97146,0.7069,10,-2172000.0,-3.550644,reduction,N/A,Q2 2018,FINANCE,13F,06/30/2019,
Takeda pharmaceutical co ltd,TAK,"",2637550.0,46685000.0,0.816899,0.6738,11,-1900.0,-0.071985,reduction,0.0846144,Q1 2019,HEALTH CARE,13F,06/30/2019,20.37
Uber technologies inc,UBER,CALL,1000000.0,46380000.0,0.811562,,12,1000000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Pg&e corp. (pacific gas & electric),PCG,"",2011283.0,46099000.0,0.806645,0.4015,13,211283.0,11.737944,addition,0.3800467,Q4 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Fs kkr capital corp,FSK,"",7646771.0,45575000.0,0.797476,0.5827,14,-38093.0,-0.495689,reduction,1.4746733,Q4 2018,FINANCE,13F,06/30/2019,5.18
E*trade financial corp.,ETFC,CALL,1000000.0,44600000.0,0.780416,0.5819,15,0.0,0.0,,N/A,Q1 2019,FINANCE,13F,06/30/2019,
Liberty tripadvisor holdings inc a,LTRPA,"",3376869.0,41873000.0,0.732698,0.3231,16,1560174.0,85.879798,addition,4.4976945,Q1 2015,COMMUNICATIONS,13F,06/30/2019,
Spirit aerosystems holdings inc. class a,SPR,PUT,500000.0,40685000.0,0.711911,0.5735,17,0.0,0.0,,N/A,Q1 2019,INDUSTRIALS,13F,06/30/2019,
Ashland inc.,ASH,"",456781.0,36529000.0,0.639189,0.578,18,-133572.0,-22.625785,reduction,0.7547604,Q2 2017,MATERIALS,13F,06/30/2019,
Solarcity corp,SCTY,PRN,37630000.0,36125000.0,0.632119,0.2562,19,16500000.0,78.088027,addition,N/A,Q2 2017,ENERGY,13F,06/30/2019,
Liberty sirius xm group  series a,LSXMA,"",952881.0,36028000.0,0.630422,0.4814,20,-53226.0,-5.290292,reduction,0.3000822,Q4 2017,COMMUNICATIONS,13F,06/30/2019,42.1942
Encore capital group inc,ECPG,PRN,35554000.0,35196000.0,0.615864,0.2235,21,16054000.0,82.328205,addition,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Encore capital group inc,ECPG,PUT,1002300.0,33948000.0,0.594026,0.3481,22,-17700.0,-1.735294,reduction,N/A,Q2 2018,FINANCE,13F,06/30/2019,
Tesla inc,TSLA,CALL,145800.0,32580000.0,0.570089,,23,145800.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Liberty sirius xm group  series c,LSXMK,"",833160.0,31643000.0,0.553693,0.4137,24,-30136.0,-3.490807,reduction,0.4067767,Q2 2017,COMMUNICATIONS,13F,06/30/2019,
Iqiyi inc,IQ,PUT,1489500.0,30758000.0,0.538207,0.1055,25,1137500.0,323.153409,addition,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Blackstone mortgage trust  inc.,BXMT,PRN,28537000.0,29757000.0,0.520691,0.254,26,8517000.0,42.542458,addition,N/A,Q1 2018,REAL ESTATE,13F,06/30/2019,
Schlumberger ltd.,SLB,CALL,639800.0,25426000.0,0.444907,0.212,27,251600.0,64.811953,addition,N/A,Q3 2018,ENERGY,13F,06/30/2019,
Schlumberger ltd.,SLB,PUT,639800.0,25426000.0,0.444907,0.212,28,251600.0,64.811953,addition,N/A,Q3 2018,ENERGY,13F,06/30/2019,
Ironwood pharmaceuticals inc,IRWD,PRN,23500000.0,25134000.0,0.439798,0.1865,29,10000000.0,74.074074,addition,N/A,Q4 2017,HEALTH CARE,13F,06/30/2019,
Exantas capital corp,XAN,"",2106259.0,23969227.42,0.419416,0.2046,30,584100.0,38.373127,addition,6.6089081,,REAL ESTATE,13G,09/09/2019,
American international group  inc.,AIG,CALL,442500.0,23576000.0,0.412535,0.1596,31,146700.0,49.59432,addition,N/A,Q3 2018,FINANCE,13F,06/30/2019,
American international group  inc.,AIG,PUT,442500.0,23576000.0,0.412535,0.1596,32,146700.0,49.59432,addition,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Two harbors investments corp,TWO,PRN,23100000.0,23303000.0,0.407759,,33,23100000.0,,new,N/A,Q2 2019,REAL ESTATE,13F,06/30/2019,
Starz  series a,STRZA,PRN,25000000.0,22466000.0,0.393113,0.2372,34,0.0,0.0,,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
E*trade financial corp.,ETFC,"",500000.0,22300000.0,0.390208,0.3066,35,-26887.0,-5.102992,reduction,0.2043569,Q4 2013,FINANCE,13F,06/30/2019,46.9615
Transocean ltd,RIG,PUT,3279000.0,21018000.0,0.367775,0.3579,36,0.0,0.0,,N/A,Q2 2018,ENERGY,13F,06/30/2019,
Lilly (eli) & co.,LLY,CALL,184700.0,20463000.0,0.358064,0.1246,37,108100.0,141.122715,addition,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Lilly (eli) & co.,LLY,PUT,184700.0,20463000.0,0.358064,0.1246,38,108100.0,141.122715,addition,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Goldman sachs group inc,GS,CALL,98800.0,20214000.0,0.353707,0.1013,39,56700.0,134.679335,addition,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Goldman sachs group inc,GS,PUT,98800.0,20214000.0,0.353707,0.1013,40,56700.0,134.679335,addition,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Pra group inc,PRAA,PUT,710000.0,19979000.0,0.349595,0.2386,41,0.0,0.0,,N/A,Q4 2018,FINANCE,13F,06/30/2019,
Qualcomm inc.,QCOM,CALL,260100.0,19786000.0,0.346218,0.0202,42,231800.0,819.081272,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Qualcomm inc.,QCOM,PUT,260100.0,19786000.0,0.346218,0.0202,43,231800.0,819.081272,addition,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,"",105500.0,19701000.0,0.34473,,44,105500.0,,new,No Data,Q2 2018,FINANCE,13F,06/30/2019,186.74
Clear channel outdoor holdings inc,CCO,"",4049385.0,19113000.0,0.334441,,45,4049385.0,,new,0.8690040,Q2 2019,COMMUNICATIONS,13F,06/30/2019,4.72
Pattern energy group inc,PEGI,PRN,18017000.0,18250000.0,0.319341,0.2272,46,0.0,0.0,,N/A,Q3 2016,ENERGY,13F,06/30/2019,
Occidental petroleum corp.,OXY,CALL,358200.0,18010000.0,0.315141,0.1255,47,206900.0,136.748182,addition,N/A,Q3 2018,ENERGY,13F,06/30/2019,
Occidental petroleum corp.,OXY,PUT,358200.0,18010000.0,0.315141,0.1255,48,206900.0,136.748182,addition,N/A,Q3 2018,ENERGY,13F,06/30/2019,
