Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",52986086.0,7097675000.0,3.84959,3.4412,1,342648.0,0.650885,addition,0.6939521,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,69.9654
Mastercard inc,MA,"",14628839.0,3869685000.0,2.09881,1.9676,2,-449355.0,-2.980165,reduction,1.4418900,Q2 2007,FINANCE,13F,06/30/2019,119.1414
Amazon.com inc.,AMZN,"",1812197.0,3430968000.0,1.86086,1.7963,3,-7762.0,-0.426493,reduction,0.3663520,Q1 2005,CONSUMER DISCRETIONARY,13F,06/30/2019,989.5487
Alphabet inc. class c,GOOG,"",2892238.0,3126212000.0,1.69557,2.3691,4,-751004.0,-20.613618,reduction,0.4171096,Q2 2014,COMMUNICATIONS,13F,06/30/2019,914.3444
Apple inc,AAPL,"",15042675.0,2977263000.0,1.61479,1.7302,5,-1391944.0,-8.469585,reduction,0.3328629,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,149.8767
Adobe systems  inc.,ADBE,"",8017961.0,2362476000.0,1.28134,1.1754,6,60035.0,0.754405,addition,1.6516894,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,147.7431
Merck & co,MRK,"",24839949.0,2082840000.0,1.12968,1.0625,7,1790405.0,7.767637,addition,0.9701665,Q1 2005,HEALTH CARE,13F,06/30/2019,67.9851
Boeing company,BA,"",5575193.0,2029440000.0,1.10071,1.174,8,21663.0,0.390076,addition,0.9907755,Q1 2005,INDUSTRIALS,13F,06/30/2019,237.4477
Salesforce.com inc.,CRM,"",13247900.0,2009810000.0,1.09007,1.0298,9,1516132.0,12.923304,addition,1.7072036,Q3 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,96.3054
Texas instruments  inc.,TXN,"",15856423.0,1819554000.0,0.986876,0.9244,10,132226.0,0.840908,addition,1.6983808,Q1 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,82.8992
Walt disney co. (the),DIS,"",12194709.0,1702901000.0,0.923607,0.699,11,835585.0,7.356069,addition,0.6769648,Q1 2005,COMMUNICATIONS,13F,06/30/2019,112.1997
Boston scientific inc.,BSX,"",39252231.0,1687034000.0,0.915001,0.8102,12,1162625.0,3.052342,addition,2.8178806,Q1 2005,HEALTH CARE,13F,06/30/2019,27.8797
Facebook inc,FB,"",8257177.0,1593606000.0,0.864328,0.7048,13,628233.0,8.234862,addition,0.2894259,Q2 2012,COMMUNICATIONS,13F,06/30/2019,149.9281
Unitedhealth group inc.,UNH,"",6448289.0,1573438000.0,0.85339,0.7573,14,922290.0,16.690014,addition,0.6804289,Q1 2006,HEALTH CARE,13F,06/30/2019,224.1115
Visa inc,V,"",8913039.0,1543950000.0,0.837396,0.7982,15,-308478.0,-3.345198,reduction,0.4492663,Q2 2008,FINANCE,13F,06/30/2019,76.6933
Abbott laboratories,ABT,"",17025499.0,1431723000.0,0.776527,0.7477,16,149307.0,0.88472,addition,0.9633076,Q1 2005,HEALTH CARE,13F,06/30/2019,57.1695
Netflix inc,NFLX,"",3471536.0,1275354000.0,0.691717,0.6438,17,213987.0,6.568957,addition,0.7928778,Q1 2009,COMMUNICATIONS,13F,06/30/2019,265.2574
Intuit  inc.,INTU,"",4752482.0,1241949000.0,0.673599,0.535,18,1060033.0,28.708128,addition,1.8332364,Q4 2005,INFORMATION TECHNOLOGY,13F,06/30/2019,187.584
Mcdonalds corp.,MCD,"",5549855.0,1152473000.0,0.62507,0.5732,19,104026.0,1.910196,addition,0.7307826,Q1 2005,CONSUMER DISCRETIONARY,13F,06/30/2019,155.6115
Home depot  inc. (the),HD,"",5536321.0,1151422000.0,0.6245,0.5752,20,127532.0,2.357866,addition,0.5031693,Q1 2005,CONSUMER DISCRETIONARY,13F,06/30/2019,167.6159
