Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Grupo televisa s.a. gdr,TV,"",6625872.0,55922000.0,100.0,10.7814,1,-464900.0,-6.556409,reduction,1.1695330,Q3 2013,COMMUNICATIONS,13F,06/30/2019,23.6907
Apple inc,AAPL,"",0.0,0.0,,18.2795,"",-700000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,157.74
Marriott international inc/md,MAR,"",0.0,0.0,,2.5975,"",-151045.0,-100.0,soldall,0.0000000,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,69.5602
Spdr s&p 500 etf trust,SPY,"",0.0,0.0,,1.8591,"",-47872.0,-100.0,soldall,No Data,Q4 2018,FINANCE,13F,06/30/2019,255.4754
Ishares russell 2000 growth etf,IWO,"",0.0,0.0,,3.5202,"",-130205.0,-100.0,soldall,No Data,Q3 2011,FINANCE,13F,06/30/2019,73.47
Charter communications inc,CHTR,"",0.0,0.0,,17.649,"",-370065.0,-100.0,soldall,0.0000000,Q4 2017,COMMUNICATIONS,13F,06/30/2019,297.7487
Hilton grand vacations inc,HGV,"",0.0,0.0,,5.9944,"",-1413397.0,-100.0,soldall,0.0000000,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,32.8764
Alta mesa res inc wt exp 03/23,AMRWW,"",0.0,0.0,,0.0195,"",-3833333.0,-100.0,soldall,N/A,Q1 2018, ,13F,06/30/2019,
Mgm resorts international  inc.,MGM,"",0.0,0.0,,4.2332,"",-1200000.0,-100.0,soldall,0.0000000,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,27.91
Teva pharmaceutical industries ltd  adr,TEVA,"",0.0,0.0,,11.4142,"",-5295102.0,-100.0,soldall,0.0000000,Q1 2014,HEALTH CARE,13F,06/30/2019,31.9759
Ishares russell 2000 value etf,IWN,"",0.0,0.0,,3.7088,"",-225000.0,-100.0,soldall,No Data,Q4 2018,FINANCE,13F,06/30/2019,107.54
Invesco qqq trust series 1,QQQ,"",0.0,0.0,,12.0555,"",-488100.0,-100.0,soldall,No Data,Q4 2018,FINANCE,13F,06/30/2019,154.26
Rite aid corp.,RAD,"",0.0,0.0,,2.6648,"",-30526743.0,-100.0,soldall,0.0000000,Q3 2016,CONSUMER STAPLES,13F,06/30/2019,4.0698
Michaels companies inc. (the),MIK,"",0.0,0.0,,5.1669,"",-3291049.0,-100.0,soldall,0.0000000,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,20.1677
Alta mesa resources inc,AMRQQ,"",0.0,0.0,,0.056,"",-1531894.0,-100.0,soldall,0.0000000,Q3 2017,FINANCE,13F,06/30/2019,10.18
