Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Iqiyi inc,IQ,"",50516188.0,1043159000.0,13.7158,18.7764,1,3523630.0,7.498272,addition,6.9665970,Q1 2018,COMMUNICATIONS,13F,06/30/2019,17.3685
Uber technologies inc,UBER,"",15035487.0,697346000.0,9.169,,2,15035487.0,,new,0.8844404,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.38
Beigene ltd adr,BGNE,"",5472259.0,678286000.0,8.9184,12.066,3,0.0,0.0,,11.5253981,Q1 2016,HEALTH CARE,13F,06/30/2019,78.5072
Tal education group american depositary adr,TAL,"",13680002.0,521208000.0,6.853,7.2487,4,1652525.0,13.739581,addition,2.4132521,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,30.6198
Jd.com inc adr,JD,"",16308869.0,493996000.0,6.4952,7.8564,5,709226.0,4.546425,addition,1.1179111,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,23.4665
Sea ltd adr,SE,"",11957037.0,397213000.0,5.2227,5.8319,6,-2886863.0,-19.448144,reduction,3.6561390,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,23.52
Alibaba group holding ltd adr,BABA,"",2006368.0,339979000.0,4.4702,5.8279,7,94100.0,4.920858,addition,0.0788543,Q4 2016,COMMUNICATIONS,13F,06/30/2019,148.8909
Enstar group ltd,ESGR,"",1747840.0,304614000.0,4.0052,5.0801,8,0.0,0.0,,8.1294884,Q3 2016,FINANCE,13F,06/30/2019,194.3752
Facebook inc,FB,"",1474097.0,284501000.0,3.7407,4.1343,9,-10700.0,-0.720637,reduction,0.0516692,Q2 2018,COMMUNICATIONS,13F,06/30/2019,163.6728
China biologic products holdings inc,CBPO,"",2751200.0,262189000.0,3.4474,4.1935,10,0.0,0.0,,6.9898374,Q1 2017,HEALTH CARE,13F,06/30/2019,86.4235
Pinduoduo inc,PDD,"",9367427.0,193250000.0,2.5409,2.0439,11,4433540.0,89.858969,addition,0.8409425,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,22.8996
New oriental education & tech group inc adr,EDU,"",1702534.0,164431000.0,2.162,0.0042,12,1699734.0,60704.785714,addition,1.1940903,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,96.5693
Bilibili inc,BILI,"",9914184.0,161304000.0,2.1209,1.3885,13,5527732.0,126.018295,addition,No Data,Q1 2018,COMMUNICATIONS,13F,06/30/2019,16.2217
Tesla inc,TSLA,"",668280.0,149334000.0,1.9635,,14,668280.0,,new,0.3730698,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,223.46
58.com inc adr,WUBA,"",2360742.0,146767000.0,1.9297,,15,2360742.0,,new,1.5878006,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,62.17
Blueprint medicines corp,BPMC,"",1498516.0,141355000.0,1.8586,2.0038,16,0.0,0.0,,3.0507248,Q2 2016,HEALTH CARE,13F,06/30/2019,58.1055
Mondelez international inc. (kraft foods),MDLZ,"",2546564.0,137260000.0,1.8047,2.5137,17,-467909.0,-15.522083,reduction,0.1765811,Q4 2012,CONSUMER STAPLES,13F,06/30/2019,27.9015
Gossamer bio inc,GOSS,"",5911541.0,131118000.0,1.724,2.1398,18,0.0,0.0,,8.9663901,Q1 2019,HEALTH CARE,13F,06/30/2019,21.67
Fibrogen inc,FGEN,"",2724519.0,123094000.0,1.6185,1.8187,19,721232.0,36.00243,addition,3.1345133,Q2 2016,HEALTH CARE,13F,06/30/2019,38.1557
Apellis pharmaceuticals inc,APLS,"",4678289.0,118548000.0,1.5587,1.5238,20,0.0,0.0,,7.3442527,Q4 2017,HEALTH CARE,13F,06/30/2019,21.7214
Bridgebio pharma inc,BBIO,"",4388690.0,118363000.0,1.5563,,21,4388690.0,,new,3.7587273,Q2 2019,HEALTH CARE,13F,06/30/2019,26.97
Covetrus inc,CVET,"",4667925.0,114177000.0,1.5012,2.4834,22,0.0,0.0,,4.1685346,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,31.85
Nio inc,NIO,"",41938286.0,106943000.0,1.4061,1.8162,23,20618489.0,96.710532,addition,4.0875124,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,3.8463
Melco resorts & entertainment limited ad adr,MLCO,"",4395700.0,95475000.0,1.2553,1.6587,24,0.0,0.0,,0.8892238,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,22.5564
Amazon.com inc.,AMZN,"",43156.0,81721000.0,1.0745,0.9454,25,11374.0,35.787553,addition,0.0087244,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1799.9852
