Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Conagra brands inc,CAG,"",14961717.0,396785000.0,30.1694,39.6367,1,0.0,0.0,,3.0777193,Q2 2015,CONSUMER STAPLES,13F,06/30/2019,24.5091
Zimmer biomet holdings inc,ZBH,"",1873201.0,220551000.0,16.7695,22.7288,2,9500.0,0.509738,addition,0.9123325,Q2 2017,HEALTH CARE,13F,06/30/2019,124.805
Axalta coating systems ltd,AXTA,"",5850000.0,174155000.0,13.2418,,3,5850000.0,,new,2.5079311,Q2 2019,MATERIALS,13F,06/30/2019,29.77
Callaway golf co.,ELY,"",8671810.0,148808000.0,11.3146,,4,8671810.0,,new,9.2165055,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,17.16
Bloomin brands inc,BLMN,"",7819899.0,119331658.74,9.07335,,5,5421854.0,226.094756,addition,9.0059876,,CONSUMER STAPLES,13D,08/20/2019,
Hd supply holdings inc,HDS,"",2735930.0,110203000.0,8.37925,11.3267,6,0.0,0.0,,1.6014575,Q1 2016,INDUSTRIALS,13F,06/30/2019,34.3239
Jack in the box  inc,JACK,"",939532.0,76469000.0,5.8143,7.216,7,7400.0,0.793879,addition,3.6387761,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,93.6047
Spdr s&p 500 etf trust,SPY,"",191648.0,56153000.0,4.26958,8.1246,8,-109518.0,-36.364663,reduction,No Data,Q1 2018,FINANCE,13F,06/30/2019,264.4705
Tiffany & co. (de),TIF,CALL,73600.0,6892000.0,0.524031,0.7419,9,0.0,0.0,,N/A,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Falcon minerals corp,FLMN,"",466236.0,3446000.0,0.262016,0.531,10,-218692.0,-31.929195,reduction,1.3561257,Q3 2018,FINANCE,13F,06/30/2019,11.0
Flacon minerals corporation,FLMNW,"",2521551.0,2395000.0,0.182103,0.1999,11,0.0,0.0,,N/A,Q4 2018, ,13F,06/30/2019,
Tiffany & co. (de),TIF,"",0.0,0.0,0.0,9.4945,12,-941895.0,-100.0,soldall,0.0000000,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,89.3887
