Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Dish network corp  class a,DISH,PRN,575000000.0,558843000.0,32.4941,23.5595,1,0.0,0.0,,N/A,Q4 2017,COMMUNICATIONS,13F,06/30/2019,
Dish network corp  class a,DISH,"",13155000.0,505284000.0,29.3799,21.2348,2,-746000.0,-5.36652,reduction,2.7991744,Q2 2018,COMMUNICATIONS,13F,06/30/2019,35.0546
Pg&e corp. (pacific gas & electric),PCG,"",5000000.0,114600000.0,6.6635,0.858,3,4000000.0,400.0,addition,0.9447867,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,21.896
Williams cos. (the),WMB,"",4000000.0,112160000.0,6.5216,15.6438,4,-7300000.0,-64.60177,reduction,0.3300276,Q4 2016,ENERGY,13F,06/30/2019,27.9189
Athene holding ltd class a,ATH,"",1942212.0,83632000.0,4.8628,3.8198,5,0.0,0.0,,1.0353494,Q4 2016,FINANCE,13F,06/30/2019,48.4011
Vici properties inc,VICI,"",3430000.0,75597000.0,4.3956,2.352,6,1200000.0,53.811659,addition,0.7440186,Q1 2018,REAL ESTATE,13F,06/30/2019,19.7469
Allergan plc,AGN,"",400000.0,66972000.0,3.8941,16.938,7,-2000000.0,-83.333333,reduction,0.1219401,Q2 2018,HEALTH CARE,13F,06/30/2019,149.7896
Pioneer natural resources co.,PXD,"",222000.0,34157000.0,1.9861,0.8809,8,102000.0,85.0,addition,0.1328228,Q1 2019,ENERGY,13F,06/30/2019,153.0059
Berry global group inc,BERY,"",580000.0,30502000.0,1.7735,,9,580000.0,,new,0.4390613,Q2 2019,HEALTH CARE,13F,06/30/2019,52.59
Seadrill ltd,SDRL,"",6657192.0,27694000.0,1.6103,2.6667,10,0.0,0.0,,1.3197193,Q3 2018,ENERGY,13F,06/30/2019,24.78
Fox corp class a,FOXA,"",725000.0,26564000.0,1.5446,,11,725000.0,,new,No Data,Q2 2019,COMMUNICATIONS,13F,06/30/2019,36.64
Dxc technology company,DXC,"",350000.0,19303000.0,1.1224,,12,350000.0,,new,0.1336082,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,55.15
Jd.com inc adr,JD,"",575000.0,17417000.0,1.0127,,13,575000.0,,new,0.0394141,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,30.29
Valaris plc (ensco international),VAL,"",1993750.0,17007000.0,0.9889,,14,1993750.0,,new,1.0092893,Q2 2019,ENERGY,13F,06/30/2019,8.53
L brands inc,LB,"",650000.0,16965000.0,0.9864,,15,650000.0,,new,0.2361833,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,26.1
Oi s.a class c,OIBR.C,"",4185820.0,8413000.0,0.4892,0.2773,16,1125820.0,36.791503,addition,0.7313776,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Ensco jersey finance ltd 3.00%,ESV-PRN,PRN,6000000.0,4719000.0,0.2744,0.2237,17,0.0,0.0,,N/A,Q1 2019, ,13F,06/30/2019,
Us foods holding corp,USFD,"",0.0,0.0,,2.024,"",-1202758.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,31.64
Viacom inc.  class b,VIAB,PUT,0.0,0.0,,2.0296,"",-1500000.0,-100.0,soldall,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Aptiv plc,APTV,PUT,0.0,0.0,,1.1495,"",-300000.0,-100.0,soldall,N/A,Q4 2018,INDUSTRIALS,13F,06/30/2019,
Ep energy corp,EPE,"",0.0,0.0,,0.0501,"",-4000000.0,-100.0,soldall,N/A,Q4 2016,ENERGY,13F,06/30/2019,6.1
Synchrony financial,SYF,"",0.0,0.0,,2.4603,"",-1600000.0,-100.0,soldall,0.0000000,Q3 2018,FINANCE,13F,06/30/2019,26.3991
Dominos pizza inc,DPZ,PUT,0.0,0.0,,0.9331,"",-75000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Zayo group holdings inc,ZAYO,"",0.0,0.0,,1.3905,"",-1015000.0,-100.0,soldall,0.0000000,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,31.7799
Rowan companies plc,RDC,"",0.0,0.0,,1.5083,"",-2900000.0,-100.0,soldall,N/A,Q3 2018,ENERGY,13F,06/30/2019,17.03
