Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Delta air lines inc.,DAL,"",17970402.0,1019832000.0,25.0199,22.1744,1,-1372680.0,-7.096491,reduction,2.7638268,Q1 2012,TRANSPORTS,13F,06/30/2019,20.7157
United airlines holdings inc,UAL,"",7603045.0,665641000.0,16.3304,13.4108,2,29296.0,0.38681,addition,2.9593045,Q2 2018,TRANSPORTS,13F,06/30/2019,77.8439
Tesla inc,TSLA,PUT,2141500.0,478540000.0,11.7402,6.8382,3,1040600.0,94.522663,addition,N/A,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Taiwan semiconductor manufacturing co ltd adr,TSM,"",6956330.0,272476000.0,6.6848,5.2338,4,1199165.0,20.829089,addition,0.1341346,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,36.2762
American airlines group inc,AAL,"",7833109.0,255436000.0,6.2667,5.5987,5,-109374.0,-1.377076,reduction,1.7591818,Q1 2018,TRANSPORTS,13F,06/30/2019,40.944
Texas instruments  inc.,TXN,"",1645913.0,188871000.0,4.6336,4.4864,6,-259780.0,-13.631786,reduction,0.1762937,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,104.4209
Grubhub inc,GRUB,"",2289319.0,178537000.0,4.3801,3.3441,7,120444.0,5.553294,addition,2.5060963,Q4 2017,COMMUNICATIONS,13F,06/30/2019,102.1297
Lam research corp.,LRCX,"",793114.0,148977000.0,3.6549,,8,793114.0,,new,0.5476172,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,187.84
Applied materials inc.,AMAT,"",2800970.0,125792000.0,3.0861,4.8813,9,-2744468.0,-49.490554,reduction,0.2992138,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,45.3229
General electric co,GE,"",9137164.0,95940000.0,2.3537,1.719,10,1384376.0,17.856492,addition,0.1046991,Q1 2019,INDUSTRIALS,13F,06/30/2019,10.0673
Uber technologies inc,UBER,"",2050348.0,95096000.0,2.333,,11,2050348.0,,new,0.1206087,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.38
Micron technology  inc.,MU,"",2289182.0,88341000.0,2.1673,4.2775,12,-2373904.0,-50.908433,reduction,0.2073910,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,31.73
Eaton corp.,ETN,"",892699.0,74344000.0,1.8239,0.2627,13,745762.0,507.538605,addition,0.2125474,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,82.379
First solar inc,FSLR,"",1060760.0,69671000.0,1.7093,1.2777,14,-28748.0,-2.638622,reduction,1.0064137,Q1 2019,INDUSTRIALS,13F,06/30/2019,52.84
United technologies corp. (united aircraft corp.),UTX,"",474151.0,61734000.0,1.5145,0.9005,15,159379.0,50.633157,addition,0.0549473,Q4 2015,INDUSTRIALS,13F,06/30/2019,125.8842
Cenovus energy inc,CVE,"",4066109.0,35863000.0,0.8798,0.9955,16,-1101312.0,-21.312604,reduction,0.3309250,Q1 2019,ENERGY,13F,06/30/2019,8.68
Canadian natural resources  ltd,CNQ,"",1317960.0,35546000.0,0.8721,0.9007,17,-157765.0,-10.690677,reduction,0.1108909,Q1 2019,ENERGY,13F,06/30/2019,27.5
Invesco qqq trust series 1,QQQ,PUT,170000.0,31746000.0,0.7788,,18,170000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Warrior met coal inc,HCC,"",1201336.0,31379000.0,0.7698,0.7389,19,106216.0,9.699028,addition,2.3295249,Q2 2017,MATERIALS,13F,06/30/2019,25.3808
Eldorado gold corp,EGO,"",5374042.0,31277000.0,0.7673,,20,5374042.0,,new,3.3837313,Q2 2019,MATERIALS,13F,06/30/2019,5.82
Phillips 66,PSX,"",216568.0,20258000.0,0.497,,21,216568.0,,new,0.0482829,Q2 2019,ENERGY,13F,06/30/2019,93.54
Manchester united ltd class a,MANU,"",1084516.0,19608000.0,0.4811,0.5956,22,-311789.0,-22.329577,reduction,No Data,Q3 2012,INDUSTRIALS,13F,06/30/2019,15.0668
Dht holdings inc,DHT,"",3191653.0,18863000.0,0.4628,0.3047,23,113994.0,3.703919,addition,2.2438505,Q1 2018,ENERGY,13F,06/30/2019,4.4012
Ingersoll-rand co. ltd.,IR,"",100085.0,12678000.0,0.311,0.6299,24,-162833.0,-61.932998,reduction,0.0414293,Q2 2015,INDUSTRIALS,13F,06/30/2019,96.6068
Ipath series b s&p 500 vix short-term fu,VXX,"",298874.0,7771000.0,0.1906,0.0563,25,212241.0,244.98863,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,26.945
Spdr s&p utilities etf,XLU,PUT,115000.0,6857000.0,0.1682,,26,115000.0,,new,No Data,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Summit therapeutics plc adr,SMMT,"",1596666.0,2020000.0,0.0496,0.0649,27,0.0,0.0,,11.5366040,Q1 2015,HEALTH CARE,13F,06/30/2019,12.4568
