Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Adobe systems  inc.,ADBE,"",3743938.0,1103151000.0,6.80137,7.0539,1,-784261.0,-17.319491,reduction,0.7712463,Q1 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,137.0537
Alibaba group holding ltd adr,BABA,"",5875662.0,995631000.0,6.13846,6.0155,2,235328.0,4.172235,addition,0.2309252,Q3 2016,COMMUNICATIONS,13F,06/30/2019,132.1313
Iqvia holdings inc,IQV,"",6185907.0,995312000.0,6.1365,6.4816,3,-1522232.0,-19.748372,reduction,3.1576861,Q1 2017,HEALTH CARE,13F,06/30/2019,84.5548
Microsoft corp.,MSFT,"",7384511.0,989229000.0,6.09899,6.2289,4,-1650520.0,-18.268006,reduction,0.0967140,Q4 2013,INFORMATION TECHNOLOGY,13F,06/30/2019,78.5474
Unitedhealth group inc.,UNH,"",3772254.0,920468000.0,5.67505,5.1667,5,197536.0,5.525918,addition,0.3980515,Q2 2017,HEALTH CARE,13F,06/30/2019,205.5636
Amazon.com inc.,AMZN,"",466511.0,883399000.0,5.44651,6.7834,6,-185150.0,-28.412012,reduction,0.0943094,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,1345.5904
Union pacific corp.,UNP,"",4930899.0,833864000.0,5.14111,3.2385,7,1617445.0,48.81447,addition,0.6998849,Q3 2018,TRANSPORTS,13F,06/30/2019,167.8265
Transdigm group inc,TDG,"",1585504.0,767067000.0,4.72928,4.4086,8,-75749.0,-4.559751,reduction,2.9702211,Q4 2017,INDUSTRIALS,13F,06/30/2019,302.5472
Wynn resorts ltd,WYNN,"",5406697.0,670376000.0,4.13314,4.1539,9,-548800.0,-9.215016,reduction,5.0238775,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,151.3213
Autodesk  inc.,ADSK,"",3989892.0,649953000.0,4.00722,3.1334,10,549792.0,15.981861,addition,1.8167253,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,133.335
Canadian pacific railway ltd. (2001),CP,"",2706006.0,636561000.0,3.92465,3.8773,11,-513430.0,-15.947824,reduction,1.9457870,Q2 2018,TRANSPORTS,13F,06/30/2019,190.7026
Tiffany & co. (de),TIF,"",6570002.0,615215000.0,3.79305,4.1807,12,-206000.0,-3.040141,reduction,5.4109718,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,80.51
Booking holdings inc. (priceline),BKNG,"",321396.0,602524000.0,3.7148,3.2782,13,0.0,0.0,,0.6551080,Q1 2011,CONSUMER DISCRETIONARY,13F,06/30/2019,1722.42
Facebook inc,FB,"",3002136.0,579412000.0,3.57231,4.7167,14,-1838547.0,-37.981149,reduction,0.1052292,Q3 2014,COMMUNICATIONS,13F,06/30/2019,129.6574
D.r. horton  inc.,DHI,"",12430413.0,536124000.0,3.30542,1.5887,15,5862601.0,89.262619,addition,3.3612063,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,42.2054
Activision blizzard inc,ATVI,"",10324534.0,487318000.0,3.00451,,16,10324534.0,,new,1.3460404,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,47.2
Dominos pizza inc,DPZ,"",2072742.0,481767423.06,2.97029,,17,825487.0,66.184301,addition,5.0272666,,CONSUMER DISCRETIONARY,13G,08/20/2019,
Shopify inc,SHOP,"",1502771.0,451057000.0,2.78095,0.0483,18,1462771.0,3656.9275,addition,1.3354403,Q1 2019,COMMUNICATIONS,13F,06/30/2019,297.6605
Salesforce.com inc.,CRM,"",2941733.0,446349000.0,2.75192,1.8147,19,981520.0,50.07211,addition,0.3790893,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,151.3678
Mastercard inc,MA,"",1670957.0,442018000.0,2.72522,3.842,20,-1120530.0,-40.140971,reduction,0.1646977,Q4 2018,FINANCE,13F,06/30/2019,188.65
S&p global inc. (mcgraw-hill inc.),SPGI,"",1930511.0,439751000.0,2.71124,3.8047,21,-1160850.0,-37.551422,reduction,0.7838047,Q1 2019,COMMUNICATIONS,13F,06/30/2019,210.55
Servicenow inc,NOW,"",1311525.0,360105000.0,2.22019,2.4579,22,-394369.0,-23.118025,reduction,0.6994800,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,121.1817
Mercadolibre inc,MELI,"",476373.0,291431000.0,1.79679,1.9802,23,-190833.0,-28.601811,reduction,0.9583042,Q3 2017,COMMUNICATIONS,13F,06/30/2019,349.0818
Square inc,SQ,"",3314831.0,240425000.0,1.48232,0.0526,24,3194831.0,2662.359167,addition,0.7760708,Q1 2019,FINANCE,13F,06/30/2019,72.6165
