Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Wellcare health plans inc,WCG,"",912876.0,260234000.0,4.96317,4.1263,1,318581.0,53.606542,addition,1.8145021,Q4 2018,HEALTH CARE,13F,06/30/2019,274.9932
First data corp,FDC,"",8511692.0,230412000.0,4.39441,6.3448,2,-871719.0,-9.290001,reduction,N/A,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,26.2335
Worldpay inc class a,WP,"",1866876.0,228786000.0,4.3634,6.0538,3,-205353.0,-9.909764,reduction,N/A,Q1 2019,INDUSTRIALS,13F,06/30/2019,113.5
Total system services inc,TSS,"",1746766.0,224058000.0,4.27323,0.0264,4,1735976.0,16088.748842,addition,0.9846483,Q3 2015,FINANCE,13F,06/30/2019,128.0645
Wabco holdings inc,WBC,"",1665196.0,220805000.0,4.21118,2.5172,5,923359.0,124.469257,addition,3.2497970,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,132.257
Red hat inc,RHT,"",1130052.0,212179000.0,4.04667,5.4726,6,-33696.0,-2.895472,reduction,N/A,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,175.64
Tribune media co,TRCO,"",4298561.0,198679000.0,3.7892,5.2623,7,-132391.0,-2.987868,reduction,4.8692354,Q2 2017,COMMUNICATIONS,13F,06/30/2019,45.38
Cypress semiconductor corp,CY,"",8510798.0,189280000.0,3.60994,,8,8510798.0,,new,2.3044509,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,22.24
Mellanox technologies ltd,MLNX,"",1696899.0,187796000.0,3.58164,5.8144,9,-211641.0,-11.089157,reduction,3.0965310,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,118.36
Celgene corp.,CELG,"",1884922.0,174242000.0,3.32314,4.7006,10,-50884.0,-2.628569,reduction,0.2659539,Q1 2019,HEALTH CARE,13F,06/30/2019,94.34
Tableau software inc,DATA,"",1043801.0,173292000.0,3.30502,,11,1043801.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,166.02
Allergan plc,AGN,"",966272.0,161783000.0,3.08552,0.049,12,953272.0,7332.861538,addition,0.2945682,Q4 2018,HEALTH CARE,13F,06/30/2019,167.0615
Caesars entertainment corp,CZR,"",13205974.0,156095000.0,2.97704,,13,13205974.0,,new,1.9484448,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,11.82
Sprint corp,S,"",23532742.0,154610000.0,2.94872,3.5277,14,-724518.0,-2.986809,reduction,0.5749650,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,5.5334
Array biopharma inc,ARRY,"",3204024.0,148442000.0,2.83108,,15,3204024.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,46.33
Versum materials inc,VSM,"",2778778.0,143329000.0,2.73357,,16,2778778.0,,new,2.5430383,Q2 2019,MATERIALS,13F,06/30/2019,51.58
Acacia communications inc,ACIA,"",2033951.0,128240610.55,2.4458,,17,-171301.0,-7.767865,reduction,4.9548136,,INFORMATION TECHNOLOGY,13D,08/30/2019,
Anadarko petroleum corp.,APC,"",1749685.0,123458000.0,2.35459,0.0166,18,1735550.0,12278.386983,addition,N/A,Q1 2017,ENERGY,13F,06/30/2019,224.9087
Advanced disposal services inc,ADSW,"",3743770.0,119464000.0,2.27841,,19,3743770.0,,new,4.2097942,Q2 2019,INDUSTRIALS,13F,06/30/2019,31.91
Finisar corp.,FNSR,"",5135411.0,117447000.0,2.23994,3.1693,20,-178763.0,-3.363891,reduction,4.2852228,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,21.6
Spark therapeutics inc,ONCE,"",885199.0,90627000.0,1.72843,2.6857,21,-31040.0,-3.387762,reduction,2.2998155,Q1 2019,HEALTH CARE,13F,06/30/2019,113.88
Medidata solutions inc,MDSO,"",784226.0,70980000.0,1.35373,,22,784226.0,,new,1.2555652,Q2 2019,HEALTH CARE,13F,06/30/2019,90.51
Milacron holdings corp,MCRN,"",4253315.0,69329034.5,1.32224,0.02,23,4183136.0,5960.666296,addition,6.0313599,,INDUSTRIALS,13D,08/02/2019,
Carrizo oil & co. inc.,CRZO,"",5406002.0,56222420.8,1.07227,,24,5406002.0,"",new,5.8411691,,ENERGY,13D,07/24/2019,
Energy transfer equity lp,ET,"",3912074.0,55082000.0,1.05052,1.7455,25,-500000.0,-11.332539,reduction,0.1491314,Q3 2018,ENERGY,13F,06/30/2019,13.7838
Churchill capital corp ii,CCX.UN,"",5000000.0,50750000.0,0.967902,,26,5000000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.15
Pacific biosciences of california  inc.,PACB,"",7603652.0,42352341.64,0.807742,1.5293,27,-337721.0,-4.252678,reduction,4.9706818,,HEALTH CARE,13D,08/27/2019,
Global brass and copper holdings inc,BRSS,"",928354.0,40597000.0,0.774265,,28,928354.0,,new,N/A,Q2 2019,MATERIALS,13F,06/30/2019,43.73
Stewart information services corp.,STC,"",954326.0,38641000.0,0.73696,1.0825,29,-30863.0,-3.132698,reduction,4.0249937,Q1 2018,FINANCE,13F,06/30/2019,43.9686
Legacytexas financial group inc,LTXB,"",874952.0,35619000.0,0.679324,,30,874952.0,,new,1.7798047,Q2 2019,FINANCE,13F,06/30/2019,40.71
Microchip technology inc,MCHP,PRN,23575000.0,27613000.0,0.526634,0.6659,31,225000.0,0.963597,addition,N/A,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,
Aquantia corp,AQ,"",2115512.0,27565000.0,0.525719,,32,2115512.0,,new,5.8813233,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,13.03
Fintech acquisition corp iii,FTAC,"",2700000.0,26487000.0,0.505159,0.6776,33,0.0,0.0,,6.0961842,Q1 2019,FINANCE,13F,06/30/2019,9.75
Change healthcare inc,CHNG,"",1750000.0,25550000.0,0.487289,,34,1750000.0,,new,1.4016820,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,14.6
Graf industrial corp,GRAF,"",2525000.0,25124000.0,0.479164,0.6389,35,0.0,0.0,,8.2868395,Q4 2018,FINANCE,13F,06/30/2019,9.6
Becton  dickinson and co.,BDX,"",91162.0,22974000.0,0.438159,0.3797,36,32100.0,54.349666,addition,0.0337700,Q3 2015,HEALTH CARE,13F,06/30/2019,235.8242
Wageworks inc,WAGE,"",447503.0,22729000.0,0.433487,,37,447503.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,50.79
Cigna holding co,CI,"",143339.0,22583000.0,0.430702,0.439,38,37289.0,35.161716,addition,0.0379595,Q2 2017,FINANCE,13F,06/30/2019,171.1785
Haymaker acquisition corp ii units,HYACU,"",2200000.0,22319000.0,0.425667,,39,2200000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.21
South mountain merger corp,SMMCU,"",2227500.0,22275000.0,0.424828,,40,2227500.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,10.0
Calgon carbon corporation,CCC/WS,"",4552417.0,21624000.0,0.412412,0.2524,41,1562518.0,52.259892,addition,N/A,Q4 2018, ,13F,06/30/2019,
Astrazeneca plc,AZN,"",514900.0,21255000.0,0.405375,0.4007,42,129900.0,33.74026,addition,0.0408975,Q3 2018,HEALTH CARE,13F,06/30/2019,40.2713
Meritor inc,MTOR,PRN,19468000.0,20319000.0,0.387523,0.4055,43,3175000.0,19.486896,addition,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Diamond eagle acquisition corp,DEACU,"",2000000.0,20120000.0,0.383728,,44,2000000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Tesla inc,TSLA,PRN,18700000.0,18349000.0,0.349951,,45,18700000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Syneos health inc class a,SYNH,"",351013.0,17933000.0,0.342018,0.146,46,241385.0,220.185537,addition,0.3390447,Q3 2018,HEALTH CARE,13F,06/30/2019,50.6969
Hennessy capital acquisition corp iv,HCAC,"",1800000.0,17820000.0,0.339862,,47,1800000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.9
Exterran corp,EXTN,"",1213978.0,17263000.0,0.329239,0.6156,48,-205427.0,-14.472754,reduction,3.4400057,Q4 2015,ENERGY,13F,06/30/2019,29.8481
Crescent acquisition corp,CRSA,"",1750000.0,17150000.0,0.327084,,49,1750000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.75
Gores holdings iii inc,GRSH,"",1500000.0,15075000.0,0.28751,0.3815,50,0.0,0.0,,3.1996587,Q4 2018,FINANCE,13F,06/30/2019,9.72
Gx acquisition corporation,GXGXU,"",1500000.0,15060000.0,0.287224,,51,1500000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Act ii global acquisition corp,ACTT,"",1500000.0,14618000.0,0.278794,,52,1500000.0,,new,4.5969966,Q2 2019,FINANCE,13F,06/30/2019,9.75
Baxter international inc.,BAX,"",168000.0,13759000.0,0.262411,0.203,53,71000.0,73.195876,addition,0.0329050,Q3 2015,HEALTH CARE,13F,06/30/2019,78.5655
Consolidated-tomoka land co.,CTO,"",226580.0,13527000.0,0.257986,,54,226580.0,,new,4.5959432,Q2 2019,REAL ESTATE,13F,06/30/2019,59.7
Medtronic plc,MDT,"",138759.0,13514000.0,0.257739,0.3776,55,-22325.0,-13.859229,reduction,0.0103462,Q3 2016,HEALTH CARE,13F,06/30/2019,86.7511
Gores metropoulos inc,GMHI,"",1300000.0,13299000.0,0.253638,0.3283,56,0.0,0.0,,2.6000000,Q1 2019,FINANCE,13F,06/30/2019,9.75
Nrg energy inc,NRG,PRN,11975000.0,12788000.0,0.243892,,57,11975000.0,,new,N/A,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Centene corp,CNC,"",228900.0,12004000.0,0.22894,0.1839,58,94387.0,70.169426,addition,0.0553420,Q3 2018,HEALTH CARE,13F,06/30/2019,52.8278
Insurance acquisition corp,INSU,"",1200000.0,11700000.0,0.223142,,59,1200000.0,,new,5.8111380,Q2 2019,FINANCE,13F,06/30/2019,9.85
Pra health sciences inc,PRAH,"",114000.0,11303000.0,0.21557,,60,114000.0,,new,0.1730419,Q2 2019,HEALTH CARE,13F,06/30/2019,99.15
Chaserg technology acquisition corp,CTAC,"",1100000.0,11044000.0,0.210631,0.2796,61,0.0,0.0,,3.9090263,Q4 2018,FINANCE,13F,06/30/2019,9.68
Rattler midstream lp,RTLR,"",564000.0,10936000.0,0.208571,,62,564000.0,,new,0.3722281,Q2 2019,ENERGY,13F,06/30/2019,19.39
Bristol-myers squibb co,BMY,"",238663.0,10823000.0,0.206416,,63,238663.0,,new,0.0145903,Q2 2019,HEALTH CARE,13F,06/30/2019,45.35
Landcadia holdings ii inc,LCA,"",1080000.0,10508000.0,0.200408,,64,1080000.0,,new,3.4144799,Q2 2019,FINANCE,13F,06/30/2019,9.728
Trine acquisition corp,TRNE,"",1050000.0,10206000.0,0.194648,,65,1050000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.73
Pivotal acquisition corp,PVT,"",1000000.0,10150000.0,0.19358,0.2537,66,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,06/30/2019,9.79
Laboratory corp of america holdings,LH,"",58062.0,10039000.0,0.191463,0.1861,67,10800.0,22.851339,addition,0.0594289,Q3 2016,HEALTH CARE,13F,06/30/2019,162.1753
Spartan energy acquisition corp,SPAQ,"",1000000.0,10000000.0,0.19072,0.253,68,0.0,0.0,,1.4492754,Q4 2018,FINANCE,13F,06/30/2019,9.63
Tortoise acquisition corp,SHLL,"",1000000.0,9985000.0,0.190434,,69,1000000.0,,new,4.2918455,Q2 2019,FINANCE,13F,06/30/2019,9.85
Istar inc. (starwood financial),STAR,PRN,9647000.0,9860000.0,0.18805,0.2521,70,-1000000.0,-9.392317,reduction,N/A,Q4 2018,REAL ESTATE,13F,06/30/2019,
Replay acquisition corp,RPLA,"",1000000.0,9765000.0,0.186238,,71,1000000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.77
Acamar partners acquisition corp,ACAM,"",1000000.0,9720000.0,0.185379,,72,1000000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,9.72
Amci acquisition corp,AMCI,"",900000.0,8946000.0,0.170618,0.2279,73,0.0,0.0,,3.6000000,Q1 2019,FINANCE,13F,06/30/2019,9.84
Lendingtree inc,TREE,PRN,4275000.0,8899000.0,0.169721,0.4422,74,-5500000.0,-56.265985,reduction,N/A,Q3 2018,FINANCE,13F,06/30/2019,
Sempra energy  6.00% mandatory convertible preferred stock series a,SRE+A,"",76400.0,8560000.0,0.163256,0.2027,75,2250.0,3.03439,addition,N/A,Q3 2018,ENERGY,13F,06/30/2019,102.654
Stoneco ltd,STNE,"",285000.0,8430000.0,0.160777,,76,285000.0,,new,0.1028621,Q2 2019,FINANCE,13F,06/30/2019,29.58
Dish network corp  class a,DISH,PRN,8511000.0,8268000.0,0.157687,0.0393,77,6725000.0,376.539754,addition,N/A,Q4 2018,COMMUNICATIONS,13F,06/30/2019,
Qts realty trust inc  6.50% series b cumulative convertible perpetual preferred,QTS+B,"",70000.0,7766000.0,0.148113,0.0501,78,52250.0,294.366197,addition,N/A,Q1 2019,REAL ESTATE,13F,06/30/2019,110.2323
Pra group inc,PRAA,PRN,8000000.0,7480000.0,0.142658,0.1224,79,2725000.0,51.658768,addition,N/A,Q4 2018,FINANCE,13F,06/30/2019,
Crown castle international corp  6.875% cumulative mandatory convertible preferred stock series a,CCI+A,"",6000.0,7190000.0,0.137127,0.4049,80,-7275.0,-54.80226,reduction,N/A,Q2 2018,REAL ESTATE,13F,06/30/2019,
