Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",2894156.0,387701000.0,1.40121,1.1065,1,421204.0,17.032437,addition,0.0379044,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,104.2876
Starbucks corp.,SBUX,"",4279793.0,358775000.0,1.29667,1.2358,2,-102048.0,-2.328884,reduction,0.3575433,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,72.2676
Ameriprise financial  inc.,AMP,"",2084864.0,302638000.0,1.09378,0.5557,3,941409.0,82.330219,addition,1.5930802,Q1 2018,FINANCE,13F,06/30/2019,146.669
Facebook inc,FB,"",1548140.0,298791000.0,1.07987,1.1728,4,-306379.0,-16.520672,reduction,0.0542645,Q1 2018,COMMUNICATIONS,13F,06/30/2019,161.5676
Citigroup  inc.,C,"",3761985.0,263451000.0,0.95215,0.8517,5,153961.0,4.267183,addition,0.1665288,Q1 2018,FINANCE,13F,06/30/2019,63.042
Exelon corp,EXC,"",5372649.0,257566000.0,0.930881,1.0061,6,82361.0,1.556834,addition,0.5529749,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,43.0224
Citrix systems inc.,CTXS,"",2583145.0,253509000.0,0.916218,0.823,7,406449.0,18.67275,addition,1.9733728,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,102.992
Alibaba group holding ltd adr,BABA,"",1391503.0,235790000.0,0.852179,0.4766,8,703038.0,102.116738,addition,0.0546888,Q1 2018,COMMUNICATIONS,13F,06/30/2019,176.1922
Gilead sciences inc.,GILD,"",3487361.0,235606000.0,0.851514,1.016,9,-631906.0,-15.340253,reduction,0.2753629,Q1 2018,HEALTH CARE,13F,06/30/2019,72.8966
Amazon.com inc.,AMZN,"",123813.0,234456000.0,0.847358,0.7325,10,15391.0,14.195458,addition,0.0250299,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1693.899
Allstate corp (the),ALL,"",2301010.0,233989000.0,0.84567,0.7702,11,145323.0,6.741378,addition,0.6989915,Q1 2018,FINANCE,13F,06/30/2019,96.1807
Monster beverage corp.,MNST,"",3600217.0,229802000.0,0.830538,0.8624,12,-564596.0,-13.556335,reduction,0.6607358,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,54.7826
Morgan stanley,MS,"",5206246.0,228086000.0,0.824336,0.9366,13,-643560.0,-11.00139,reduction,0.3150012,Q1 2018,FINANCE,13F,06/30/2019,50.413
Abbvie inc,ABBV,"",2605268.0,189456000.0,0.684722,0.2963,14,1636248.0,168.855958,addition,0.1762126,Q1 2018,HEALTH CARE,13F,06/30/2019,76.348
Nxp semiconductors n.v.,NXPI,"",1934843.0,188860000.0,0.682568,0.2291,15,1251737.0,183.241986,addition,0.5886349,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,93.8194
Expedia group inc,EXPE,"",1357058.0,180530000.0,0.652462,0.4696,16,317008.0,30.480073,addition,0.9069425,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,123.3215
Medtronic plc,MDT,"",1807932.0,176074000.0,0.636357,0.8007,17,-509240.0,-21.976789,reduction,0.1348036,Q1 2018,HEALTH CARE,13F,06/30/2019,92.2775
Taiwan semiconductor manufacturing co ltd adr,TSM,"",4407316.0,172635000.0,0.623928,0.2101,18,3055062.0,225.92368,addition,0.0849836,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,40.701
Adobe systems  inc.,ADBE,"",571149.0,168289000.0,0.608221,0.7215,19,-142471.0,-19.964547,reduction,0.1176559,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,218.6342
Oracle corp,ORCL,"",2919306.0,166313000.0,0.601079,0.9891,20,-1934962.0,-39.861046,reduction,0.0875139,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,45.0772
Amgen  inc.,AMGN,"",848830.0,156422000.0,0.565332,0.4581,21,213259.0,33.553922,addition,0.1415424,Q1 2018,HEALTH CARE,13F,06/30/2019,176.2634
Conocophillips (phillips petroleum),COP,"",2414519.0,147287000.0,0.532317,0.5487,22,247473.0,11.419831,addition,0.2174968,Q1 2018,ENERGY,13F,06/30/2019,66.6226
Cadence design systems  inc.,CDNS,"",2060577.0,145910000.0,0.52734,0.6696,23,-718379.0,-25.850679,reduction,0.7355263,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,43.9205
Lincoln national corp.,LNC,"",2137521.0,137764000.0,0.497899,0.3306,24,652977.0,43.985022,addition,1.0677461,Q1 2018,FINANCE,13F,06/30/2019,61.062
Intuit  inc.,INTU,"",521457.0,136272000.0,0.492507,0.4522,25,65497.0,14.364637,addition,0.2011484,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,198.1393
Pepsico inc. (loft  inc.),PEP,"",1008110.0,132193000.0,0.477765,0.3683,26,215874.0,27.248699,addition,0.0722950,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,118.6189
Hca healthcare inc,HCA,"",941239.0,127228000.0,0.459821,0.4988,27,-67181.0,-6.662006,reduction,0.2760394,Q1 2018,HEALTH CARE,13F,06/30/2019,120.0575
Apple inc,AAPL,"",641738.0,127021000.0,0.459072,0.1399,28,447571.0,230.508274,addition,0.0142003,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,190.9179
Booking holdings inc. (priceline),BKNG,"",67196.0,125973000.0,0.455285,0.6411,29,-29655.0,-30.619199,reduction,0.1369670,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1846.0676
Verisign inc.,VRSN,"",582895.0,121918000.0,0.440629,0.4383,30,-53371.0,-8.388158,reduction,0.4924347,Q1 2018,COMMUNICATIONS,13F,06/30/2019,131.9102
Msci inc,MSCI,"",499154.0,119193000.0,0.430781,0.297,31,105428.0,26.776997,addition,0.5893200,Q1 2018,FINANCE,13F,06/30/2019,176.3141
Nrg energy inc,NRG,"",3280202.0,115200000.0,0.41635,0.4417,32,539805.0,19.698058,addition,1.2965738,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,36.1927
Tyson foods  inc.,TSN,"",1410433.0,113878000.0,0.411572,0.3784,33,-26013.0,-1.810928,reduction,0.3867485,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,57.4254
Idexx laboratories inc.,IDXX,"",411622.0,113333000.0,0.409602,0.413,34,-75175.0,-15.442782,reduction,0.4781299,Q1 2018,HEALTH CARE,13F,06/30/2019,212.0295
Biogen inc,BIIB,"",472592.0,110525000.0,0.399453,0.279,35,161432.0,51.880704,addition,0.2562169,Q1 2018,HEALTH CARE,13F,06/30/2019,265.1526
Ebay inc.,EBAY,"",2772596.0,109518000.0,0.395814,0.3487,36,297668.0,12.02734,addition,0.3305589,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,37.3955
Boeing company,BA,"",288649.0,105070000.0,0.379738,0.7333,37,-218074.0,-43.036136,reduction,0.0512962,Q1 2018,INDUSTRIALS,13F,06/30/2019,328.2753
