Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Boston scientific inc.,BSX,"",9545382.0,410261000.0,3.3754,1.5923,1,5131591.0,116.262664,addition,0.6852540,Q3 2014,HEALTH CARE,13F,06/30/2019,40.2458
Thermo fisher scientific  inc.,TMO,"",1081081.0,317491000.0,2.6122,1.9942,2,305978.0,39.475786,addition,0.2699463,Q4 2018,HEALTH CARE,13F,06/30/2019,271.6167
Amazon.com inc.,AMZN,"",160122.0,303211000.0,2.4947,1.2294,3,86671.0,117.998393,addition,0.0323701,Q1 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,1817.3884
Zoetis  inc.,ZTS,"",2407075.0,273179000.0,2.2476,3.1475,4,-919152.0,-27.633472,reduction,0.5040361,Q1 2014,HEALTH CARE,13F,06/30/2019,77.8823
Teleflex  inc.,TFX,"",756383.0,250476000.0,2.0608,1.6949,5,159606.0,26.744663,addition,1.6361302,Q2 2014,INDUSTRIALS,13F,06/30/2019,276.861
Mcdonalds corp.,MCD,"",1179670.0,244970000.0,2.0155,2.5917,6,-272290.0,-18.753271,reduction,0.1553342,Q3 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,187.2842
Alibaba group holding ltd adr,BABA,"",1237298.0,209661000.0,1.725,0.2314,7,1102340.0,816.802264,addition,0.0486283,Q3 2014,COMMUNICATIONS,13F,06/30/2019,170.8029
Walt disney co. (the),DIS,"",1168468.0,163166000.0,1.3424,0.1815,8,994529.0,571.768839,addition,0.0648652,Q4 2018,COMMUNICATIONS,13F,06/30/2019,135.3357
Godaddy inc,GDDY,"",1878596.0,131784000.0,1.0843,0.0635,9,1788699.0,1989.720458,addition,1.0523168,Q2 2015,COMMUNICATIONS,13F,06/30/2019,69.8961
Ebay inc.,EBAY,"",3104213.0,122617000.0,1.0088,0.7434,10,974814.0,45.778832,addition,0.3700955,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,37.8811
Fidelity national information services inc,FIS,"",910941.0,111753000.0,0.9194,0.5374,11,405440.0,80.205578,addition,0.1484972,Q1 2019,FINANCE,13F,06/30/2019,117.3638
Fiat chrysler automobiles n.v.,FCAU,"",7159497.0,99878000.0,0.8217,0.3099,12,4946622.0,223.538248,addition,No Data,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,14.8523
