Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Altaba inc. (yahoo),AABA,"",11782333.0,817340000.0,1.2288,1.3246,1,-159300.0,-1.333988,reduction,2.2679704,Q4 2006,FINANCE,13F,06/30/2019,56.9819
Invesco qqq trust series 1,QQQ,PUT,3354700.0,626457000.0,0.9418,0.6413,2,969700.0,40.658281,addition,No Data,Q4 2016,FINANCE,13F,06/30/2019,
Amazon.com inc.,AMZN,PUT,287400.0,544229000.0,0.8182,0.6724,3,35100.0,13.91201,addition,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Apple inc,AAPL,PUT,2651200.0,524726000.0,0.7889,0.4479,4,1075500.0,68.255379,addition,N/A,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,
Lyondellbasell industries nv,LYB,"",5814308.0,500786000.0,0.7529,0.0063,5,5764281.0,11522.339936,addition,1.7343201,Q4 2010,MATERIALS,13F,06/30/2019,86.3278
Spdr s&p 500 etf trust,SPY,PUT,1532700.0,449081000.0,0.6751,0.5519,6,227300.0,17.412287,addition,No Data,Q2 2013,FINANCE,13F,06/30/2019,
Microsoft corp.,MSFT,PUT,3334100.0,446636000.0,0.6715,0.3789,7,1187200.0,55.298337,addition,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Worldpay inc class a,WP,"",3499056.0,428809000.0,0.6447,0.2824,8,1836385.0,110.447888,addition,N/A,Q4 2016,INDUSTRIALS,13F,06/30/2019,76.7596
L3 technologies inc,LLL,"",1681798.0,412326000.0,0.6199,0.0004,9,1680419.0,121857.795504,addition,N/A,Q3 2013,INDUSTRIALS,13F,06/30/2019,245.1178
Red hat inc,RHT,"",2126964.0,399359000.0,0.6004,0.5479,10,123033.0,6.139583,addition,N/A,Q1 2010,INFORMATION TECHNOLOGY,13F,06/30/2019,167.3388
Allergan plc,AGN,"",2209521.0,369940000.0,0.5562,0.1075,11,1719132.0,350.56496,addition,0.6735728,Q1 2013,HEALTH CARE,13F,06/30/2019,163.261
Marathon petroleum corp,MPC,"",6430430.0,359332000.0,0.5402,0.2867,12,3229826.0,100.913015,addition,0.9767940,Q3 2011,ENERGY,13F,06/30/2019,59.9095
Nxp semiconductors n.v.,NXPI,"",3460948.0,337823000.0,0.5079,0.1487,13,2336539.0,207.801521,addition,1.0529200,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,93.1401
Celgene corp.,CELG,"",3643692.0,336823000.0,0.5064,0.3774,14,970842.0,36.322353,addition,0.5141084,Q4 2006,HEALTH CARE,13F,06/30/2019,75.0821
Ishares iboxx $ high yield corp bond etf,HYG,PUT,3850000.0,335643000.0,0.5046,0.0328,15,3596500.0,1418.737673,addition,No Data,Q3 2018,FINANCE,13F,06/30/2019,
Anadarko petroleum corp.,APC,"",4308550.0,304011000.0,0.457,0.5205,16,-3338504.0,-43.657388,reduction,N/A,Q4 2006,ENERGY,13F,06/30/2019,89.4751
Apple inc,AAPL,"",1452971.0,287572000.0,0.4323,0.0557,17,1257013.0,641.470621,addition,0.0321512,Q4 2006,INFORMATION TECHNOLOGY,13F,06/30/2019,196.9859
