Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,PUT,740000.0,216820000.0,5.1085,2.1809,1,490000.0,196.0,addition,No Data,Q2 2010,FINANCE,13F,06/30/2019,
Invesco qqq trust series 1,QQQ,CALL,1000000.0,186740000.0,4.3998,0.577,2,896000.0,861.538462,addition,No Data,Q1 2018,FINANCE,13F,06/30/2019,
Ishares china large-cap etf,FXI,CALL,4310000.0,184339000.0,4.3432,,3,4310000.0,,new,No Data,Q2 2018,FINANCE,13F,06/30/2019,
Ishares iboxx $ high yield corp bond etf,HYG,PUT,2050000.0,178719000.0,4.2108,,4,2050000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Ishares msci emerging index fund,EEM,CALL,3180000.0,136454000.0,3.215,1.9882,5,1680000.0,112.0,addition,No Data,Q1 2017,FINANCE,13F,06/30/2019,
Facebook inc,FB,"",585000.0,112905000.0,2.6602,2.2907,6,140000.0,31.460674,addition,0.0205051,Q3 2013,COMMUNICATIONS,13F,06/30/2019,173.439
Alibaba group holding ltd adr,BABA,"",625000.0,105906000.0,2.4953,4.3948,7,-155000.0,-19.871795,reduction,0.0245637,Q3 2014,COMMUNICATIONS,13F,06/30/2019,182.45
Amazon.com inc.,AMZN,"",53000.0,100362000.0,2.3646,1.2819,8,29690.0,127.370227,addition,0.0107144,Q2 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,1505.0053
Invesco qqq trust series 1,QQQ,PUT,500000.0,93370000.0,2.1999,,9,500000.0,,new,No Data,Q2 2017,FINANCE,13F,06/30/2019,
Progressive corp.,PGR,"",925000.0,73935000.0,1.742,0.334,10,775000.0,516.666667,addition,0.1582143,Q4 2018,FINANCE,13F,06/30/2019,77.3873
Netflix inc,NFLX,"",197000.0,72362000.0,1.7049,1.4865,11,62000.0,45.925926,addition,0.0449936,Q4 2016,COMMUNICATIONS,13F,06/30/2019,368.611
Jd.com inc adr,JD,"",2350000.0,71182000.0,1.6771,1.2802,12,975000.0,70.909091,addition,0.1610836,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,30.2081
Ishares 20+ year treasury bond etf,TLT,PUT,500000.0,66405000.0,1.5646,,13,500000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Synchrony financial,SYF,"",1800000.0,62406000.0,1.4704,1.724,14,50000.0,2.857143,addition,0.2713132,Q1 2019,FINANCE,13F,06/30/2019,31.9769
Ameriprise financial  inc.,AMP,"",425000.0,61693000.0,1.4536,1.2857,15,100000.0,30.769231,addition,0.3247498,Q2 2018,FINANCE,13F,06/30/2019,132.1141
Fidelity national information services inc,FIS,"",500000.0,61340000.0,1.4452,,16,500000.0,,new,0.0815076,Q2 2019,FINANCE,13F,06/30/2019,122.68
Mastercard inc,MA,"",215000.0,56874000.0,1.34,0.3636,17,165000.0,330.0,addition,0.0211915,Q2 2018,FINANCE,13F,06/30/2019,248.7137
Burlington stores inc,BURL,"",320980.0,54615000.0,1.2868,1.0887,18,95980.0,42.657778,addition,0.4836221,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,162.574
Bunge ltd. adr,BG,"",865000.0,48189000.0,1.1354,1.0899,19,200000.0,30.075188,addition,0.6110483,Q4 2017,CONSUMER STAPLES,13F,06/30/2019,53.6804
Ishares msci mexico capped etf,EWW,CALL,1100000.0,47718000.0,1.1243,0.6731,20,600000.0,120.0,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Ishares transportation average etf,IYT,CALL,240000.0,45166000.0,1.0642,,21,240000.0,,new,No Data,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Wex  inc.,WEX,"",200000.0,41620000.0,0.9806,,22,200000.0,,new,0.4621072,Q2 2019,FINANCE,13F,06/30/2019,208.1
Americold realty trust,COLD,"",1265050.0,41013000.0,0.9663,,23,1265050.0,,new,0.6600490,Q2 2019,INDUSTRIALS,13F,06/30/2019,32.42
Ishares msci emerging index fund,EEM,"",955000.0,40979000.0,0.9655,1.9444,24,-512000.0,-34.901159,reduction,No Data,Q1 2016,FINANCE,13F,06/30/2019,42.92
Ishares russell 2000 etf,IWM,CALL,253500.0,39419000.0,0.9288,,25,253500.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Paypal holdings inc,PYPL,"",304100.0,34807000.0,0.8201,0.2399,26,229300.0,306.550802,addition,0.0258439,Q3 2018,COMMUNICATIONS,13F,06/30/2019,111.8478
Spdr gold trust,GLD,CALL,250000.0,33300000.0,0.7846,,27,250000.0,,new,No Data,Q2 2019,MATERIALS,13F,06/30/2019,
Northrop grumman corp.,NOC,"",100500.0,32473000.0,0.7651,,28,100500.0,,new,0.0593972,Q2 2019,INDUSTRIALS,13F,06/30/2019,323.11
Oreilly automotive inc.,ORLY,PUT,85000.0,31392000.0,0.7396,,29,85000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Coupa software inc,COUP,"",245000.0,31019000.0,0.7308,,30,245000.0,,new,0.3966327,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,126.61
Adobe systems  inc.,ADBE,"",100000.0,29465000.0,0.6942,1.1522,31,-40000.0,-28.571429,reduction,0.0205999,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,259.2886
Gds holdings ltd adr,GDS,"",750000.0,28178000.0,0.6639,1.6533,32,-750000.0,-50.0,reduction,0.6386784,Q4 2016,COMMUNICATIONS,13F,06/30/2019,26.1073
Tempur sealy international inc,TPX,"",375000.0,27514000.0,0.6483,,33,375000.0,,new,0.6841817,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,73.37
Albemarle corp.,ALB,"",390000.0,27460000.0,0.647,0.6203,34,145000.0,59.183673,addition,0.3679592,Q1 2019,MATERIALS,13F,06/30/2019,77.6783
Walt disney co. (the),DIS,"",192500.0,26881000.0,0.6333,,35,192500.0,,new,0.0106863,Q2 2019,COMMUNICATIONS,13F,06/30/2019,139.64
Sea ltd adr,SE,"",800000.0,26576000.0,0.6262,,36,800000.0,,new,0.2446184,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,33.22
Altice usa inc,ATUS,"",1082200.0,26352000.0,0.6209,0.7463,37,-42800.0,-3.804444,reduction,0.1670758,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,20.5151
V.f. corp. (vanity fair mills inc.),VFC,"",300000.0,26205000.0,0.6174,,38,300000.0,,new,0.0753428,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,87.35
Citrix systems inc.,CTXS,"",260000.0,25516000.0,0.6012,,39,260000.0,,new,0.1986249,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,98.14
Comcast corp.  class a,CMCSA,"",600000.0,25368000.0,0.5977,0.9877,40,-200000.0,-25.0,reduction,0.0132014,Q2 2018,COMMUNICATIONS,13F,06/30/2019,39.0905
Q2 holdings inc,QTWO,"",325000.0,24817000.0,0.5847,,41,325000.0,,new,0.6823431,Q2 2019,COMMUNICATIONS,13F,06/30/2019,76.36
Ishares msci brazil capped etf,EWZ,CALL,500000.0,21860000.0,0.515,0.6329,42,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,06/30/2019,
Wendys co. (the),WEN,"",1100000.0,21538000.0,0.5075,0.4144,43,350000.0,46.666667,addition,0.4770165,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,18.4277
Royal caribbean cruises ltd,RCL,"",175000.0,21212000.0,0.4998,0.354,44,75000.0,75.0,addition,0.0835083,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,116.1643
Bjs wholesale club holdings inc,BJ,"",800000.0,21120000.0,0.4976,,45,800000.0,,new,0.5758296,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,26.4
Linde plc,LIN,"",105000.0,21084000.0,0.4968,,46,105000.0,,new,0.0365116,Q2 2019,MATERIALS,13F,06/30/2019,200.8
Cincinnati financial corp.,CINF,PUT,200000.0,20734000.0,0.4885,,47,200000.0,,new,N/A,Q2 2019,FINANCE,13F,06/30/2019,
Cme group inc,CME,"",105032.0,20388000.0,0.4804,0.5338,48,0.0,0.0,,0.0293312,Q1 2006,FINANCE,13F,06/30/2019,115.2709
Lowes companies  inc.,LOW,"",200000.0,20182000.0,0.4755,,49,200000.0,,new,0.0255454,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,100.91
Microsoft corp.,MSFT,"",150000.0,20094000.0,0.4734,,50,150000.0,,new,0.0019645,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,133.96
Ishares iboxx $ high yield corp bond etf,HYG,"",230000.0,20051000.0,0.4724,,51,230000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,87.18
Marathon petroleum corp,MPC,"",350000.0,19558000.0,0.4608,0.451,52,106000.0,43.442623,addition,0.0531656,Q3 2018,ENERGY,13F,06/30/2019,59.4619
Freeport-mcmoran copper & gold  inc,FCX,"",1665000.0,19331000.0,0.4555,0.7464,53,-210000.0,-11.2,reduction,0.1147571,Q3 2018,MATERIALS,13F,06/30/2019,10.9309
New relic inc,NEWR,"",200000.0,17302000.0,0.4077,,54,200000.0,,new,0.3424071,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,86.51
Match group inc,MTCH,"",250000.0,16818000.0,0.3963,,55,250000.0,,new,0.0889268,Q2 2019,COMMUNICATIONS,13F,06/30/2019,67.27
Lockheed martin corp.,LMT,"",45000.0,16359000.0,0.3854,,56,45000.0,,new,0.0159348,Q2 2019,INDUSTRIALS,13F,06/30/2019,363.54
Hasbro inc.,HAS,"",150000.0,15852000.0,0.3735,,57,150000.0,,new,0.1188590,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,105.68
Mcdonalds corp.,MCD,"",75000.0,15575000.0,0.367,,58,75000.0,,new,0.0098757,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,207.66
Interxion holding n.v.,INXN,"",200000.0,15218000.0,0.3586,,59,200000.0,,new,0.2614721,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,76.09
Melco resorts & entertainment limited ad adr,MLCO,"",700000.0,15204000.0,0.3582,,60,700000.0,,new,0.1416058,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,21.72
Electronic arts  inc.,EA,"",150000.0,15189000.0,0.3579,1.4124,61,-300000.0,-66.666667,reduction,0.0508975,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,101.63
Target corp.,TGT,"",175000.0,15157000.0,0.3571,0.7436,62,-125000.0,-41.666667,reduction,0.0341577,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,80.26
Gs acquisition holdings corp,GSAH,"",1500000.0,15150000.0,0.357,0.4642,63,0.0,0.0,,1.7391304,Q3 2018,FINANCE,13F,06/30/2019,9.75
Gores holdings iii inc,GRSH,"",1500000.0,15075000.0,0.3552,0.4586,64,0.0,0.0,,3.1996587,Q4 2018,FINANCE,13F,06/30/2019,9.72
Las vegas sands corp,LVS,"",250000.0,14773000.0,0.3481,,65,250000.0,,new,0.0324764,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,59.09
Spdr s&p 500 etf trust,SPY,CALL,50000.0,14650000.0,0.3452,,66,50000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Tradeweb markets inc,TW,"",332600.0,14571000.0,0.3433,,67,332600.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,43.81
Carvana co,CVNA,"",225000.0,14083000.0,0.3318,,68,225000.0,,new,0.1488587,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,62.59
Cree inc.,CREE,"",250000.0,14045000.0,0.3309,0.4418,69,0.0,0.0,,0.2335794,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,57.22
Bhp group plc,BBL,"",264244.0,13506000.0,0.3182,0.5405,70,-98271.0,-27.10812,reduction,0.0250231,Q4 2018,MATERIALS,13F,06/30/2019,41.89
Expedia group inc,EXPE,"",100000.0,13303000.0,0.3134,,71,100000.0,,new,0.0668315,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,133.03
Zillow group inc class c,Z,"",284325.0,13190000.0,0.3108,0.4291,72,-115675.0,-28.91875,reduction,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,34.74
Anaplan inc,PLAN,"",260000.0,13122000.0,0.3092,,73,260000.0,,new,0.2013007,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,50.47
Collier creek holdings,CCH,"",1300000.0,13000000.0,0.3063,0.3999,74,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,06/30/2019,9.65
Steel dynamics  inc.,STLD,"",430000.0,12986000.0,0.306,0.1362,75,305000.0,244.0,addition,0.1958016,Q4 2018,MATERIALS,13F,06/30/2019,30.4391
Salesforce.com inc.,CRM,"",85000.0,12897000.0,0.3039,0.7336,76,-65000.0,-43.333333,reduction,0.0109536,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,158.37
Marvell technology group ltd,MRVL,"",540000.0,12890000.0,0.3037,,77,540000.0,,new,0.0816512,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,23.87
Vaneck vect gold miners etf,GDX,"",495000.0,12652000.0,0.2981,0.6301,78,-415000.0,-45.604396,reduction,No Data,Q1 2018,MATERIALS,13F,06/30/2019,20.9368
Nebula acquisition corp,NEBU,"",1240000.0,12512000.0,0.2948,0.3826,79,0.0,0.0,,3.6067481,Q1 2018,FINANCE,13F,06/30/2019,9.65
American express co,AXP,"",100000.0,12344000.0,0.2908,,80,100000.0,,new,0.0120530,Q2 2019,FINANCE,13F,06/30/2019,123.44
Smartsheet inc,SMAR,"",255000.0,12342000.0,0.2908,0.3779,81,-45000.0,-15.0,reduction,0.2393018,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,40.79
Nxp semiconductors n.v.,NXPI,"",125000.0,12201000.0,0.2875,,82,125000.0,,new,0.0380286,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,97.61
United technologies corp. (united aircraft corp.),UTX,"",92500.0,12044000.0,0.2838,0.4179,83,-12500.0,-11.904762,reduction,0.0107194,Q4 2015,INDUSTRIALS,13F,06/30/2019,109.8311
United rentals  inc.,URI,"",90000.0,11937000.0,0.2812,,84,90000.0,,new,0.1166407,Q2 2019,INDUSTRIALS,13F,06/30/2019,132.63
Spotify technology sa,SPOT,"",80000.0,11698000.0,0.2756,0.793,85,-105000.0,-56.756757,reduction,0.0442331,Q2 2018,COMMUNICATIONS,13F,06/30/2019,145.5119
Atlantica yield plc,AY,"",500000.0,11335000.0,0.2671,0.3606,86,-100000.0,-16.666667,reduction,0.4989024,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,20.498
Svb financial group,SIVB,"",50000.0,11230000.0,0.2646,1.3047,87,-140000.0,-73.684211,reduction,0.0970120,Q3 2015,FINANCE,13F,06/30/2019,222.36
Mosaic acquisition corp class a,MOSC,"",1100000.0,11220000.0,0.2644,0.3424,88,0.0,0.0,,2.5504289,Q4 2017,FINANCE,13F,06/30/2019,9.7
Dominos pizza inc,DPZ,"",40000.0,11131000.0,0.2623,0.4384,89,-15000.0,-27.272727,reduction,0.0970167,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,258.1
Gores metropoulos inc,GMHI,"",1100000.0,11077000.0,0.261,0.3332,90,0.0,0.0,,2.2000000,Q1 2019,FINANCE,13F,06/30/2019,9.75
Vaneck vect semiconductor etf,SMH,CALL,100000.0,11018000.0,0.2596,,91,100000.0,,new,No Data,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Alphabet inc. class a,GOOGL,"",10154.0,10995000.0,0.2591,0.5452,92,-4846.0,-32.306667,reduction,0.0014644,Q1 2013,COMMUNICATIONS,13F,06/30/2019,1146.7556
Dollar tree inc.,DLTR,"",100000.0,10739000.0,0.253,0.4866,93,-50000.0,-33.333333,reduction,0.0420911,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,105.04
Ingersoll-rand co. ltd.,IR,"",80000.0,10134000.0,0.2388,0.25,94,5000.0,6.666667,addition,0.0331153,Q1 2019,INDUSTRIALS,13F,06/30/2019,109.12
Dfb healthcare acquisitions corp,DFBH,"",1000000.0,10130000.0,0.2387,0.3085,95,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,06/30/2019,9.62
Agnico-eagle mines  ltd,AEM,"",197522.0,10121000.0,0.2385,,96,197522.0,,new,0.0824968,Q2 2019,MATERIALS,13F,06/30/2019,51.24
Companhia vale de rio doce s.a. adr,VALE,"",750000.0,10080000.0,0.2375,,97,750000.0,,new,0.0145535,Q2 2019,MATERIALS,13F,06/30/2019,13.44
