Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Schwab emerging markets equity etf,SCHE,"",1179698.0,29646000.0,10.732,11.5009,1,18136.0,1.561346,addition,No Data,Q4 2016,FINANCE,13F,09/30/2019,27.1425
Schwab u.s. small-cap etf,SCHA,"",392411.0,27363000.0,9.9056,10.3874,2,7300.0,1.895557,addition,No Data,Q3 2016,FINANCE,13F,09/30/2019,64.4096
Ishares commodities select strategy etf,COMT,"",317660.0,10019000.0,3.6269,3.7213,3,16074.0,5.329823,addition,No Data,Q2 2018,FINANCE,13F,09/30/2019,33.2411
Schwab u.s. large-cap etf,SCHX,"",121843.0,8642000.0,3.1285,3.2119,4,575.0,0.474156,addition,No Data,Q2 2018,FINANCE,13F,09/30/2019,67.4505
Schwab u.s. large-cap growth etf,SCHG,"",88809.0,7461000.0,2.7009,2.7987,5,-329.0,-0.369091,reduction,No Data,Q2 2017,FINANCE,13F,09/30/2019,64.1741
Kkr & co. l.p.,KKR,"",225563.0,6056000.0,2.1923,2.1048,6,4841.0,2.193257,addition,No Data,Q2 2019,FINANCE,13F,09/30/2019,25.3039
Apple inc,AAPL,"",24433.0,5472000.0,1.9809,1.7709,7,719.0,3.031964,addition,0.0005407,Q1 2010,INFORMATION TECHNOLOGY,13F,09/30/2019,96.0073
Blackstone group inc,BX,"",108556.0,5302000.0,1.9194,,8,108556.0,,new,0.0164128,Q3 2019,FINANCE,13F,09/30/2019,48.84
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",28452.0,4814000.0,1.7427,1.8139,9,919.0,3.337813,addition,0.0039544,Q1 2014,INDUSTRIALS,13F,09/30/2019,103.8579
Jpmorgan chase & co. (chemical bank),JPM,"",39740.0,4677000.0,1.6931,1.6535,10,544.0,1.387897,addition,0.0012428,Q4 2009,FINANCE,13F,09/30/2019,49.783
Amazon.com inc.,AMZN,"",2516.0,4368000.0,1.5812,1.7569,11,57.0,2.318015,addition,0.0005086,Q4 2011,CONSUMER DISCRETIONARY,13F,09/30/2019,308.5708
Microsoft corp.,MSFT,"",27446.0,3816000.0,1.3814,1.3762,12,223.0,0.81916,addition,0.0003595,Q3 2015,INFORMATION TECHNOLOGY,13F,09/30/2019,46.2704
Vulcan materials company,VMC,"",23673.0,3580000.0,1.296,1.2403,13,-265.0,-1.107026,reduction,0.0178948,Q4 2018,MATERIALS,13F,09/30/2019,99.6176
Starbucks corp.,SBUX,"",39958.0,3533000.0,1.279,1.2837,14,-624.0,-1.537628,reduction,0.0033382,Q4 2011,CONSUMER DISCRETIONARY,13F,09/30/2019,27.0731
Alphabet inc. class a,GOOGL,"",2879.0,3516000.0,1.2728,1.1667,15,23.0,0.805322,addition,0.0004152,Q3 2012,COMMUNICATIONS,13F,09/30/2019,720.4402
Exxonmobil corp. (standard oil of new jersey),XOM,"",49197.0,3474000.0,1.2576,1.4135,16,309.0,0.632057,addition,0.0011627,Q4 2009,ENERGY,13F,09/30/2019,84.0102
Lockheed martin corp.,LMT,"",8538.0,3330000.0,1.2055,1.1539,17,125.0,1.485796,addition,0.0030234,Q4 2015,INDUSTRIALS,13F,09/30/2019,228.4907
Walmart inc,WMT,"",27594.0,3275000.0,1.1856,1.1482,18,52.0,0.188803,addition,0.0009666,Q2 2017,CONSUMER STAPLES,13F,09/30/2019,78.1114
Williams-sonoma inc.,WSM,"",47686.0,3242000.0,1.1736,1.1456,19,974.0,2.085117,addition,0.0606692,Q3 2013,CONSUMER DISCRETIONARY,13F,09/30/2019,57.1268
