Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Viasat inc.,VSAT,"",2490995.0,201323000.0,17.0916,19.1822,1,-564886.0,-18.485209,reduction,4.0636134,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,64.9936
Macro bank inc adr,BMA,"",1954593.0,142392000.0,12.0886,7.579,2,-90281.0,-4.414991,reduction,2.9186098,Q2 2016,FINANCE,13F,06/30/2019,47.0807
Barrick gold corp,GOLD,"",7514886.0,118510000.0,10.0611,8.4715,3,-112818.0,-1.479056,reduction,0.4227356,Q1 2019,MATERIALS,13F,06/30/2019,13.71
Valaris plc (ensco international),VAL,"",9829031.0,83842000.0,7.1179,0.1349,4,9405368.0,2220.01166,addition,4.9757168,Q2 2018,ENERGY,13F,06/30/2019,8.5154
The stars group,TSG,"",4268901.0,72870000.0,6.1864,8.7111,5,-1873335.0,-30.499235,reduction,9.0228716,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,17.352
Colony capital inc,CLNY,"",6678418.0,33392000.0,2.8349,3.368,6,-1137930.0,-14.558333,reduction,1.2356457,Q2 2018,REAL ESTATE,13F,06/30/2019,5.4181
Plug power inc.,PLUG,"",14603252.0,32857000.0,2.7894,2.9361,7,-501087.0,-3.317504,reduction,5.7958612,Q1 2018,INDUSTRIALS,13F,06/30/2019,2.21
Comcast corp.  class a,CMCSA,"",753623.0,31863000.0,2.7051,3.0149,8,-177419.0,-19.055961,reduction,0.0165814,Q1 2016,COMMUNICATIONS,13F,06/30/2019,36.3539
Frontline ltd. (bermuda) sponsored adr,FRO,"",3785565.0,30285000.0,2.5711,1.7189,9,500404.0,15.232252,addition,1.9807268,Q3 2017,ENERGY,13F,06/30/2019,5.8387
Liberty media corp series a,FWONA,"",795518.0,28527000.0,2.4218,2.6462,10,-164258.0,-17.114202,reduction,0.3441566,Q3 2016,COMMUNICATIONS,13F,06/30/2019,29.1393
Kinross gold corp. adr,KGC,"",7230932.0,28056000.0,2.3819,1.9975,11,61727.0,0.861002,addition,0.5769054,Q2 2016,MATERIALS,13F,06/30/2019,4.1855
Sony corp. sponsored adr,SNE,"",523181.0,27409000.0,2.3269,,12,523181.0,,new,0.0414194,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,52.39
Grupo financiero galicia s.a. adr,GGAL,"",733119.0,26026000.0,2.2095,1.5302,13,-7172.0,-0.968808,reduction,0.5138204,Q2 2016,FINANCE,13F,06/30/2019,29.0
Seadrill ltd,SDRL,"",6052476.0,25178000.0,2.1375,3.1625,14,1354406.0,28.828987,addition,1.1998406,Q3 2018,ENERGY,13F,06/30/2019,11.5175
Delta air lines inc.,DAL,"",441658.0,25064000.0,2.1278,1.748,15,23828.0,5.702798,addition,0.0679265,Q4 2018,TRANSPORTS,13F,06/30/2019,50.2696
Microsoft corp.,MSFT,"",170057.0,22781000.0,1.934,0.2193,16,147107.0,640.989107,addition,0.0022272,Q1 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,127.0342
Mercadolibre inc,MELI,"",36054.0,22057000.0,1.8726,0.5264,17,23254.0,181.671875,addition,0.0725287,Q1 2019,COMMUNICATIONS,13F,06/30/2019,574.8334
Bmc stock holdings inc,BMCH,"",970322.0,20571000.0,1.7464,1.3741,18,10215.0,1.063944,addition,1.4545376,Q4 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,19.1052
Avon products inc,AVP,"",5098159.0,19781000.0,1.6793,1.0387,19,736192.0,16.877523,addition,1.1499693,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,3.0757
