Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Abbvie inc,ABBV,"",1205251.0,87646000.0,5.1805,,1,1205251.0,,new,0.0815196,Q2 2019,HEALTH CARE,13F,06/30/2019,72.72
Mettler-toledo international  inc.,MTD,"",44300.0,37212000.0,2.1995,1.9168,2,-2600.0,-5.54371,reduction,0.1800081,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,616.4741
Bristol-myers squibb co,BMY,"",645934.0,29293000.0,1.7314,1.7422,3,-60.0,-0.009288,reduction,0.0394881,Q1 2019,HEALTH CARE,13F,06/30/2019,47.71
Humana  inc.,HUM,"",110113.0,29213000.0,1.7267,1.6556,4,12.0,0.010899,addition,0.0815108,Q3 2017,HEALTH CARE,13F,06/30/2019,244.4881
Eog resources inc,EOG,"",285700.0,26616000.0,1.5732,1.214,5,60073.0,26.624916,addition,0.0492026,Q2 2014,ENERGY,13F,06/30/2019,93.4979
Autodesk  inc.,ADSK,"",159702.0,26015000.0,1.5377,1.4068,6,-17.0,-0.010644,reduction,0.0727174,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,101.6649
Biomarin pharmaceutical inc,BMRN,"",298500.0,25567000.0,1.5112,1.3784,7,23995.0,8.741189,addition,0.1663323,Q2 2017,HEALTH CARE,13F,06/30/2019,89.9988
Atlassian corp plc,TEAM,"",193113.0,25267000.0,1.4935,1.3704,8,-22595.0,-10.474809,reduction,0.1633920,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5361
Dexcom inc,DXCM,"",153700.0,23030000.0,1.3612,0.9217,9,16800.0,12.271731,addition,0.1685492,Q4 2017,HEALTH CARE,13F,06/30/2019,67.4951
Ebay inc.,EBAY,"",578400.0,22847000.0,1.3504,1.2145,10,-47.0,-0.008125,reduction,0.0689589,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,32.7858
Cognex corp,CGNX,"",474214.0,22753000.0,1.3449,,11,474214.0,,new,0.2778706,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,47.98
Zendesk inc,ZEN,"",252594.0,22488000.0,1.3292,1.2138,12,-27.0,-0.010688,reduction,0.2276032,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,31.0463
Herbalife nutrition ltd,HLF,"",492621.0,21064000.0,1.245,1.1779,13,99381.0,25.272353,addition,0.3256998,Q4 2015,HEALTH CARE,13F,06/30/2019,33.9878
Charles river laboratories international inc,CRL,"",120100.0,17042000.0,1.0073,0.8679,14,14400.0,13.623463,addition,0.2460561,Q1 2016,HEALTH CARE,13F,06/30/2019,98.3827
Zoetis  inc.,ZTS,"",135140.0,15337000.0,0.9065,0.769,15,9.0,0.00666,addition,0.0282980,Q1 2014,HEALTH CARE,13F,06/30/2019,60.1858
Autozone inc.,AZO,"",13008.0,14302000.0,0.8453,0.7526,16,8.0,0.061538,addition,0.0530289,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,775.9184
Teledyne technologies  inc.,TDY,"",49400.0,13529000.0,0.7997,0.6029,17,4400.0,9.777778,addition,0.1357889,Q1 2018,INDUSTRIALS,13F,06/30/2019,194.8947
Roku inc,ROKU,"",147000.0,13315000.0,0.787,0.6474,18,-30535.0,-17.199425,reduction,0.1264734,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,67.7557
Trimble navigation ltd.,TRMB,"",277343.0,12511000.0,0.7395,0.6335,19,-48.0,-0.017304,reduction,0.1101485,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,37.1129
Ollies bargain outlet holdings inc,OLLI,"",143400.0,12492000.0,0.7384,0.5817,20,22800.0,18.905473,addition,0.2258979,Q4 2017,CONSUMER STAPLES,13F,06/30/2019,60.6786
Mylan nv,MYL,"",628500.0,11967000.0,0.7073,0.7098,21,185407.0,41.843812,addition,0.1218330,Q2 2016,HEALTH CARE,13F,06/30/2019,33.0085
Teradyne inc,TER,"",248024.0,11883000.0,0.7024,0.5528,22,2561.0,1.043334,addition,0.1459394,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,39.9233
Mastercard inc,MA,"",44200.0,11692000.0,0.6911,0.9436,23,-26700.0,-37.658674,reduction,0.0043566,Q1 2013,FINANCE,13F,06/30/2019,139.685
Cme group inc,CME,"",60000.0,11647000.0,0.6884,0.5582,24,0.0,0.0,,0.0167556,Q1 2013,FINANCE,13F,06/30/2019,72.1435
Global payments inc.,GPN,"",72000.0,11529000.0,0.6814,0.5558,25,-20.0,-0.02777,reduction,0.0459535,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,122.515
Workday inc,WDAY,"",55207.0,11349000.0,0.6708,0.6017,26,7.0,0.012681,addition,0.0244279,Q3 2016,COMMUNICATIONS,13F,06/30/2019,93.8154
Illumina inc,ILMN,"",30000.0,11045000.0,0.6528,0.527,27,-3.0,-0.009999,reduction,0.0204082,Q1 2019,HEALTH CARE,13F,06/30/2019,310.69
Iqvia holdings inc,IQV,"",68008.0,10942000.0,0.6467,0.5531,28,-6.0,-0.008822,reduction,0.0347157,Q1 2019,HEALTH CARE,13F,06/30/2019,143.85
Ferrari n.v.,RACE,"",66347.0,10776000.0,0.6369,0.4769,29,3465.0,5.510321,addition,0.0351135,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,133.1938
Hubspot inc,HUBS,"",62578.0,10671000.0,0.6307,0.588,30,0.0,0.0,,0.1472424,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,72.1734
Pepsico inc. (loft  inc.),PEP,"",81000.0,10622000.0,0.6278,0.5613,31,-21.0,-0.025919,reduction,0.0058088,Q3 2018,CONSUMER STAPLES,13F,06/30/2019,111.7996
Ciena corp,CIEN,"",258110.0,10616000.0,0.6275,0.5448,32,10.0,0.003874,addition,0.1664259,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,31.2404
Monster beverage corp.,MNST,"",165900.0,10589000.0,0.6259,0.512,33,-46.0,-0.02772,reduction,0.0304471,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,54.58
Zscaler inc,ZS,"",138054.0,10580000.0,0.6253,0.5643,34,-2691.0,-1.911968,reduction,0.1098631,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,70.93
Phillips 66,PSX,"",112400.0,10514000.0,0.6214,0.4707,35,24900.0,28.457143,addition,0.0250591,Q1 2018,ENERGY,13F,06/30/2019,104.2863
Alexion pharmaceuticals inc.,ALXN,"",79500.0,10413000.0,0.6155,0.6075,36,0.0,0.0,,0.0354547,Q3 2018,HEALTH CARE,13F,06/30/2019,138.9969
