Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",143683.0,19248000.0,4.4954,4.1873,1,-17008.0,-10.584289,reduction,0.0018818,Q4 2006,INFORMATION TECHNOLOGY,13F,06/30/2019,28.8654
Apple inc,AAPL,"",81725.0,16175000.0,3.7777,3.507,2,-1841.0,-2.203049,reduction,0.0018084,Q2 2009,INFORMATION TECHNOLOGY,13F,06/30/2019,99.6231
Berkshire hathaway inc class b,BRK.B,"",61117.0,13028000.0,3.0427,2.8241,3,-2510.0,-3.944866,reduction,0.0024935,Q1 2010,FINANCE,13F,06/30/2019,116.8409
Alphabet inc. class c,GOOG,"",9958.0,10764000.0,2.5139,2.6186,4,-143.0,-1.415701,reduction,0.0014361,Q2 2014,COMMUNICATIONS,13F,06/30/2019,673.187
Johnson & johnson co.,JNJ,"",76280.0,10624000.0,2.4812,2.4926,5,-4427.0,-5.485274,reduction,0.0028903,Q4 2006,HEALTH CARE,13F,06/30/2019,68.6116
Walt disney co. (the),DIS,"",73100.0,10208000.0,2.3841,1.8603,6,-2731.0,-3.601429,reduction,0.0040580,Q4 2006,COMMUNICATIONS,13F,06/30/2019,69.6439
Mcdonalds corp.,MCD,"",48333.0,10037000.0,2.3441,2.0638,7,-854.0,-1.736231,reduction,0.0063643,Q4 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,96.7259
Procter & gamble co. (oh) (1905),PG,"",85795.0,9407000.0,2.197,2.0119,8,-1724.0,-1.969858,reduction,0.0034282,Q4 2006,CONSUMER STAPLES,13F,06/30/2019,67.3062
Sysco corp.,SYY,"",125439.0,8871000.0,2.0718,1.8738,9,-1598.0,-1.257901,reduction,0.0244993,Q1 2009,CONSUMER STAPLES,13F,06/30/2019,30.7149
Bank of america corp. (north carolina national bank),BAC,"",272402.0,7900000.0,1.845,1.6628,10,-386.0,-0.141502,reduction,0.0029264,Q3 2014,FINANCE,13F,06/30/2019,18.3442
Walmart inc,WMT,"",66374.0,7334000.0,1.7129,1.4472,11,-782.0,-1.164453,reduction,0.0023251,Q4 2006,CONSUMER STAPLES,13F,06/30/2019,55.5907
Jpmorgan chase & co. (chemical bank),JPM,"",65105.0,7279000.0,1.7,1.7145,12,-11548.0,-15.065294,reduction,0.0020361,Q4 2006,FINANCE,13F,06/30/2019,56.8974
Madison square garden company,MSG,"",25973.0,7271000.0,1.6981,1.6829,13,-11.0,-0.042334,reduction,0.1093140,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,211.3147
Liberty braves group series c,BATRK,"",257009.0,7189000.0,1.679,1.5643,14,2063.0,0.809191,addition,0.6460759,Q3 2016,COMMUNICATIONS,13F,06/30/2019,23.6075
Home depot  inc. (the),HD,"",32584.0,6777000.0,1.5828,1.5287,15,-3474.0,-9.634478,reduction,0.0029614,Q4 2006,CONSUMER DISCRETIONARY,13F,06/30/2019,47.0398
Pepsico inc. (loft  inc.),PEP,"",47986.0,6292000.0,1.4695,1.3599,16,-2235.0,-4.45033,reduction,0.0034412,Q4 2011,CONSUMER STAPLES,13F,06/30/2019,80.3679
Citigroup  inc.,C,"",87790.0,6148000.0,1.4359,1.2388,17,-2321.0,-2.575712,reduction,0.0038861,Q2 2013,FINANCE,13F,06/30/2019,58.4482
Cisco systems  inc.,CSCO,"",108720.0,5950000.0,1.3896,1.4947,18,-16578.0,-13.230858,reduction,0.0025398,Q4 2006,INFORMATION TECHNOLOGY,13F,06/30/2019,20.9489
Intel corp.,INTC,"",118735.0,5684000.0,1.3275,1.4416,19,-2771.0,-2.280546,reduction,0.0026802,Q4 2006,INFORMATION TECHNOLOGY,13F,06/30/2019,23.136
Coca cola co.,KO,"",107002.0,5449000.0,1.2726,1.1069,20,97.0,0.090735,addition,0.0025024,Q4 2006,CONSUMER STAPLES,13F,06/30/2019,31.9632
Constellation brands  inc.,STZ,"",26863.0,5290000.0,1.2355,0.618,21,10908.0,68.367283,addition,0.0140226,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,184.105
Amazon.com inc.,AMZN,"",2762.0,5230000.0,1.2215,0.8798,22,526.0,23.52415,addition,0.0005584,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,1498.2243
Monster beverage corp.,MNST,"",74966.0,4785000.0,1.1175,0.8919,23,1010.0,1.365677,addition,0.0137583,Q3 2014,CONSUMER STAPLES,13F,06/30/2019,45.9688
Conns inc,CONN,"",257795.0,4594000.0,1.0729,1.5271,24,-44565.0,-14.739053,reduction,0.8076284,Q4 2006,CONSUMER DISCRETIONARY,13F,06/30/2019,15.4294
