Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr gold trust,GLD,"",4320022.0,575427000.0,9.64999,11.0635,1,0.0,0.0,,No Data,Q1 2009,MATERIALS,13F,06/30/2019,103.7349
Bausch health companies,BHC,"",20839035.0,525560000.0,8.81371,10.804,2,0.0,0.0,,5.9659419,Q1 2014,HEALTH CARE,13F,06/30/2019,113.6168
Allergan plc,AGN,"",2249500.0,376634000.0,6.3162,4.7618,3,700000.0,45.175863,addition,0.6857604,Q1 2014,HEALTH CARE,13F,06/30/2019,249.2658
Discovery inc series c,DISCK,"",10922500.0,310745000.0,5.21124,5.8279,4,0.0,0.0,,2.0316394,Q4 2017,COMMUNICATIONS,13F,06/30/2019,24.322
Celgene corp.,CELG,"",3350000.0,309674000.0,5.19328,6.5346,5,50000.0,1.515152,addition,0.4726698,Q1 2019,HEALTH CARE,13F,06/30/2019,94.3116
Anadarko petroleum corp.,APC,"",4320000.0,304819000.0,5.11186,,6,4320000.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,226.37
Takeda pharmaceutical co ltd,TAK,"",13244711.0,234431000.0,3.93144,5.663,7,0.0,0.0,,0.4248995,Q1 2019,HEALTH CARE,13F,06/30/2019,20.37
Brightsphere investment group plc,BSIG,"",20000552.0,228206000.0,3.82705,5.6926,8,0.0,0.0,,No Data,Q3 2018,FINANCE,13F,06/30/2019,12.8623
Anglogold ashanti ltd ads,AU,"",12782400.0,227655000.0,3.81781,3.5147,9,0.0,0.0,,3.3171744,Q1 2009,MATERIALS,13F,06/30/2019,34.0724
Mylan nv,MYL,"",11005400.0,209543000.0,3.51407,6.5466,10,0.0,0.0,,2.1333669,Q1 2010,HEALTH CARE,13F,06/30/2019,39.8958
Sothebys holdings inc.,BID,"",3367800.0,195770000.0,3.28309,,11,3367800.0,,new,7.2254881,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,58.13
Dish network corp  class a,DISH,"",4973500.0,191032000.0,3.20363,3.3082,12,0.0,0.0,,1.0582816,Q1 2017,COMMUNICATIONS,13F,06/30/2019,58.1895
Wellcare health plans inc,WCG,"",587700.0,167536000.0,2.8096,1.783,13,272800.0,86.630676,addition,1.1681574,Q1 2019,HEALTH CARE,13F,06/30/2019,276.8613
Vaneck vect gold miners etf,GDX,PUT,6500000.0,166140000.0,2.78619,0.1412,14,6200000.0,2066.666667,addition,No Data,Q3 2018,MATERIALS,13F,06/30/2019,
Lyft inc,LYFT,"",2477570.0,162801000.0,2.7302,3.6781,15,0.0,0.0,,0.8461068,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,78.29
Horizon therapeutics plc,HZNP,"",6670700.0,160497000.0,2.69156,3.7007,16,0.0,0.0,,3.5777420,Q2 2017,HEALTH CARE,13F,06/30/2019,12.7311
Array biopharma inc,ARRY,"",3275700.0,151763000.0,2.54509,,17,3275700.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,46.33
T-mobile us inc,TMUS,"",1955600.0,144988000.0,2.43147,2.8364,18,0.0,0.0,,0.2288697,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,63.2421
Altaba inc. (yahoo),AABA,"",1900163.0,131814000.0,2.21054,3.7067,19,-482400.0,-20.247104,reduction,0.3657606,Q2 2017,FINANCE,13F,06/30/2019,60.7305
Novagold resources inc,NG,"",21992896.0,129978000.0,2.17975,1.925,20,0.0,0.0,,6.7392584,Q1 2010,MATERIALS,13F,06/30/2019,7.0433
Tesla inc,TSLA,PUT,536500.0,119886000.0,2.0105,,21,536500.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Callon petroleum co. (1994),CPE,"",21593524.0,80111974.04,1.34349,,22,0.0,0.0,,9.4583986,,ENERGY,13D,10/22/2019,
Spark therapeutics inc,ONCE,"",757807.0,77584000.0,1.30109,,23,757807.0,,new,1.9688413,Q2 2019,HEALTH CARE,13F,06/30/2019,102.38
Tim participacoes s.a. adr,TSU,"",5000000.0,74850000.0,1.25524,1.5826,24,0.0,0.0,,1.0326098,Q2 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,23.4356
Pg&e corp. (pacific gas & electric),PCG,"",3000810.0,68779000.0,1.15343,,25,3000810.0,,new,0.5670251,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,22.92
