Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Facebook inc,FB,"",2204516.0,425472000.0,9.9995,8.5429,1,29168.0,1.340843,addition,0.0772715,Q2 2015,COMMUNICATIONS,13F,06/30/2019,171.7043
Intel corp.,INTC,"",5518881.0,264189000.0,6.209,5.5583,2,1125470.0,25.617225,addition,0.1245797,Q2 2013,INFORMATION TECHNOLOGY,13F,06/30/2019,45.6609
Technipfmc plc ordinary share,FTI,"",9070608.0,235292000.0,5.5299,4.5712,3,821127.0,9.953681,addition,2.0244182,Q1 2017,ENERGY,13F,06/30/2019,30.4003
Alphabet inc. class a,GOOGL,"",200061.0,216626000.0,5.0912,5.5721,4,-901.0,-0.448343,reduction,0.0288522,Q4 2015,COMMUNICATIONS,13F,06/30/2019,880.8766
Alibaba group holding ltd adr,BABA,"",1232370.0,208825000.0,4.9078,5.1523,5,33728.0,2.813851,addition,0.0484346,Q2 2016,COMMUNICATIONS,13F,06/30/2019,141.4902
Skyworks solutions  inc.,SWKS,"",2553417.0,197303000.0,4.637,3.7472,6,625029.0,32.411994,addition,1.4871386,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,75.4148
Booking holdings inc. (priceline),BKNG,"",103658.0,194329000.0,4.5671,3.0956,7,28356.0,37.65637,addition,0.2112882,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1780.4172
Micron technology  inc.,MU,"",5021110.0,193765000.0,4.5539,2.4951,8,2458645.0,95.948432,addition,0.4548931,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,39.9072
Zto express cayman inc adr,ZTO,"",10041186.0,191987000.0,4.5121,4.3244,9,0.0,0.0,,1.9796510,Q4 2017,INDUSTRIALS,13F,06/30/2019,16.7192
Microchip technology inc,MCHP,"",2062349.0,178806000.0,4.2023,3.4527,10,295823.0,16.746031,addition,0.8663876,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,82.6231
Golden ocean group limited,GOGL,"",3350000.0,165356000.0,3.8862,2.6667,11,600000.0,21.818182,addition,2.3340068,Q2 2018,ENERGY,13F,06/30/2019,7.4625
Gilead sciences inc.,GILD,"",2015993.0,136200000.0,3.201,3.0924,12,-3037.0,-0.150419,reduction,0.1591833,Q4 2015,HEALTH CARE,13F,06/30/2019,77.1914
Weibo corp adr,WB,"",3096729.0,134863000.0,3.1696,4.0432,13,328248.0,11.85661,addition,1.3760794,Q2 2017,COMMUNICATIONS,13F,06/30/2019,64.6038
Alphabet inc. class c,GOOG,"",112813.0,121941000.0,2.8659,4.1369,14,-36845.0,-24.619466,reduction,0.0162695,Q4 2015,COMMUNICATIONS,13F,06/30/2019,761.2885
Ally financial inc,ALLY,"",3779719.0,117133000.0,2.7529,2.47,15,-34099.0,-0.894091,reduction,0.9681161,Q3 2017,FINANCE,13F,06/30/2019,27.475
Transocean ltd,RIG,"",18203700.0,116686000.0,2.7424,3.7355,16,0.0,0.0,,2.9754331,Q1 2018,ENERGY,13F,06/30/2019,11.4971
Cf industries holdings inc,CF,"",2494161.0,116502000.0,2.738,2.5733,17,-177672.0,-6.649817,reduction,1.1423813,Q4 2017,MATERIALS,13F,06/30/2019,41.1035
Autohome inc adr,ATHM,"",1333635.0,114186000.0,2.6836,2.4186,18,357060.0,36.562476,addition,1.1296248,Q1 2019,COMMUNICATIONS,13F,06/30/2019,99.8992
General electric co,GE,"",10213829.0,107245000.0,2.5205,2.4039,19,0.0,0.0,,0.1170362,Q4 2018,INDUSTRIALS,13F,06/30/2019,7.2788
Momo inc adr,MOMO,"",2676938.0,95834000.0,2.2523,2.2887,20,136472.0,5.371928,addition,1.2892829,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,38.736
Owens corning inc,OC,"",1579148.0,91906000.0,2.16,,21,1579148.0,,new,1.4515562,Q2 2019,INDUSTRIALS,13F,06/30/2019,58.2
Melco resorts & entertainment limited ad adr,MLCO,"",3668215.0,79674000.0,1.8725,2.2695,22,-596047.0,-13.977729,reduction,0.7420579,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,22.2175
58.com inc adr,WUBA,"",1174879.0,73042000.0,1.7166,3.0665,23,-806829.0,-40.713819,reduction,0.7902065,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,52.0362
Peabody energy corp,BTU,"",2434111.0,58662000.0,1.3787,1.6246,24,0.0,0.0,,No Data,Q3 2017,ENERGY,13F,06/30/2019,32.2269
American eagle outfitters inc,AEO,"",2434299.0,41140000.0,0.9669,1.2429,25,54650.0,2.296557,addition,1.4134822,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,21.7664
Yum china holdings inc,YUMC,"",824389.0,38087000.0,0.8951,,26,824389.0,,new,0.2187695,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.2
