Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Salesforce.com inc.,CRM,"",2420580.0,367275000.0,7.6983,3.9962,1,1142199.0,89.347307,addition,0.3119304,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,155.0392
Adobe systems  inc.,ADBE,"",1162070.0,342404000.0,7.177,7.3058,2,-226839.0,-16.332172,reduction,0.2393849,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,248.3244
Netflix inc,NFLX,"",879402.0,323022000.0,6.7707,5.299,3,126482.0,16.798863,addition,0.2008501,Q1 2018,COMMUNICATIONS,13F,06/30/2019,370.385
Boeing company,BA,"",607004.0,220956000.0,4.6314,3.0206,4,205794.0,51.293338,addition,0.1078716,Q2 2017,INDUSTRIALS,13F,06/30/2019,340.0475
Invesco qqq trust series 1,QQQ,PUT,1084000.0,202426000.0,4.243,4.3154,5,-132900.0,-10.921193,reduction,No Data,Q1 2017,FINANCE,13F,06/30/2019,
Amazon.com inc.,AMZN,"",98453.0,186434000.0,3.9078,1.0912,6,67409.0,217.140188,addition,0.0199032,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,1765.7449
Humana  inc.,HUM,"",680387.0,180507000.0,3.7835,,7,680387.0,,new,0.5036546,Q4 2017,HEALTH CARE,13F,06/30/2019,265.3
Alibaba group holding ltd adr,BABA,"",1049936.0,177912000.0,3.7291,2.4079,8,381306.0,57.027953,addition,0.0412646,Q3 2016,COMMUNICATIONS,13F,06/30/2019,177.6898
Pampa energia s.a.,PAM,"",5052313.0,175164000.0,3.6715,2.7494,9,0.0,0.0,,6.6486551,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,22.2121
Pg&e corp. (pacific gas & electric),PCG,"",5767048.0,132181000.0,2.7706,0.3316,10,4823148.0,510.980824,addition,1.0897260,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,23.5397
Nxp semiconductors n.v.,NXPI,"",1332300.0,130046000.0,2.7258,,11,1332300.0,,new,0.4053240,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,97.61
Fiserv inc.,FISV,"",1311661.0,119571000.0,2.5063,1.7171,12,326236.0,33.106122,addition,0.3337815,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,88.9963
Union pacific corp.,UNP,"",654162.0,110625000.0,2.3188,1.6244,13,161954.0,32.903569,addition,0.0928508,Q4 2017,TRANSPORTS,13F,06/30/2019,167.3776
Servicenow inc,NOW,"",390951.0,107343000.0,2.25,0.8947,14,207051.0,112.588907,addition,0.2085072,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,261.3614
Spdr s&p 500 etf trust,SPY,CALL,364800.0,106886000.0,2.2404,9.3566,15,-1313300.0,-78.261129,reduction,No Data,Q4 2016,FINANCE,13F,06/30/2019,
Spdr gold trust,GLD,CALL,774500.0,103163000.0,2.1624,,16,774500.0,,new,No Data,Q1 2018,MATERIALS,13F,06/30/2019,
Centene corp,CNC,"",1886472.0,98927000.0,2.0736,0.3974,17,1507284.0,397.503086,addition,0.4560992,Q4 2018,HEALTH CARE,13F,06/30/2019,52.6443
Ishares msci emerging index fund,EEM,"",2260200.0,96985000.0,2.0329,,18,2260200.0,,new,No Data,Q1 2018,FINANCE,13F,06/30/2019,42.91
Coupa software inc,COUP,"",728652.0,92255000.0,1.9337,0.1374,19,652152.0,852.486275,addition,1.1796212,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,122.8693
Ishares iboxx $ high yield corp bond etf,HYG,PUT,1006600.0,87755000.0,1.8394,0.0853,20,956600.0,1913.2,addition,No Data,Q2 2017,FINANCE,13F,06/30/2019,
Ishares msci brazil capped etf,EWZ,"",2000700.0,87471000.0,1.8334,,21,2000700.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,43.72
Capital one financial corp,COF,"",930506.0,84434000.0,1.7698,0.2572,22,771006.0,483.389342,addition,0.1978411,Q1 2019,FINANCE,13F,06/30/2019,89.1887
Norfolk southern corp.,NSC,"",397226.0,79179000.0,1.6596,1.2646,23,54426.0,15.876896,addition,0.1508014,Q2 2018,TRANSPORTS,13F,06/30/2019,188.5945
Mercadolibre inc,MELI,"",129090.0,78973000.0,1.6553,1.5384,24,-24420.0,-15.907758,reduction,0.2596862,Q2 2018,COMMUNICATIONS,13F,06/30/2019,436.5831
Intelsat s.a.,I,"",4056382.0,78897000.0,1.6537,1.2124,25,133960.0,3.415237,addition,2.9389813,Q1 2016,COMMUNICATIONS,13F,06/30/2019,20.3936
Spdr s&p 500 etf trust,SPY,PUT,250000.0,73250000.0,1.5354,0.5576,26,150000.0,150.0,addition,No Data,Q1 2016,FINANCE,13F,06/30/2019,
Spdr gold trust,GLD,"",525000.0,69930000.0,1.4658,,27,525000.0,,new,No Data,Q2 2019,MATERIALS,13F,06/30/2019,133.2
Anthem inc,ANTM,"",212527.0,59977000.0,1.2572,2.3367,28,-199997.0,-48.4813,reduction,0.0830768,Q4 2018,HEALTH CARE,13F,06/30/2019,283.5505
Autodesk  inc.,ADSK,"",334464.0,54484000.0,1.142,2.3174,29,-419001.0,-55.609882,reduction,0.1522921,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,155.82
General motors co,GM,"",1093000.0,42113000.0,0.8827,0.6925,30,147276.0,15.572831,addition,0.0765551,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,34.1345
Mastercard inc,MA,"",156050.0,41280000.0,0.8653,1.9497,31,-263483.0,-62.80388,reduction,0.0153811,Q4 2017,FINANCE,13F,06/30/2019,228.5837
Mongodb inc,MDB,"",210000.0,31939000.0,0.6695,,32,210000.0,,new,0.3795409,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,152.09
Spotify technology sa,SPOT,"",203774.0,29796000.0,0.6245,0.8586,33,-109626.0,-34.979579,reduction,0.1126695,Q1 2019,COMMUNICATIONS,13F,06/30/2019,138.8
Marathon petroleum corp,MPC,"",521000.0,29113000.0,0.6102,0.7405,34,-105800.0,-16.879387,reduction,0.0791408,Q2 2018,ENERGY,13F,06/30/2019,70.16
Northrop grumman corp.,NOC,"",79400.0,25655000.0,0.5377,,35,79400.0,,new,0.0469267,Q4 2018,INDUSTRIALS,13F,06/30/2019,323.11
Atlassian corp plc,TEAM,"",195100.0,25527000.0,0.5351,2.3232,36,-852150.0,-81.370255,reduction,0.1650732,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,112.39
L3harris technologies inc,LHX,"",129100.0,24417000.0,0.5118,,37,129100.0,,new,0.1094439,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,189.13
Twilio inc,TWLO,"",178765.0,24375000.0,0.5109,0.1377,38,124765.0,231.046296,addition,0.1315513,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,134.1841
Okta inc,OKTA,"",190300.0,23504000.0,0.4927,,39,190300.0,,new,0.1667251,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,123.51
Smartsheet inc,SMAR,"",479499.0,23208000.0,0.4865,,40,479499.0,,new,0.4499803,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,48.4
Synopsys inc.,SNPS,"",177100.0,22791000.0,0.4777,,41,177100.0,,new,0.1181454,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,128.69
Pbf energy inc,PBF,"",667400.0,20890000.0,0.4379,,42,667400.0,,new,0.5566770,Q2 2019,ENERGY,13F,06/30/2019,31.3
Svmk inc,SVMK,"",1248900.0,20619000.0,0.4322,,43,1248900.0,,new,0.9384581,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,16.51
