Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Verisign inc.,VRSN,"",7688276.0,1608080000.0,1.4158,1.21,1,357400.0,4.87527,addition,6.4951221,Q3 2009,COMMUNICATIONS,13F,06/30/2019,84.5961
Chipotle mexican grill  inc.,CMG,"",1791499.0,1312954000.0,1.1559,0.943,2,331100.0,22.671886,addition,6.4628391,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,526.8601
Novo-nordisk a/s ads,NVO,"",22521916.0,1149519000.0,1.012,1.0151,3,1177000.0,5.514194,addition,3.8830890,Q3 2005,HEALTH CARE,13F,06/30/2019,36.6756
Palo alto networks inc,PANW,"",5074350.0,1033950000.0,0.9103,0.9901,4,590200.0,13.161915,addition,5.2868827,Q2 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,170.6339
Vertex pharmaceuticals  inc.,VRTX,"",5555817.0,1018826000.0,0.897,0.8493,5,477100.0,9.394105,addition,2.1614601,Q1 2017,HEALTH CARE,13F,06/30/2019,163.0202
Bristol-myers squibb co,BMY,"",20698607.0,938682000.0,0.8264,0.5357,6,8347432.0,67.584112,addition,1.2653739,Q2 2016,HEALTH CARE,13F,06/30/2019,49.7882
Gilead sciences inc.,GILD,"",12740248.0,860731000.0,0.7578,0.4799,7,4620000.0,56.894814,addition,1.0059732,Q1 2014,HEALTH CARE,13F,06/30/2019,69.2773
Celgene corp.,CELG,"",8935785.0,826024000.0,0.7272,0.4128,8,4122685.0,85.655503,addition,1.2607987,Q2 2016,HEALTH CARE,13F,06/30/2019,92.9357
Starbucks corp.,SBUX,"",9403002.0,788254000.0,0.694,0.7484,9,-1670984.0,-15.089273,reduction,0.7855474,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,72.4677
Humana  inc.,HUM,"",2940100.0,780009000.0,0.6867,0.7523,10,-170900.0,-5.49341,reduction,2.1764009,Q2 2015,HEALTH CARE,13F,06/30/2019,231.2828
Pepsico inc. (loft  inc.),PEP,"",5900214.0,773695000.0,0.6812,0.8009,11,-1288300.0,-17.921646,reduction,0.4231243,Q1 2012,CONSUMER STAPLES,13F,06/30/2019,110.2226
Duke energy corp.,DUK,"",8419329.0,742922000.0,0.6541,0.6673,12,263100.0,3.225755,addition,1.1555489,Q1 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,82.212
Align technology inc,ALGN,"",2537681.0,694563000.0,0.6115,0.5842,13,277681.0,12.28677,addition,3.1772643,Q2 2013,HEALTH CARE,13F,06/30/2019,161.5163
Facebook inc,FB,"",3423861.0,660805000.0,0.5818,0.5847,14,-434835.0,-11.268962,reduction,0.1200113,Q4 2015,COMMUNICATIONS,13F,06/30/2019,161.8564
Dominos pizza inc,DPZ,"",2330000.0,648392000.0,0.5709,0.6508,15,-443500.0,-15.990626,reduction,5.6512248,Q1 2011,CONSUMER DISCRETIONARY,13F,06/30/2019,140.1954
Vmware inc,VMW,"",3850311.0,643811000.0,0.5668,0.752,16,-732489.0,-15.983438,reduction,0.9409132,Q2 2008,INFORMATION TECHNOLOGY,13F,06/30/2019,107.2134
Abiomed inc,ABMD,"",2431723.0,633440000.0,0.5577,0.5351,17,370800.0,17.991939,addition,5.3585787,Q1 2015,HEALTH CARE,13F,06/30/2019,244.2832
Petroleo brasileiro sa (petrobras) adr,PBR,"",40251000.0,626708000.0,0.5518,0.5025,18,5532200.0,15.934306,addition,0.6171479,Q2 2016,ENERGY,13F,06/30/2019,11.9593
Glaxosmithkline plc adr,GSK,"",15261781.0,610776000.0,0.5377,0.5422,19,989181.0,6.930629,addition,0.6205969,Q3 2009,HEALTH CARE,13F,06/30/2019,41.1173
Johnson & johnson co.,JNJ,"",4341162.0,604637000.0,0.5323,0.2247,20,2572695.0,145.475997,addition,0.1644897,Q1 2010,HEALTH CARE,13F,06/30/2019,137.6868
Atlassian corp plc,TEAM,"",4607600.0,602858000.0,0.5308,0.3935,21,756100.0,19.631312,addition,3.8984686,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,85.9314
Biogen inc,BIIB,"",2483077.0,580717000.0,0.5113,0.3507,22,851263.0,52.166669,addition,1.3462060,Q2 2010,HEALTH CARE,13F,06/30/2019,269.453
Hershey company (the),HSY,"",4240564.0,568363000.0,0.5004,0.2767,23,1589800.0,59.975162,addition,2.0233629,Q4 2008,CONSUMER STAPLES,13F,06/30/2019,112.7298
Taiwan semiconductor manufacturing co ltd adr,TSM,"",14302152.0,560215000.0,0.4932,0.3224,24,5643870.0,65.184641,addition,0.2757796,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,38.8343
General electric co,GE,"",53270354.0,559339000.0,0.4924,0.1363,25,38260700.0,254.907275,addition,0.6104037,Q1 2019,INDUSTRIALS,13F,06/30/2019,10.3563
Progressive corp.,PGR,"",6942496.0,554914000.0,0.4886,0.4736,26,-284100.0,-3.931312,reduction,1.1874619,Q4 2015,FINANCE,13F,06/30/2019,50.636
Monster beverage corp.,MNST,"",8624004.0,550470000.0,0.4846,0.3578,27,1413700.0,19.606663,addition,1.5827345,Q1 2009,CONSUMER STAPLES,13F,06/30/2019,54.4487
Molina healthcare inc,MOH,"",3831905.0,548499000.0,0.4829,0.4769,28,136700.0,3.699389,addition,6.1192989,Q4 2004,HEALTH CARE,13F,06/30/2019,97.7797
Amgen  inc.,AMGN,"",2963238.0,546065000.0,0.4808,0.606,29,-545345.0,-15.543169,reduction,0.4941201,Q4 2007,HEALTH CARE,13F,06/30/2019,170.1824
Companhia vale de rio doce s.a. adr,VALE,"",39881949.0,536013000.0,0.4719,0.3245,30,12549400.0,45.913757,addition,0.7738959,Q1 2016,MATERIALS,13F,06/30/2019,13.1881
Walmart inc,WMT,"",4653682.0,514185000.0,0.4527,0.1452,31,3015931.0,184.150765,addition,0.1630171,Q1 2012,CONSUMER STAPLES,13F,06/30/2019,105.9051
Bp plc adr (british petroleum),BP,"",12277802.0,511984000.0,0.4508,0.4836,32,111556.0,0.91693,addition,0.3615840,Q2 2017,ENERGY,13F,06/30/2019,42.5291
Southern co.,SO,"",9159803.0,506354000.0,0.4458,0.4238,33,138800.0,1.538632,addition,0.8804963,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,45.0623
Momo inc adr,MOMO,"",13356003.0,478145000.0,0.421,0.4494,34,428200.0,3.312241,addition,6.4325979,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,34.8168
