Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Charter communications inc,CHTR,"",9716058.0,3839592000.0,20.6238,22.3967,1,-162745.0,-1.647416,reduction,4.3868783,Q2 2016,COMMUNICATIONS,13F,06/30/2019,256.7243
Alphabet inc. class c,GOOG,"",3476095.0,3757346000.0,20.1821,18.343,2,1083919.0,45.311006,addition,0.5013117,Q3 2017,COMMUNICATIONS,13F,06/30/2019,1051.9916
Canadian pacific railway ltd. (2001),CP,"",10565984.0,2470538378.88,13.2701,13.2311,3,408519.0,4.02186,addition,7.5976012,,TRANSPORTS,13G,08/23/2019,
Microsoft corp.,MSFT,"",16425574.0,2200370000.0,11.819,13.482,4,-1066000.0,-6.094363,reduction,0.2151237,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,93.3063
Canadian national railway co.,CNI,"",18992423.0,1757269000.0,9.43892,7.5256,5,6134889.0,47.714352,addition,2.6352745,Q3 2018,TRANSPORTS,13F,06/30/2019,83.2372
Moodys corp,MCO,"",6022912.0,1176335000.0,6.31852,7.128,6,0.0,0.0,,3.1833573,Q4 2012,FINANCE,13F,06/30/2019,136.2043
Anthem inc,ANTM,"",3012085.0,850041000.0,4.56588,,7,3012085.0,,new,1.1774236,Q2 2019,HEALTH CARE,13F,06/30/2019,282.21
Union pacific corp.,UNP,"",4727781.0,799515000.0,4.29448,8.3958,8,-2955796.0,-38.46901,reduction,0.6710546,Q2 2017,TRANSPORTS,13F,06/30/2019,149.4564
Alphabet inc. class a,GOOGL,"",549721.0,595238000.0,3.19724,1.505,9,354040.0,180.927121,addition,0.0792791,Q4 2017,COMMUNICATIONS,13F,06/30/2019,1071.9858
S&p global inc. (mcgraw-hill inc.),SPGI,"",1982414.0,451574000.0,2.42557,2.7278,10,0.0,0.0,,0.8048778,Q1 2017,COMMUNICATIONS,13F,06/30/2019,164.1804
Univar solutions inc,UNVR,"",15764300.0,347445000.0,1.86625,0.5238,11,12147398.0,335.850902,addition,9.3490096,Q1 2019,MATERIALS,13F,06/30/2019,22.0675
Equifax inc.,EFX,"",1634083.0,220993000.0,1.18703,1.2655,12,0.0,0.0,,1.3518225,Q1 2019,INDUSTRIALS,13F,06/30/2019,118.5
Visa inc,V,"",870100.0,151006000.0,0.811107,,13,870100.0,,new,0.0438578,Q2 2019,FINANCE,13F,06/30/2019,173.55
Fox corp,FOX,"",0.0,0.0,0.0,0.8247,14,-3516883.0,-100.0,soldall,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,35.88
Fox corp class a,FOXA,"",0.0,0.0,0.0,2.651,15,-11050164.0,-100.0,soldall,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.71
