Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Baxter international inc.,BAX,"",23000000.0,1883700000.0,21.965,25.3141,1,-5000000.0,-17.857143,reduction,4.5048574,Q2 2015,HEALTH CARE,13F,06/30/2019,33.3125
United technologies corp. (united aircraft corp.),UTX,"",6000000.0,781200000.0,9.10921,9.2866,2,-480000.0,-7.407407,reduction,0.6953136,Q1 2018,INDUSTRIALS,13F,06/30/2019,128.89
Campbell soup co.,CPB,"",17290000.0,778050000.0,9.07248,8.9032,3,-1210000.0,-6.540541,reduction,5.7413249,,CONSUMER STAPLES,13D,08/30/2019,
Danaher corp.,DHR,"",3710000.0,530233000.0,6.1828,5.446,4,0.0,0.0,,0.5171669,Q3 2015,HEALTH CARE,13F,06/30/2019,80.3066
Paypal holdings inc,PYPL,"",3500000.0,400610000.0,4.67133,4.041,5,0.0,0.0,,0.2974471,Q2 2018,COMMUNICATIONS,13F,06/30/2019,83.27
Sothebys holdings inc.,BID,"",6661604.0,387239000.0,4.51542,2.7961,6,0.0,0.0,,14.2922206,Q1 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,44.7148
Fox corp class a,FOXA,"",10500000.0,384720000.0,4.48604,3.9817,7,745000.0,7.637109,addition,No Data,Q1 2019,COMMUNICATIONS,13F,06/30/2019,36.705
Adobe systems  inc.,ADBE,"",925000.0,272551000.0,3.17809,2.6668,8,25000.0,2.777778,addition,0.1905488,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,238.8446
Worldpay inc class a,WP,"",2200000.0,269610000.0,3.1438,2.7764,9,0.0,0.0,,N/A,Q3 2017,INDUSTRIALS,13F,06/30/2019,73.1506
Visa inc,V,"",1500000.0,260325000.0,3.03553,2.605,10,0.0,0.0,,0.0756083,Q2 2018,FINANCE,13F,06/30/2019,132.45
Iqvia holdings inc,IQV,"",1600000.0,257440000.0,3.00189,2.6071,11,-30000.0,-1.840491,reduction,0.8167432,Q3 2018,HEALTH CARE,13F,06/30/2019,128.6577
Boston scientific inc.,BSX,"",5500000.0,236390000.0,2.75643,2.1337,12,500000.0,10.0,addition,0.3948398,Q1 2019,HEALTH CARE,13F,06/30/2019,38.7982
Marathon petroleum corp,MPC,"",4000000.0,223520000.0,2.60636,2.3291,13,500000.0,14.285714,addition,0.6076072,Q3 2017,ENERGY,13F,06/30/2019,59.3538
Salesforce.com inc.,CRM,"",1300000.0,197249000.0,2.30003,2.0691,14,125000.0,10.638298,addition,0.1675258,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,132.6038
Netflix inc,NFLX,"",500000.0,183660000.0,2.14157,1.5858,15,100000.0,25.0,addition,0.1141970,Q4 2017,COMMUNICATIONS,13F,06/30/2019,358.712
S&p global inc. (mcgraw-hill inc.),SPGI,"",760000.0,173120000.0,2.01867,1.7792,16,0.0,0.0,,0.3085668,Q2 2016,COMMUNICATIONS,13F,06/30/2019,128.9278
Ross stores inc. (de),ROST,"",1650000.0,163548000.0,1.90706,1.6563,17,50000.0,3.125,addition,0.4524267,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,93.2824
Far point acquisition corp,FPAC,"",15692500.0,159908000.0,1.86461,1.7361,18,0.0,0.0,,19.8488490,Q2 2018,FINANCE,13F,06/30/2019,9.75
Centene corp,CNC,"",2500000.0,131100000.0,1.5287,,19,2500000.0,,new,0.6044341,Q2 2019,HEALTH CARE,13F,06/30/2019,52.44
Burlington stores inc,BURL,"",700000.0,119105000.0,1.38883,,20,700000.0,,new,1.0546934,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,170.15
Black knight inc,BKI,"",1750000.0,105262000.0,1.22741,1.0605,21,0.0,0.0,,1.1700207,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,54.5
Chemours co (the),CC,"",4375000.0,105000000.0,1.22436,0.8264,22,2375000.0,118.75,addition,2.6761683,Q1 2019,MATERIALS,13F,06/30/2019,30.016
Microsoft corp.,MSFT,"",600000.0,80376000.0,0.937227,0.6557,23,100000.0,20.0,addition,0.0078581,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,120.61
Sony corp. sponsored adr,SNE,"",1500000.0,78585000.0,0.916343,0.7045,24,0.0,0.0,,0.1187526,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,42.24
Colfax corp,CFX,"",2000000.0,56060000.0,0.65369,0.66,25,0.0,0.0,,1.6996686,Q1 2019,INDUSTRIALS,13F,06/30/2019,29.68
Gtt communications inc,GTT,"",3065078.0,53945000.0,0.629028,,26,3065078.0,,new,5.4383925,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,17.6
Tradeweb markets inc,TW,"",1000000.0,43810000.0,0.510848,,27,1000000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,43.81
Far point acquisition corp units,FPAC.U,"",4000000.0,42680000.0,0.497672,0.4625,28,0.0,0.0,,No Data,Q2 2018,FINANCE,13F,06/30/2019,10.19
Americold realty trust,COLD,"",1280000.0,41498000.0,0.483889,,29,1280000.0,,new,0.6678493,Q2 2019,INDUSTRIALS,13F,06/30/2019,32.42
Clear channel outdoor holdings inc,CCO,"",8000000.0,37760000.0,0.440302,,30,8000000.0,,new,1.7168119,Q2 2019,COMMUNICATIONS,13F,06/30/2019,4.72
Pinterest inc,PINS,"",1355000.0,36883000.0,0.430076,,31,1355000.0,,new,0.2496729,Q2 2019,COMMUNICATIONS,13F,06/30/2019,27.22
Twilio inc,TWLO,"",150000.0,20452000.0,0.238481,,32,150000.0,,new,0.1103834,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,136.35
Kadmon holdings inc,KDMN,"",9407745.0,19380000.0,0.225981,0.2761,33,0.0,0.0,,7.2568227,Q3 2016,HEALTH CARE,13F,06/30/2019,6.7516
Zoom video communications inc,ZM,"",200500.0,17802000.0,0.207581,,34,200500.0,,new,0.0735915,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,88.79
Parsons corp,PSN,"",300000.0,11058000.0,0.128942,,35,300000.0,,new,0.3016895,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,36.86
Replay acquisition corp,RPLA/U,"",1000000.0,10020000.0,0.116839,,36,1000000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Crowdstrike holdings inc,CRWD,"",100000.0,6829000.0,0.0796298,,37,100000.0,,new,0.0508414,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,68.29
Grocery outlet holding corp,GO,"",180000.0,5918000.0,0.0690071,,38,180000.0,,new,0.2037121,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,32.88
Vici properties inc,VICI,"",193500.0,4265000.0,0.0497322,,39,193500.0,,new,0.0419731,Q2 2019,REAL ESTATE,13F,06/30/2019,22.04
Ishares 1-3 year treasury bond etf,SHY,"",33429.0,2834000.0,0.033046,0.0358,40,-4831.0,-12.626764,reduction,No Data,Q4 2017,FINANCE,13F,06/30/2019,83.5773
Linx sa,LINX,"",200451.0,1828000.0,0.0213155,,41,200451.0,,new,0.1058292,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,9.12
Franks international n.v.,FI,"",75000.0,410000.0,0.00478082,,42,75000.0,,new,0.0332830,Q2 2019,ENERGY,13F,06/30/2019,5.46
Dupont de nemours inc,DD,"",0.0,0.0,0.0,5.1836,43,-8745000.0,-100.0,soldall,0.0000000,Q3 2017,MATERIALS,13F,06/30/2019,69.1779
Celgene corp.,CELG,"",0.0,0.0,0.0,1.8357,44,-1750000.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,94.34
American express co,AXP,"",0.0,0.0,0.0,1.8229,45,-1500000.0,-100.0,soldall,0.0000000,Q3 2018,FINANCE,13F,06/30/2019,106.49
Constellation brands  inc.,STZ,"",0.0,0.0,0.0,2.0469,46,-1050000.0,-100.0,soldall,0.0000000,Q2 2012,CONSUMER STAPLES,13F,06/30/2019,118.5869
International flavors and fragrances  inc.,IFF,PUT,0.0,0.0,0.0,0.716,47,-500000.0,-100.0,soldall,N/A,Q1 2019,MATERIALS,13F,06/30/2019,
