Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",15280500.0,2046976000.0,10.8873,8.6548,1,1988100.0,14.956667,addition,0.2001268,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,82.3216
Facebook inc,FB,"",8975100.0,1732194000.0,9.21307,8.1332,2,136983.0,1.549912,addition,0.3145902,Q4 2016,COMMUNICATIONS,13F,06/30/2019,162.3382
Jd.com inc adr,JD,"",52850366.0,1600838000.0,8.51442,9.6291,3,-5000000.0,-8.642988,reduction,3.6226919,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,29.1694
Apollo glbl management llc,APO,"",37663500.0,1542320325.0,8.20318,,4,0.0,0.0,,18.7576573,,FINANCE,13G,09/05/2019,
Amazon.com inc.,AMZN,"",704112.0,1333328000.0,7.09161,6.9221,5,0.0,0.0,,0.1423426,Q2 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,694.1315
Fiat chrysler automobiles n.v.,FCAU,"",94248728.0,1302517000.0,6.92773,7.2388,6,5951971.0,6.740872,addition,No Data,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,14.9401
Transdigm group inc,TDG,"",2066000.0,999531000.0,5.31623,5.1781,7,0.0,0.0,,3.8703634,Q4 2016,INDUSTRIALS,13F,06/30/2019,269.6573
Netflix inc,NFLX,"",2146813.0,788567000.0,4.19417,4.1531,8,37000.0,1.75371,addition,0.4903191,Q1 2017,COMMUNICATIONS,13F,06/30/2019,248.5228
Alibaba group holding ltd adr,BABA,"",4329245.0,733591000.0,3.90177,4.3606,9,0.0,0.0,,0.1701480,Q3 2016,COMMUNICATIONS,13F,06/30/2019,136.2413
Spotify technology sa,SPOT,"",4161135.0,608441000.0,3.23613,6.2859,10,-4042100.0,-49.274463,reduction,2.3007492,Q2 2018,COMMUNICATIONS,13F,06/30/2019,168.2309
Sunrun inc,RUN,"",29773257.0,491854205.64,2.61604,,11,1691257.0,6.022566,addition,25.3152428,,ENERGY,13D,10/07/2019,
Fleetcor technologies inc,FLT,"",1727100.0,485056000.0,2.57988,2.3512,12,0.0,0.0,,1.9950329,Q4 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,151.0477
Sea ltd adr,SE,"",13598500.0,451742000.0,2.40269,1.7657,13,0.0,0.0,,4.1580541,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,14.6643
Tal education group american depositary adr,TAL,"",9424023.0,359055000.0,1.90972,1.8771,14,0.0,0.0,,1.6624664,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,15.4153
Salesforce.com inc.,CRM,"",2286739.0,346967000.0,1.84542,1.9993,15,0.0,0.0,,0.2946829,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,112.7071
Ringcentral inc,RNG,"",3003000.0,345105000.0,1.83552,0.8066,16,1647734.0,121.580118,addition,3.6193805,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,111.7067
Uber technologies inc,UBER,"",6664323.0,309091000.0,1.64397,,17,6664323.0,,new,0.3920190,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.38
Zendesk inc,ZEN,"",2702000.0,240559000.0,1.27947,1.2679,18,0.0,0.0,,2.4346729,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,69.3064
Mercadolibre inc,MELI,"",389500.0,238284000.0,1.26737,1.0918,19,0.0,0.0,,0.7835446,Q1 2018,COMMUNICATIONS,13F,06/30/2019,329.6861
New oriental education & tech group inc adr,EDU,"",2353600.0,227311000.0,1.209,1.1706,20,0.0,0.0,,1.6507224,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,59.2748
Svmk inc,SVMK,"",13584284.0,224277000.0,1.19287,1.8545,21,-4862267.0,-26.358678,reduction,10.2076075,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,16.03
Servicenow inc,NOW,"",799600.0,219546000.0,1.16771,1.0881,22,0.0,0.0,,0.4264533,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,163.2228
Gds holdings ltd adr,GDS,"",5730659.0,215301000.0,1.14513,,23,5730659.0,,new,4.8800639,Q2 2019,COMMUNICATIONS,13F,06/30/2019,37.57
Adobe systems  inc.,ADBE,"",714000.0,210380000.0,1.11895,1.0504,24,0.0,0.0,,0.1470831,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,241.1162
Carvana co,CVNA,"",2830769.0,177178000.0,0.942361,0.6571,25,780769.0,38.086293,addition,1.8728210,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,59.3094
Twilio inc,TWLO,"",1079000.0,147122000.0,0.782502,0.7488,26,29000.0,2.761905,addition,0.7940246,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,129.3727
Mastercard inc,MA,"",549932.0,145474000.0,0.773736,0.7148,27,0.0,0.0,,0.0542040,Q4 2007,FINANCE,13F,06/30/2019,52.9083
Eventbrite inc,EB,"",8347422.0,135228000.0,0.719241,1.4884,28,-5716849.0,-40.648029,reduction,No Data,Q3 2018,COMMUNICATIONS,13F,06/30/2019,37.97
Despegar.com corp,DESP,"",9256550.0,128573000.0,0.683845,1.0011,29,-2913435.0,-23.939512,reduction,13.3842539,Q3 2017,COMMUNICATIONS,13F,06/30/2019,32.0
8x8 inc,EGHT,"",4730000.0,113993000.0,0.606298,0.5275,30,0.0,0.0,,4.7638231,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,20.2
Smartsheet inc,SMAR,"",2255000.0,109142000.0,0.580496,0.0518,31,2025000.0,880.434783,addition,2.1161787,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,47.6238
Zoom video communications inc,ZM,"",1200000.0,106548000.0,0.5667,,32,1200000.0,,new,0.4404478,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,88.79
Atlassian corp plc,TEAM,"",519906.0,68025000.0,0.361806,0.3102,33,19906.0,3.9812,addition,0.4398900,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,33.9379
Mongodb inc,MDB,"",397000.0,60380000.0,0.321145,0.1885,34,164700.0,70.899699,addition,0.7175131,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,149.1233
Stoneco ltd,STNE,"",1955624.0,57847000.0,0.307672,2.4052,35,-8642130.0,-81.546807,reduction,0.7058231,Q4 2018,FINANCE,13F,06/30/2019,18.44
Elastic nv,ESTC,"",738000.0,55099000.0,0.293056,0.3254,36,0.0,0.0,,0.9794293,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,71.48
Tencent music entertainment group,TME,"",2700000.0,40473000.0,0.215265,0.5174,37,-2477517.0,-47.851451,reduction,0.1653409,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,13.22
Switch inc,SWCH,"",2470000.0,32332000.0,0.171965,0.1406,38,0.0,0.0,,1.0078753,Q4 2017,COMMUNICATIONS,13F,06/30/2019,13.4927
Linx sa,LINX,"",3350000.0,30552000.0,0.162498,,39,3350000.0,,new,1.7686500,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,9.12
Visa inc,V,"",163000.0,28289000.0,0.150461,0.1406,40,0.0,0.0,,0.0082161,Q3 2016,FINANCE,13F,06/30/2019,80.478
Chewy inc,CHWY,"",800000.0,28000000.0,0.148924,,41,800000.0,,new,0.2007025,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,35.0
Ipath series b s&p 500 vix short-term fu,VXX,"",881575.0,22921000.0,0.121911,0.1424,42,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,06/30/2019,29.26
Pinduoduo inc,PDD,"",1088000.0,22445000.0,0.119379,0.149,43,0.0,0.0,,0.0976731,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,26.29
Shopify inc,SHOP,"",70000.0,21011000.0,0.111752,0.0798,44,0.0,0.0,,0.0622056,Q2 2015,COMMUNICATIONS,13F,06/30/2019,33.95
Redfin corp,RDFN,"",1167656.0,20994000.0,0.111661,0.2071,45,-683442.0,-36.920898,reduction,1.2715409,Q3 2017,REAL ESTATE,13F,06/30/2019,25.09
Iqiyi inc,IQ,"",1000000.0,20650000.0,0.109832,0.1321,46,0.0,0.0,,0.1379082,Q1 2018,COMMUNICATIONS,13F,06/30/2019,15.55
Zto express cayman inc adr,ZTO,"",994400.0,19013000.0,0.101125,0.1004,47,0.0,0.0,,0.1960491,Q4 2016,INDUSTRIALS,13F,06/30/2019,12.07
Crowdstrike holdings inc,CRWD,"",250000.0,17073000.0,0.0908066,,48,250000.0,,new,0.1271036,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,68.29
Pure storage inc,PSTG,"",1000000.0,15270000.0,0.0812169,0.1203,49,0.0,0.0,,0.3951164,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,15.57
