Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Spdr s&p 500 etf trust,SPY,PUT,2292600.0,671747000.0,19.1399,2.7743,1,2055100.0,865.305263,addition,No Data,Q3 2013,FINANCE,13F,06/30/2019,
Ishares msci emerging index fund,EEM,"",5406942.0,232012000.0,6.6106,1.7239,2,4435683.0,456.694146,addition,No Data,Q1 2019,FINANCE,13F,06/30/2019,42.9118
Spdr s&p 500 etf trust,SPY,CALL,418000.0,122476000.0,3.4897,0.7288,3,355600.0,569.871795,addition,No Data,Q3 2013,FINANCE,13F,06/30/2019,
Celgene corp.,CELG,"",1120572.0,103586000.0,2.9514,4.6967,4,-83262.0,-6.916402,reduction,0.1581076,Q1 2018,HEALTH CARE,13F,06/30/2019,94.211
Suntrust banks  inc.,STI,"",1043485.0,65583000.0,1.8686,0.541,5,822716.0,372.659205,addition,0.2350509,Q3 2012,FINANCE,13F,06/30/2019,61.8425
Anadarko petroleum corp.,APC,"",911118.0,64288000.0,1.8317,0.1014,6,857191.0,1589.539563,addition,N/A,Q4 2013,ENERGY,13F,06/30/2019,216.3752
Worldpay inc class a,WP,"",489482.0,59986000.0,1.7092,0.6616,7,348538.0,247.288285,addition,N/A,Q1 2019,INDUSTRIALS,13F,06/30/2019,70.5702
Tableau software inc,DATA,"",313800.0,52097000.0,1.4844,0.2554,8,265270.0,546.610344,addition,N/A,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,159.3069
Celgene corp.,CELG,PUT,492000.0,45480000.0,1.2958,4.4949,9,-660100.0,-57.295374,reduction,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Allergan plc,AGN,"",263916.0,44187000.0,1.259,0.2633,10,220423.0,506.801094,addition,0.0804548,Q1 2013,HEALTH CARE,13F,06/30/2019,166.0727
Walt disney co. (the),DIS,"",270388.0,37757000.0,1.0758,1.192,11,10792.0,4.157229,addition,0.0150100,Q1 2019,COMMUNICATIONS,13F,06/30/2019,112.1719
Microsoft corp.,MSFT,"",255926.0,34284000.0,0.9768,1.0818,12,34129.0,15.387494,addition,0.0033518,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,119.1908
Ishares jp morgan usd emerging markets b,EMB,"",284000.0,32174000.0,0.9167,1.2926,13,0.0,0.0,,No Data,Q1 2019,FINANCE,13F,06/30/2019,110.06
Cray inc.,CRAY,"",650534.0,22652000.0,0.6454,0.0097,14,641505.0,7104.939639,addition,1.5736188,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,34.6983
Cisco systems  inc.,CSCO,"",381197.0,20863000.0,0.5944,,15,381197.0,,new,0.0089050,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,54.73
Bristol-myers squibb co,BMY,CALL,410000.0,18594000.0,0.5298,0.8089,16,0.0,0.0,,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Ishares tips bond etf,TIP,"",154576.0,17852000.0,0.5087,0.6407,17,17566.0,12.820962,addition,No Data,Q4 2017,FINANCE,13F,06/30/2019,112.8247
Slack technologies inc,WORK,"",474654.0,17800000.0,0.5072,,18,474654.0,,new,0.0941512,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5
Array biopharma inc,ARRY,"",371306.0,17203000.0,0.4902,,19,371306.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,46.33
Aratana therapeutics inc,PETX,"",3179912.0,16408000.0,0.4675,0.0112,20,3104384.0,4110.242559,addition,N/A,Q2 2018,HEALTH CARE,13F,06/30/2019,32.275
Salesforce.com inc.,CRM,"",96628.0,14661000.0,0.4177,0.1168,21,78796.0,441.879767,addition,0.0124521,Q3 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,152.2119
Ipath series b s&p 500 vix short-term fu,VXX,PUT,562600.0,14628000.0,0.4168,,22,562600.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Amazon.com inc.,AMZN,"",7519.0,14238000.0,0.4057,0.4285,23,1700.0,29.214642,addition,0.0015200,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,1806.2715
Etsy inc,ETSY,"",213229.0,13086000.0,0.3729,,24,213229.0,,new,0.1770123,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,61.37
Allison transmission holdings inc,ALSN,"",269251.0,12480000.0,0.3556,0.2377,25,141317.0,110.460863,addition,0.2234263,Q4 2013,CONSUMER DISCRETIONARY,13F,06/30/2019,44.9868
Simon property group  inc.,SPG,"",76522.0,12225000.0,0.3483,0.5516,26,3317.0,4.531111,addition,0.0248432,Q3 2018,REAL ESTATE,13F,06/30/2019,178.2702
Cme group inc,CME,"",60065.0,11659000.0,0.3322,0.485,27,-11187.0,-15.700612,reduction,0.0167737,Q2 2005,FINANCE,13F,06/30/2019,117.363
Centene corp,CNC,"",219832.0,11528000.0,0.3285,0.078,28,184316.0,518.9661,addition,0.0531496,Q1 2019,HEALTH CARE,13F,06/30/2019,52.5466
Liberty expedia holdings inc  series a,LEXEA,"",237992.0,11374000.0,0.3241,,29,237992.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,47.79
Servicenow inc,NOW,"",40091.0,11008000.0,0.3136,0.2428,30,16273.0,68.322277,addition,0.0213819,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,257.8877
