Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mcdonalds corp.,MCD,"",1105120.0,229489000.0,0.7676,0.6112,1,112256.0,11.306282,addition,0.1455177,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,179.3835
Starbucks corp.,SBUX,"",2622678.0,219859000.0,0.7353,0.6027,2,121692.0,4.865761,addition,0.2191043,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,65.3016
Spdr consumer discretionary select sector etf,XLY,"",1796510.0,214144000.0,0.7162,0.3043,3,971930.0,117.869703,addition,No Data,Q1 2014,FINANCE,13F,06/30/2019,116.7444
Ebay inc.,EBAY,"",5377481.0,212410000.0,0.7104,0.6159,4,262230.0,5.126435,addition,0.6411227,Q1 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,31.1627
Amazon.com inc.,AMZN,"",111367.0,210888000.0,0.7053,0.5611,5,14166.0,14.573924,addition,0.0225138,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,1795.1085
Yum! brands  inc. (tricon global restaurants),YUM,"",1746689.0,193306000.0,0.6465,0.6031,6,-117304.0,-6.293157,reduction,0.5740212,Q2 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,77.9128
Johnson & johnson co.,JNJ,"",1281768.0,178525000.0,0.5971,0.0155,7,1247510.0,3641.514391,addition,0.0485671,Q2 2014,HEALTH CARE,13F,06/30/2019,138.8403
Spdr s&p 500 etf trust,SPY,"",607090.0,177877000.0,0.5949,0.1295,8,465674.0,329.293715,addition,No Data,Q3 2013,FINANCE,13F,06/30/2019,284.9773
Costco co.,COST,"",664506.0,175602000.0,0.5873,,9,664506.0,,new,0.1512854,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,264.26
Autodesk  inc.,ADSK,"",1073683.0,174903000.0,0.585,0.2734,10,532458.0,98.380156,addition,0.4888822,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,159.3387
Occidental petroleum corp.,OXY,"",3410947.0,171502000.0,0.5736,0.4818,11,1165849.0,51.928646,addition,0.4557957,Q1 2011,ENERGY,13F,06/30/2019,59.5398
Delta air lines inc.,DAL,"",2964149.0,168215000.0,0.5626,0.4111,12,508832.0,20.723678,addition,0.4558827,Q1 2015,TRANSPORTS,13F,06/30/2019,53.8965
