Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Citigroup  inc.,C,"",31525500.0,2207731000.0,23.0497,21.5635,1,0.0,0.0,,1.3955141,Q4 2017,FINANCE,13F,06/30/2019,65.1215
Seagate technology plc,STX,"",31554360.0,1486841000.0,15.5233,15.5414,2,2034200.0,6.890884,addition,11.9456218,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,38.7877
Kkr & co. l.p.,KKR,"",50700000.0,1281189000.0,13.3762,13.0924,3,0.0,0.0,,No Data,Q2 2017,FINANCE,13F,06/30/2019,20.176
Morgan stanley,MS,"",26228561.0,1149073000.0,11.9968,12.1679,4,0.0,0.0,,1.5869456,Q2 2016,FINANCE,13F,06/30/2019,31.5272
Cbre group inc common stock class a,CBRE,"",13225592.0,678473000.0,7.0836,7.1874,5,4216.0,0.031888,addition,3.9322091,Q3 2011,REAL ESTATE,13F,06/30/2019,19.204
Alliance data systems corp,ADS,"",3707646.0,519552000.0,5.4244,10.0175,6,-1500000.0,-28.803801,reduction,7.2556673,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,211.3841
Trinity industries inc,TRN,"",21900000.0,454425000.0,4.7444,5.2316,7,0.0,0.0,,16.8669131,Q2 2016,INDUSTRIALS,13F,06/30/2019,25.6838
Bausch health companies,BHC,"",17931594.0,452235000.0,4.7215,4.8966,8,-101555.0,-0.563157,reduction,5.1335797,Q3 2006,HEALTH CARE,13F,06/30/2019,27.162
Slm corp,SLM,"",39184254.0,380871000.0,3.9765,4.2689,9,0.0,0.0,,9.1852447,Q1 2018,FINANCE,13F,06/30/2019,11.3926
The stars group,TSG,"",13630000.0,232664000.0,2.4291,,10,13630000.0,,new,28.8087589,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,17.07
Arcosa inc,ACA,"",4240963.0,159587000.0,1.6662,1.9281,11,-1500000.0,-26.128021,reduction,No Data,Q4 2018,INDUSTRIALS,13F,06/30/2019,27.69
Aes corp. (the),AES,"",4146500.0,69495000.0,0.7256,0.311,12,2582000.0,165.036753,addition,0.6246140,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,15.5049
Parsons corp,PSN,"",1805000.0,66532000.0,0.6946,,13,1805000.0,,new,1.8151649,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,36.86
Booking holdings inc. (priceline),BKNG,"",35000.0,65615000.0,0.685,,14,35000.0,,new,0.0713412,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1874.71
Xpo logistics inc,XPO,"",1000000.0,57810000.0,0.6036,,15,1000000.0,,new,1.0848340,Q2 2019,TRANSPORTS,13F,06/30/2019,57.81
Lindblad expeditions holdings inc,LIND,"",3012298.0,54071000.0,0.5645,0.4846,16,121467.0,4.201802,addition,No Data,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,13.8739
Enviva partners lp,EVA,"",1654261.0,51977000.0,0.5427,0.5865,17,0.0,0.0,,No Data,Q2 2018,ENERGY,13F,06/30/2019,30.857
Hawaiian electric industries,HE,"",1175747.0,51204000.0,0.5346,0.639,18,-250000.0,-17.534668,reduction,1.0789639,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,35.8019
Edison international (southern california edison),EIX,"",700000.0,47187000.0,0.4927,,19,700000.0,,new,0.1978016,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,67.41
Strategic education inc.,STRA,"",233765.0,41610000.0,0.4344,0.6297,20,-202476.0,-46.413794,reduction,1.0649886,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,117.1649
Darling ingredients inc,DAR,"",1727528.0,34361000.0,0.3587,0.2719,21,585000.0,51.202246,addition,1.0485754,Q4 2018,CONSUMER STAPLES,13F,06/30/2019,20.8024
Unifi  inc.,UFI,"",1298402.0,23592000.0,0.2463,0.2406,22,167500.0,14.811186,addition,7.0221850,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,28.5409
Armstrong flooring inc,AFI,"",1222756.0,12044000.0,0.1257,0.69,23,-3392031.0,-73.503522,reduction,5.6872372,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,16.9484
Pg&e corp. (pacific gas & electric),PCG,"",0.0,0.0,,0.1957,"",-1000000.0,-100.0,soldall,0.0000000,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,17.8
Armstrong world industries inc.,AWI,"",0.0,0.0,,0.0558,"",-63910.0,-100.0,soldall,0.0000000,Q2 2014,INDUSTRIALS,13F,06/30/2019,56.4182
