Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Adaptive biotechnologies corp,ADPT,"",38406607.0,1855039000.0,8.32308,,1,38406607.0,,new,30.9008022,Q2 2019,HEALTH CARE,13F,06/30/2019,48.3
Amazon.com inc.,AMZN,"",802837.0,1520276000.0,6.82108,3.1832,2,491118.0,157.551513,addition,0.1623008,Q2 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,1745.2785
Anthem inc,ANTM,"",5198006.0,1466929000.0,6.58173,10.1949,3,-996880.0,-16.091983,reduction,2.0318998,Q2 2017,HEALTH CARE,13F,06/30/2019,233.8896
Facebook inc,FB,"",7063705.0,1363295000.0,6.11675,2.0354,4,4934406.0,231.738521,addition,0.2475930,Q1 2016,COMMUNICATIONS,13F,06/30/2019,175.4382
Unitedhealth group inc.,UNH,"",4812185.0,1174221000.0,5.26842,5.3045,5,1071149.0,28.632416,addition,0.5077859,Q4 2016,HEALTH CARE,13F,06/30/2019,226.2622
Microsoft corp.,MSFT,"",7704063.0,1032036000.0,4.63048,6.6104,6,-2069837.0,-21.177186,reduction,0.1008991,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,74.0346
Boeing company,BA,"",2777120.0,1010899000.0,4.53564,,7,2777120.0,,new,0.4935260,Q4 2018,INDUSTRIALS,13F,06/30/2019,364.01
Jd.com inc adr,JD,"",31821898.0,963885000.0,4.3247,1.9974,8,20269351.0,175.453526,addition,2.1812703,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,30.2392
United technologies corp. (united aircraft corp.),UTX,"",6743903.0,878056000.0,3.93961,5.2383,9,-343259.0,-4.843391,reduction,0.7815212,Q4 2016,INDUSTRIALS,13F,06/30/2019,119.8743
Netflix inc,NFLX,"",2067698.0,759507000.0,3.40771,4.0881,10,68322.0,3.417166,addition,0.4722497,Q3 2015,COMMUNICATIONS,13F,06/30/2019,259.7959
Centene corp,CNC,"",13994550.0,733874000.0,3.2927,1.2785,11,9795824.0,233.304674,addition,3.3835135,Q2 2018,HEALTH CARE,13F,06/30/2019,55.804
Bridgebio pharma inc,BBIO,"",26620991.0,717968000.0,3.22134,,12,26620991.0,,new,22.7997525,Q2 2019,HEALTH CARE,13F,06/30/2019,26.97
Uber technologies inc,UBER,"",13368682.0,620039000.0,2.78195,,13,13368682.0,,new,0.7863931,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,46.38
Monster beverage corp.,MNST,"",8851947.0,565020000.0,2.5351,,14,8851947.0,,new,1.6245682,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,63.83
Mercadolibre inc,MELI,"",854831.0,522960000.0,2.34639,1.7815,15,242962.0,39.708173,addition,1.7196359,Q1 2019,COMMUNICATIONS,13F,06/30/2019,537.3005
Illumina inc,ILMN,"",1371087.0,504766000.0,2.26475,2.1065,16,188763.0,15.965421,addition,0.9327122,Q2 2018,HEALTH CARE,13F,06/30/2019,303.8246
Salesforce.com inc.,CRM,"",2922394.0,443415000.0,1.98949,,17,2922394.0,,new,0.3765972,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,151.73
Liberty media corp series c,FWONK,"",11379423.0,425704000.0,1.91002,2.3456,18,-290693.0,-2.490918,reduction,4.9229604,Q1 2017,COMMUNICATIONS,13F,06/30/2019,34.2104
Boston scientific inc.,BSX,"",9195192.0,395209000.0,1.7732,0.7088,19,5974823.0,185.532248,addition,0.6601141,Q3 2018,HEALTH CARE,13F,06/30/2019,40.9757
Activision blizzard inc,ATVI,"",7908859.0,373298000.0,1.67489,1.2818,20,2999492.0,61.097327,addition,1.0311017,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,46.1634
Adobe systems  inc.,ADBE,"",1214269.0,357784000.0,1.60528,3.1209,21,-827919.0,-40.540783,reduction,0.2501378,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,226.24
