Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Microsoft corp.,MSFT,"",76661703.0,10269603000.0,2.27571,2.1169,1,-2591461.0,-3.269852,reduction,1.0040286,Q1 2001,INFORMATION TECHNOLOGY,13F,06/30/2019,36.3371
Unitedhealth group inc.,UNH,"",30948712.0,7551794000.0,1.67345,1.6063,2,2264182.0,7.893391,addition,3.2657344,Q3 2005,HEALTH CARE,13F,06/30/2019,65.7568
Medtronic plc,MDT,"",70568942.0,6872710000.0,1.52297,1.4099,3,2217403.0,3.244116,addition,5.2617840,Q1 2002,HEALTH CARE,13F,06/30/2019,62.719
Verizon communications,VZ,"",119766051.0,6842235000.0,1.51621,1.6124,4,-636811.0,-0.5289,reduction,2.8958586,Q1 2001,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,49.9848
Bank of america corp. (north carolina national bank),BAC,"",235237126.0,6821877000.0,1.5117,1.3264,5,22961000.0,10.816572,addition,2.5271760,Q1 2001,FINANCE,13F,06/30/2019,20.1885
Jpmorgan chase & co. (chemical bank),JPM,"",57422696.0,6419857000.0,1.42262,1.2878,6,1253548.0,2.231738,addition,1.7958679,Q1 2001,FINANCE,13F,06/30/2019,45.7529
Pfizer  inc.,PFE,"",134712470.0,5835744000.0,1.29318,0.7241,7,59425743.0,78.932563,addition,2.4355677,Q1 2001,HEALTH CARE,13F,06/30/2019,31.8799
Amazon.com inc.,AMZN,"",2794562.0,5291867000.0,1.17266,1.0604,8,165375.0,6.289967,addition,0.5649460,Q4 2008,CONSUMER DISCRETIONARY,13F,06/30/2019,1076.1411
Comcast corp.  class a,CMCSA,"",123391259.0,5216983000.0,1.15606,1.1138,9,386832.0,0.314486,addition,2.7148911,Q4 2002,COMMUNICATIONS,13F,06/30/2019,23.7567
Bristol-myers squibb co,BMY,"",113585498.0,5151103000.0,1.14147,1.3564,10,-11950250.0,-9.5194,reduction,6.9438551,Q1 2001,HEALTH CARE,13F,06/30/2019,45.7601
Chevron corp. (standard oil of california),CVX,"",40766804.0,5073022000.0,1.12416,1.1335,11,137362.0,0.338085,addition,2.1474070,Q1 2001,ENERGY,13F,06/30/2019,87.1843
