Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Union pacific corp.,UNP,"",355385.0,60099000.0,1.1682,1.0625,1,39383.0,12.462896,addition,0.0504428,Q4 2016,TRANSPORTS,13F,06/30/2019,160.865
Xcel energy inc. (northern states power co. (mn)),XEL,"",914892.0,54427000.0,1.058,0.9964,2,33338.0,3.781731,addition,0.1776455,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,49.5735
Cisco systems  inc.,CSCO,"",992107.0,54298000.0,1.0555,0.2185,3,790837.0,392.923436,addition,0.0231761,Q2 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,51.9408
Colgate-palmolive co.,CL,"",727968.0,52173000.0,1.0142,0.9093,4,68192.0,10.335629,addition,0.0848438,Q3 2016,CONSUMER STAPLES,13F,06/30/2019,65.2972
Pepsico inc. (loft  inc.),PEP,"",387685.0,50837000.0,0.9882,0.7875,5,68143.0,21.325209,addition,0.0278022,Q2 2014,CONSUMER STAPLES,13F,06/30/2019,115.3894
Coca cola co.,KO,"",996025.0,50718000.0,0.9859,0.7665,6,182609.0,22.449644,addition,0.0232932,Q2 2016,CONSUMER STAPLES,13F,06/30/2019,46.7912
Monster beverage corp.,MNST,"",789317.0,50382000.0,0.9793,0.9199,7,-48790.0,-5.821452,reduction,0.1448607,Q3 2016,CONSUMER STAPLES,13F,06/30/2019,55.5963
Csx corp,CSX,"",645299.0,49927000.0,0.9705,0.378,8,394056.0,156.842579,addition,0.0808463,Q4 2016,TRANSPORTS,13F,06/30/2019,72.6278
Yum! brands  inc. (tricon global restaurants),YUM,"",449867.0,49787000.0,0.9678,0.824,9,39328.0,9.579601,addition,0.1478415,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,86.9952
Charter communications inc,CHTR,"",123467.0,48792000.0,0.9484,0.8198,10,5949.0,5.062203,addition,0.0557463,Q4 2018,COMMUNICATIONS,13F,06/30/2019,313.8955
Norfolk southern corp.,NSC,"",238265.0,47493000.0,0.9232,0.3642,11,141363.0,145.882438,addition,0.0904540,Q2 2017,TRANSPORTS,13F,06/30/2019,179.4771
Western union co (the),WU,"",2224614.0,44248000.0,0.8601,0.9646,12,-372388.0,-14.33915,reduction,0.5248093,Q2 2014,FINANCE,13F,06/30/2019,18.5938
Apartment investment and management co,AIV,"",854663.0,42836000.0,0.8327,0.6462,13,215687.0,33.755102,addition,0.5740617,Q2 2017,REAL ESTATE,13F,06/30/2019,45.8678
Amazon.com inc.,AMZN,"",22556.0,42713000.0,0.8303,0.883,14,-2103.0,-8.528326,reduction,0.0045599,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,1467.2971
Starbucks corp.,SBUX,"",504763.0,42314000.0,0.8225,0.0098,15,498198.0,7588.697639,addition,0.0421690,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,83.5721
Verisign inc.,VRSN,"",201980.0,42246000.0,0.8212,0.9868,16,-68301.0,-25.270367,reduction,0.1706345,Q2 2014,COMMUNICATIONS,13F,06/30/2019,155.8717
Autozone inc.,AZO,"",37522.0,41254000.0,0.8019,0.7376,17,1707.0,4.766159,addition,0.1529637,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,802.6398
Akamai technologies inc.,AKAM,"",506449.0,40587000.0,0.7889,0.4274,18,210088.0,70.88922,addition,0.3069760,Q4 2016,COMMUNICATIONS,13F,06/30/2019,69.8961
Carmax inc.,KMX,"",463147.0,40215000.0,0.7817,,19,463147.0,,new,0.2796950,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,86.83
Prologis  inc.,PLD,"",490147.0,39261000.0,0.7632,0.6864,20,15725.0,3.31456,addition,0.0776618,Q1 2017,REAL ESTATE,13F,06/30/2019,63.2807
Kansas city southern industries inc.,KSU,"",319408.0,38910000.0,0.7563,0.657,21,37691.0,13.379029,addition,0.3196957,Q2 2017,TRANSPORTS,13F,06/30/2019,111.5394
Universal health services class b,UHS,"",291203.0,37970000.0,0.7381,0.6719,22,41436.0,16.589862,addition,0.3290801,Q2 2014,HEALTH CARE,13F,06/30/2019,122.7402
Oreilly automotive inc.,ORLY,"",101912.0,37638000.0,0.7316,1.0072,23,-27083.0,-20.995387,reduction,0.1332009,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,324.4947
Procter & gamble co. (oh) (1905),PG,"",340897.0,37379000.0,0.7266,0.9904,24,-132468.0,-27.984325,reduction,0.0136216,Q3 2016,CONSUMER STAPLES,13F,06/30/2019,91.8306
Ashland inc.,ASH,"",465396.0,37218000.0,0.7235,0.5829,25,94373.0,25.435889,addition,0.7689954,Q3 2018,MATERIALS,13F,06/30/2019,78.0552
Nvr inc,NVR,"",10874.0,36648000.0,0.7124,,26,10874.0,,new,0.2971038,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,3370.25
Cbs corp,CBS,"",731562.0,36505000.0,0.7096,0.4657,27,244363.0,50.156712,addition,0.1952550,Q4 2018,COMMUNICATIONS,13F,06/30/2019,46.8454
Vornado realty trust,VNO,"",559536.0,35866000.0,0.6972,0.5491,28,154615.0,38.183991,addition,0.2932425,Q2 2017,REAL ESTATE,13F,06/30/2019,64.2745
Ebay inc.,EBAY,"",905851.0,35781000.0,0.6955,0.6136,29,84212.0,10.24927,addition,0.1079988,Q2 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,33.6714
Camden property trust,CPT,"",340288.0,35523000.0,0.6905,0.6383,30,27575.0,8.81799,addition,0.3514283,Q4 2014,REAL ESTATE,13F,06/30/2019,91.6684
Mcdonalds corp.,MCD,"",165544.0,34377000.0,0.6682,0.8013,31,-44302.0,-21.111672,reduction,0.0217982,Q2 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,168.1153
Ps business parks inc.,PSB,"",202877.0,34191000.0,0.6646,0.4781,32,51280.0,33.826527,addition,0.7396172,Q1 2018,REAL ESTATE,13F,06/30/2019,137.2578
Estee lauder companies inc.,EL,"",180269.0,33009000.0,0.6416,0.7966,33,-59024.0,-24.665995,reduction,0.0499692,Q3 2015,CONSUMER STAPLES,13F,06/30/2019,146.6756
American campus communities inc,ACC,"",705032.0,32544000.0,0.6326,0.6252,34,51545.0,7.887686,addition,0.5131237,Q3 2018,REAL ESTATE,13F,06/30/2019,41.985
Synopsys inc.,SNPS,"",249035.0,32048000.0,0.623,0.0143,35,242878.0,3944.745818,addition,0.1661341,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,127.3494
American express co,AXP,"",257995.0,31847000.0,0.619,0.7346,36,-76225.0,-22.806834,reduction,0.0310961,Q2 2014,FINANCE,13F,06/30/2019,94.5114
Discover financial services,DFS,"",404218.0,31363000.0,0.6096,0.5048,37,51430.0,14.57816,addition,0.1270167,Q2 2014,FINANCE,13F,06/30/2019,75.8202
