Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Nextdecade corp,NEXT,"",57873196.0,336073000.0,13.6382,11.2708,1,0.0,0.0,,52.3549810,Q3 2017,ENERGY,13F,06/30/2019,9.8838
Oi s.a class c,OIBR.C,"",133311834.0,267957000.0,10.874,11.1231,2,1243044.0,0.94121,addition,23.2932335,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Altaba inc. (yahoo),AABA,"",3755264.0,260503000.0,10.5715,11.9377,3,160126.0,4.45396,addition,0.7228473,Q4 2015,FINANCE,13F,06/30/2019,50.0423
Celgene corp.,CELG,"",2588825.0,239311000.0,9.71147,1.146,4,2317676.0,854.761035,addition,0.3652715,Q1 2019,HEALTH CARE,13F,06/30/2019,92.639
Anadarko petroleum corp.,APC,"",2016529.0,142287000.0,5.77415,,5,2016529.0,,new,N/A,Q2 2019,ENERGY,13F,06/30/2019,226.37
Cboe global markets inc,CBOE,"",1182000.0,122491000.0,4.9708,,6,1182000.0,,new,1.0583811,Q2 2019,FINANCE,13F,06/30/2019,103.63
China biologic products holdings inc,CBPO,"",1128717.0,107567000.0,4.36517,4.0521,7,137484.0,13.869998,addition,2.8676753,Q1 2016,HEALTH CARE,13F,06/30/2019,89.1338
Emcor group  inc.,EME,"",1183610.0,104276000.0,4.23162,,8,1183610.0,,new,2.1083185,Q2 2019,INDUSTRIALS,13F,06/30/2019,88.1
Biomarin pharmaceutical inc,BMRN,"",1116727.0,95648000.0,3.88149,,9,1116727.0,,new,0.6222707,Q2 2019,HEALTH CARE,13F,06/30/2019,85.65
Pg&e corp. (pacific gas & electric),PCG,"",3609604.0,82732000.0,3.35735,4.1068,10,-1540443.0,-29.911242,reduction,0.6820611,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,17.8
Wabco holdings inc,WBC,"",445231.0,59038000.0,2.39582,5.6346,11,-508837.0,-53.33341,reduction,0.8689130,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,131.83
Dupont de nemours inc,DD,"",721603.0,54171000.0,2.19831,1.8313,12,-98494.0,-12.010043,addition,0.0309831,Q1 2019,MATERIALS,13F,06/30/2019,30.4975
Parsley energy inc,PE,"",2369400.0,45043000.0,1.82789,,13,2369400.0,,new,0.7482710,Q2 2019,ENERGY,13F,06/30/2019,19.01
Cypress semiconductor corp,CY,"",1897985.0,42212000.0,1.713,,14,1897985.0,,new,0.5139134,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,22.24
Cigna holding co,CI,"",236711.0,37294000.0,1.51343,2.8379,15,-157190.0,-39.905966,reduction,0.0626866,Q3 2018,FINANCE,13F,06/30/2019,197.0298
Jd.com inc adr,JD,"",1109496.0,33607000.0,1.3638,0.802,16,515706.0,86.849896,addition,0.0760517,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,26.4096
Synovus financial corp. (columbus  ga),SNV,"",894904.0,31321000.0,1.27104,1.3894,17,-7766.0,-0.860337,reduction,0.5863225,Q4 2018,FINANCE,13F,06/30/2019,32.9411
